Element 1: (2, (9, 8), ['.', '', '%', 'G'], [(15, 10), (2, 1), (10, 8)], [False, False, True, False], 98, False, [True, False, False, False], 19, 'West', (8, 8))
Element 2: (2, (8, 8), ['.', '%', '%', ''], [(16, 10), (3, 1), (11, 8)], [False, True, True, False], 96, False, [True, False, False, False], 58, 'West', (7, 8))
Element 3: (2, (7, 8), ['.', '%', '%', ''], [(17, 10), (4, 1), (12, 8)], [False, True, True, False], 94, False, [True, False, False, False], 97, 'West', (6, 8))
Element 4: (2, (6, 8), ['.', '.', '.', ''], [(18, 10), (4, 2), (13, 8)], [False, False, False, False], 92, False, [True, True, True, False], 136, 'North', (6, 9))
Element 5: (2, (6, 9), ['%', '', '.', '%'], [(18, 9), (4, 3), (14, 8)], [True, False, False, True], 90, False, [False, False, True, False], 175, 'North', (6, 10))
Element 6: (2, (6, 10), ['%', '', '%', '.'], [(18, 8), (4, 4), (15, 8)], [True, False, True, False], 88, False, [False, False, False, True], 214, 'East', (7, 10))
Element 7: (2, (7, 10), ['', '%', '%', '.'], [(18, 7), (5, 4), (16, 8)], [False, True, True, False], 86, False, [False, False, False, True], 253, 'East', (8, 10))
Element 8: (2, (8, 10), ['', '%', '%', '.'], [(18, 6), (6, 4), (16, 7)], [False, True, True, False], 84, False, [False, False, False, True], 292, 'East', (9, 10))
Element 9: (2, (9, 10), ['', '%', '%', '.'], [(18, 5), (7, 4), (16, 6)], [False, True, True, False], 82, False, [False, False, False, True], 331, 'East', (10, 10))
Element 10: (2, (10, 10), ['', '%', '%', 'F'], [(18, 6), (7, 5), (17, 6)], [False, True, True, False], 80, False, [False, False, False, False], 1350, 'East', (11, 10))
Element 11: (2, (11, 10), ['', '%', '%', 'F'], [(17, 6), (6, 5), (16, 6)], [False, True, True, False], 78, False, [False, False, False, False], 2359, 'East', (12, 10))
Element 12: (2, (12, 10), ['', '%', '%', '.'], [(16, 6), (6, 6), (16, 5)], [False, True, True, False], 76, False, [False, False, False, True], 3378, 'East', (13, 10))
Element 13: (2, (13, 10), ['', '.', '%', '%'], [(15, 6), (6, 7), (16, 4)], [False, False, True, True], 74, False, [False, True, False, False], 3417, 'South', (13, 9))
Element 14: (2, (13, 9), ['%', '', '', '%'], [(14, 6), (6, 8), (17, 4)], [True, False, False, True], 72, False, [False, False, False, False], 3446, 'South', (13, 8))
Element 15: (2, (13, 8), ['', '.', '', ''], [(13, 6), (5, 8), (16, 4)], [False, False, False, False], 70, False, [False, True, False, False], 3465, 'South', (13, 7))
Element 16: (2, (13, 7), ['%', '', '', '%'], [(13, 5), (4, 8), (15, 4)], [True, False, False, True], 68, False, [False, False, False, False], 3504, 'South', (13, 6))
Element 17: (2, (13, 6), ['%', '', '', ''], [(13, 4), (4, 9), (15, 3)], [True, False, False, False], 66, False, [False, False, False, False], 3533, 'East', (14, 6))
Element 18: (2, (14, 6), ['', '%', '%', ''], [(14, 4), (4, 10), (15, 2)], [False, True, True, False], 64, False, [False, False, False, False], 3562, 'East', (15, 6))
Element 19: (2, (15, 6), ['', '%', '%', ''], [(15, 4), (3, 10), (16, 2)], [False, True, True, False], 62, False, [False, False, False, False], 3581, 'East', (16, 6))
Element 20: (2, (16, 6), ['', '', '', ''], [(16, 4), (2, 10), (17, 2)], [False, False, False, False], 60, False, [False, False, False, False], 3600, 'East', (17, 6))
Element 21: (2, (17, 6), ['', '%', '%', ''], [(17, 4), (1, 10), (17, 1)], [False, True, True, False], 58, False, [False, False, False, False], 3619, 'East', (18, 6))
Element 22: (2, (18, 6), ['', '', '', '%'], [(16, 4), (1, 9), (18, 1)], [False, False, False, True], 56, False, [False, False, False, False], 3638, 'North', (18, 7))
Element 23: (2, (18, 7), ['%', '', '', '%'], [(16, 5), (1, 8), (18, 2)], [True, False, False, True], 54, False, [False, False, False, False], 3647, 'North', (18, 8))
Element 24: (2, (18, 8), ['%', '', '', '%'], [(16, 4), (1, 7), (18, 3)], [True, False, False, True], 52, False, [False, False, False, False], 3666, 'North', (18, 9))
Element 25: (2, (18, 9), ['%', '', '', '%'], [(15, 4), (1, 6), (18, 2)], [True, False, False, True], 50, False, [False, False, False, False], 3675, 'North', (18, 10))
Element 26: (2, (18, 10), ['', '', '%', '%'], [(15, 3), (2, 6), (18, 1)], [False, False, True, True], 48, False, [False, False, False, False], 3684, 'West', (17, 10))
Element 27: (2, (17, 10), ['', '%', '%', ''], [(15, 2), (3, 6), (17, 1)], [False, True, True, False], 46, False, [False, False, False, False], 3693, 'West', (16, 10))
Element 28: (2, (16, 10), ['', '%', '%', ''], [(15, 1), (4, 6), (16, 1)], [False, True, True, False], 44, False, [False, False, False, False], 3722, 'West', (15, 10))
Element 29: (2, (15, 10), ['%', '', '%', ''], [(16, 1), (5, 6), (17, 1)], [True, False, True, False], 42, False, [False, False, False, False], 3731, 'South', (15, 9))
Element 30: (2, (15, 9), ['%', '', '', '%'], [(17, 1), (4, 6), (17, 2)], [True, False, False, True], 40, False, [False, False, False, False], 3730, 'South', (15, 8))
Element 31: (2, (15, 8), ['', '%', '', ''], [(18, 1), (3, 6), (18, 2)], [False, True, False, False], 38, False, [False, False, False, False], 3729, 'East', (16, 8))
Element 32: (2, (16, 8), ['', '', '%', '%'], [(18, 2), (3, 7), (17, 2)], [False, False, True, True], 36, False, [False, False, False, False], 3738, 'South', (16, 7))
Element 33: (2, (16, 7), ['%', '', '', '%'], [(18, 3), (3, 8), (16, 2)], [True, False, False, True], 34, False, [False, False, False, False], 3747, 'North', (16, 8))
Element 34: (2, (16, 8), ['', '', '%', '%'], [(18, 2), (3, 7), (16, 1)], [False, False, True, True], 32, False, [False, False, False, False], 3746, 'West', (15, 8))
Element 35: (2, (15, 8), ['', '%', '', ''], [(17, 2), (3, 6), (16, 2)], [False, True, False, False], 30, False, [False, False, False, False], 3745, 'West', (14, 8))
