Element 1: (1, (10, 8), ['.', '', '%', ''], [(12, 8), (13, 9), (14, 8)], [False, False, True, False], 98, False, [True, False, False, False], 9, 'West', (9, 8))
Element 2: (1, (9, 8), ['.', '', '%', ''], [(13, 8), (13, 10), (15, 8)], [False, False, True, False], 96, False, [True, False, False, False], 48, 'West', (8, 8))
Element 3: (1, (8, 8), ['.', '%', '%', ''], [(13, 7), (12, 10), (16, 8)], [False, True, True, False], 94, False, [True, False, False, False], 1077, 'West', (7, 8))
Element 4: (1, (7, 8), ['.', '%', '%', ''], [(13, 6), (11, 10), (16, 7)], [False, True, True, False], 92, False, [True, False, False, False], 2106, 'West', (6, 8))
Element 5: (1, (6, 8), ['.', '.', '.', ''], [(14, 6), (10, 10), (16, 6)], [False, False, False, False], 90, False, [True, True, True, False], 2145, 'North', (6, 9))
Element 6: (1, (6, 9), ['%', '', '.', '%'], [(15, 6), (9, 10), (17, 6)], [True, False, False, True], 88, False, [False, False, True, False], 2184, 'North', (6, 10))
Element 7: (1, (6, 10), ['%', '', '%', '.'], [(16, 6), (8, 10), (18, 6)], [True, False, True, False], 86, False, [False, False, False, True], 2213, 'East', (7, 10))
Element 8: (1, (7, 10), ['', '%', '%', ''], [(16, 5), (9, 10), (18, 7)], [False, True, True, False], 84, False, [False, False, False, False], 2242, 'East', (8, 10))
Element 9: (1, (8, 10), ['', '%', '%', ''], [(16, 4), (10, 10), (18, 8)], [False, True, True, False], 82, False, [False, False, False, False], 2261, 'East', (9, 10))
Element 10: (1, (9, 10), ['', '%', '%', ''], [(17, 4), (11, 10), (18, 9)], [False, True, True, False], 80, False, [False, False, False, False], 2280, 'East', (10, 10))
Element 11: (1, (10, 10), ['', '%', '%', ''], [(16, 4), (12, 10), (18, 10)], [False, True, True, False], 78, False, [False, False, False, False], 2289, 'East', (11, 10))
Element 12: (1, (11, 10), ['', '%', '%', ''], [(15, 4), (13, 10), (17, 10)], [False, True, True, False], 76, False, [False, False, False, False], 2308, 'East', (12, 10))
