Element 1: (2, (6, 1), ['%', '%', 'G', '.'], [(18, 7), (1, 10), (6, 2)], [True, True, False, False], 98, False, [False, False, False, True], 19, 'East', (7, 1))
Element 2: (2, (7, 1), ['', '%', 'G', '.'], [(18, 8), (2, 10), (7, 2)], [False, True, False, False], 96, False, [False, False, False, True], 58, 'East', (8, 1))
Element 3: (2, (8, 1), ['', '%', 'G', '.'], [(18, 9), (3, 10), (8, 2)], [False, True, False, False], 94, False, [False, False, False, True], 97, 'East', (9, 1))
Element 4: (2, (9, 1), ['', '%', 'G', '.'], [(18, 10), (4, 10), (9, 2)], [False, True, False, False], 92, False, [False, False, False, True], 136, 'East', (10, 1))
Element 5: (2, (10, 1), ['', '%', 'G', 'F'], [(17, 10), (4, 9), (10, 2)], [False, True, False, False], 90, False, [False, False, False, False], 175, 'East', (11, 1))
Element 6: (2, (11, 1), ['', '%', 'G', '.'], [(16, 10), (4, 8), (11, 2)], [False, True, False, False], 88, False, [False, False, False, True], 1204, 'East', (12, 1))
Element 7: (2, (12, 1), ['', '%', 'G', '.'], [(15, 10), (5, 8), (12, 2)], [False, True, False, False], 86, False, [False, False, False, True], 1243, 'East', (13, 1))
Element 8: (2, (13, 1), ['', '%', 'G', '%'], [(15, 9), (6, 8), (13, 2)], [False, True, False, True], 84, False, [False, False, False, False], 1282, 'West', (12, 1))
Element 9: (2, (12, 1), ['', '%', '', ''], [(15, 8), (7, 8), (13, 3)], [False, True, False, False], 82, False, [False, False, False, False], 1311, 'West', (11, 1))
Element 10: (2, (11, 1), ['', '%', '', ''], [(16, 8), (8, 8), (13, 4)], [False, True, False, False], 80, False, [False, False, False, False], 1340, 'West', (10, 1))
Element 11: (2, (10, 1), ['', '%', '', ''], [(16, 7), (9, 8), (14, 4)], [False, True, False, False], 78, False, [False, False, False, False], 1369, 'West', (9, 1))
Element 12: (2, (9, 1), ['', '%', '', ''], [(16, 6), (10, 8), (15, 4)], [False, True, False, False], 76, False, [False, False, False, False], 1398, 'West', (8, 1))
Element 13: (2, (8, 1), ['', '%', '', ''], [(17, 6), (11, 8), (16, 4)], [False, True, False, False], 74, False, [False, False, False, False], 1427, 'West', (7, 1))
Element 14: (2, (7, 1), ['', '%', '', ''], [(16, 6), (12, 8), (17, 4)], [False, True, False, False], 72, False, [False, False, False, False], 1446, 'West', (6, 1))
Element 15: (2, (6, 1), ['%', '%', '', ''], [(16, 5), (13, 8), (16, 4)], [True, True, False, False], 70, False, [False, False, False, False], 1465, 'Stop', (6, 1))
Element 16: (2, (6, 1), ['%', '%', '', ''], [(16, 4), (14, 8), (15, 4)], [True, True, False, False], 68, False, [False, False, False, False], 1474, 'East', (7, 1))
Element 17: (2, (7, 1), ['', '%', '', ''], [(17, 4), (15, 8), (14, 4)], [False, True, False, False], 66, False, [False, False, False, False], 1473, 'East', (8, 1))
Element 18: (2, (8, 1), ['', '%', '', ''], [(16, 4), (16, 8), (15, 4)], [False, True, False, False], 64, False, [False, False, False, False], 1472, 'East', (9, 1))
Element 19: (2, (9, 1), ['', '%', '', ''], [(15, 4), (16, 7), (15, 3)], [False, True, False, False], 62, False, [False, False, False, False], 1481, 'East', (10, 1))
Element 20: (2, (10, 1), ['', '%', '', ''], [(15, 3), (16, 6), (15, 2)], [False, True, False, False], 60, False, [False, False, False, False], 1490, 'East', (11, 1))
Element 21: (2, (11, 1), ['', '%', '', ''], [(15, 2), (15, 6), (16, 2)], [False, True, False, False], 58, False, [False, False, False, False], 1509, 'East', (12, 1))
Element 22: (2, (12, 1), ['', '%', '', ''], [(15, 1), (14, 6), (17, 2)], [False, True, False, False], 56, False, [False, False, False, False], 1538, 'East', (13, 1))
Element 23: (2, (13, 1), ['', '%', '', '%'], [(16, 1), (13, 6), (17, 1)], [False, True, False, True], 54, False, [False, False, False, False], 1567, 'North', (13, 2))
Element 24: (2, (13, 2), ['', '', '', '%'], [(17, 1), (13, 7), (18, 1)], [False, False, False, True], 52, False, [False, False, False, False], 1586, 'North', (13, 3))
Element 25: (2, (13, 3), ['%', '', '', '%'], [(18, 1), (13, 6), (18, 2)], [True, False, False, True], 50, False, [False, False, False, False], 1585, 'North', (13, 4))
Element 26: (2, (13, 4), ['.', '', 'G', ''], [(18, 2), (13, 5), (18, 3)], [False, False, False, False], 48, False, [True, False, False, False], 1604, 'West', (12, 4))
Element 27: (2, (12, 4), ['.', '%', '%', 'G'], [(17, 2), (13, 4), (18, 3)], [False, True, True, False], 46, False, [True, False, False, False], 1613, 'West', (11, 4))
Element 28: (2, (11, 4), ['.', '%', '%', ''], [(16, 2), (14, 4), (18, 2)], [False, True, True, False], 44, False, [True, False, False, False], 1622, 'West', (10, 4))
Element 29: (2, (10, 4), ['.', '%', '%', ''], [(17, 2), (15, 4), (18, 1)], [False, True, True, False], 42, False, [True, False, False, False], 1631, 'West', (9, 4))
Element 30: (2, (9, 4), ['', '%', '%', ''], [(18, 2), (16, 4), (17, 1)], [False, True, True, False], 40, False, [False, False, False, False], 1640, 'West', (8, 4))
