Element 1: (0, (17, 4), ['.', '%', '%', '%'], [(8, 8), (13, 6), (18, 3)], [False, True, True, True], 98, False, [True, False, False, False], 0, 'West', (16, 4))
Element 2: (0, (16, 4), ['.', '%', '.', ''], [(9, 8), (14, 6), (18, 2)], [False, True, False, False], 96, False, [True, False, True, False], 29, 'North', (16, 5))
Element 3: (0, (16, 5), ['%', '', '.', '%'], [(10, 8), (15, 6), (18, 1)], [True, False, False, True], 94, False, [False, False, True, False], 68, 'North', (16, 6))
Element 4: (0, (16, 6), ['', '', '.', '.'], [(11, 8), (14, 6), (17, 1)], [False, False, False, False], 92, False, [False, False, True, True], 97, 'East', (17, 6))
Element 5: (0, (17, 6), ['', '%', '%', '.'], [(12, 8), (13, 6), (17, 2)], [False, True, True, False], 90, False, [False, False, False, True], 126, 'East', (18, 6))
Element 6: (0, (18, 6), ['', '.', '.', '%'], [(13, 8), (13, 7), (16, 2)], [False, False, False, True], 88, False, [False, True, True, False], 165, 'North', (18, 7))
Element 7: (0, (18, 7), ['%', '', '.', '%'], [(14, 8), (13, 8), (16, 1)], [True, False, False, True], 86, False, [False, False, True, False], 194, 'North', (18, 8))
Element 8: (0, (18, 8), ['%', '', '.', '%'], [(15, 8), (13, 9), (15, 1)], [True, False, False, True], 84, False, [False, False, True, False], 233, 'North', (18, 9))
Element 9: (0, (18, 9), ['%', '', '.', '%'], [(16, 8), (13, 10), (15, 2)], [True, False, False, True], 82, False, [False, False, True, False], 272, 'North', (18, 10))
Element 10: (0, (18, 10), ['.', '', '%', '%'], [(16, 7), (12, 10), (15, 3)], [False, False, True, True], 80, False, [True, False, False, False], 1301, 'West', (17, 10))
Element 11: (0, (17, 10), ['.', '%', '%', ''], [(16, 6), (11, 10), (15, 4)], [False, True, True, False], 78, False, [True, False, False, False], 2320, 'West', (16, 10))
Element 12: (0, (16, 10), ['.', '%', '%', ''], [(17, 6), (10, 10), (14, 4)], [False, True, True, False], 76, False, [True, False, False, False], 2349, 'West', (15, 10))
Element 13: (0, (15, 10), ['%', '.', '%', ''], [(18, 6), (9, 10), (13, 4)], [True, False, True, False], 74, False, [False, True, False, False], 2378, 'South', (15, 9))
Element 14: (0, (15, 9), ['%', '', '', '%'], [(18, 5), (8, 10), (13, 5)], [True, False, False, True], 72, False, [False, False, False, False], 2417, 'South', (15, 8))
Element 15: (0, (15, 8), ['', '%', '', ''], [(18, 6), (7, 10), (13, 6)], [False, True, False, False], 70, False, [False, False, False, False], 2426, 'East', (16, 8))
Element 16: (0, (16, 8), ['', '', '%', '%'], [(18, 7), (6, 10), (14, 6)], [False, False, True, True], 68, False, [False, False, False, False], 2435, 'South', (16, 7))
Element 17: (0, (16, 7), ['%', '', '', '%'], [(18, 8), (6, 9), (15, 6)], [True, False, False, True], 66, False, [False, False, False, False], 2444, 'North', (16, 8))
Element 18: (0, (16, 8), ['', '', '%', '%'], [(18, 9), (6, 8), (16, 6)], [False, False, True, True], 64, False, [False, False, False, False], 2453, 'West', (15, 8))
Element 19: (0, (15, 8), ['', '%', '', ''], [(18, 10), (7, 8), (17, 6)], [False, True, False, False], 62, False, [False, False, False, False], 2462, 'West', (14, 8))
Element 20: (0, (14, 8), ['', '%', '%', ''], [(17, 10), (8, 8), (18, 6)], [False, True, True, False], 60, False, [False, False, False, False], 2461, 'West', (13, 8))
Element 21: (0, (13, 8), ['', '', '', ''], [(16, 10), (9, 8), (18, 7)], [False, False, False, False], 58, False, [False, False, False, False], 2460, 'North', (13, 9))
Element 22: (0, (13, 9), ['%', '', '', '%'], [(15, 10), (10, 8), (18, 8)], [True, False, False, True], 56, False, [False, False, False, False], 2459, 'North', (13, 10))
Element 23: (0, (13, 10), ['', '', '%', '%'], [(15, 9), (11, 8), (18, 9)], [False, False, True, True], 54, False, [False, False, False, False], 2458, 'West', (12, 10))
Element 24: (0, (12, 10), ['', '%', '%', ''], [(15, 10), (12, 8), (18, 10)], [False, True, True, False], 52, False, [False, False, False, False], 2457, 'West', (11, 10))
Element 25: (0, (11, 10), ['', '%', '%', ''], [(16, 10), (11, 8), (17, 10)], [False, True, True, False], 50, False, [False, False, False, False], 2456, 'West', (10, 10))
Element 26: (0, (10, 10), ['', '%', '%', ''], [(15, 10), (10, 8), (16, 10)], [False, True, True, False], 48, False, [False, False, False, False], 2455, 'West', (9, 10))
Element 27: (0, (9, 10), ['', '%', '%', ''], [(16, 10), (10, 7), (15, 10)], [False, True, True, False], 46, False, [False, False, False, False], 2454, 'West', (8, 10))
Element 28: (0, (8, 10), ['', '%', '%', ''], [(16, 10), (10, 6), (15, 9)], [False, True, True, False], 44, False, [False, False, False, False], 2453, 'West', (7, 10))
Element 29: (0, (7, 10), ['', '%', '%', ''], [(16, 10), (11, 6), (15, 8)], [False, True, True, False], 42, False, [False, False, False, False], 2462, 'West', (6, 10))
Element 30: (0, (6, 10), ['%', '', '%', ''], [(16, 10), (10, 6), (16, 8)], [True, False, True, False], 40, False, [False, False, False, False], 2461, 'South', (6, 9))
Element 31: (0, (6, 9), ['%', '', '', '%'], [(16, 10), (9, 6), (16, 7)], [True, False, False, True], 38, False, [False, False, False, False], 2460, 'South', (6, 8))
Element 32: (0, (6, 8), ['.', '.', '', ''], [(16, 10), (8, 6), (16, 8)], [False, False, False, False], 36, False, [True, True, False, False], 2469, 'South', (6, 7))
Element 33: (0, (6, 7), ['%', '.', '', '%'], [(16, 10), (9, 6), (15, 8)], [True, False, False, True], 34, False, [False, True, False, False], 2478, 'South', (6, 6))
Element 34: (0, (6, 6), ['.', '.', '', '%'], [(16, 10), (9, 7), (14, 8)], [False, False, False, True], 32, False, [True, True, False, False], 2487, 'South', (6, 5))
Element 35: (0, (6, 5), ['%', '.', '', 'F'], [(16, 10), (9, 6), (13, 8)], [True, False, False, False], 30, False, [False, True, False, False], 2496, 'East', (7, 5))
Element 36: (0, (7, 5), ['', '.', '%', '%'], [(16, 10), (10, 6), (13, 9)], [False, False, True, True], 28, False, [False, True, False, False], 3495, 'South', (7, 4))
Element 37: (0, (7, 4), ['.', '%', '', ''], [(16, 10), (10, 7), (13, 10)], [False, True, False, False], 26, False, [True, False, False, False], 3504, 'West', (6, 4))
Element 38: (0, (6, 4), ['.', '.', '', ''], [(16, 10), (9, 7), (12, 10)], [False, False, False, False], 24, False, [True, True, False, False], 3513, 'South', (6, 3))
Element 39: (0, (6, 3), ['%', '.', '', '%'], [(16, 10), (10, 7), (11, 10)], [True, False, False, True], 22, False, [False, True, False, False], 3522, 'South', (6, 2))
Element 40: (0, (6, 2), ['%', '.', '', '.'], [(16, 10), (10, 8), (10, 10)], [True, False, False, False], 20, False, [False, True, False, True], 3531, 'East', (7, 2))
Element 41: (0, (7, 2), ['', '.', '%', '.'], [(16, 10), (9, 8), (9, 10)], [False, False, True, False], 18, False, [False, True, False, True], 3540, 'East', (8, 2))
Element 42: (0, (8, 2), ['', '.', '%', '.'], [(16, 10), (9, 7), (8, 10)], [False, False, True, False], 16, False, [False, True, False, True], 3549, 'East', (9, 2))
Element 43: (0, (9, 2), ['', '.', '%', '.'], [(16, 10), (9, 8), (7, 10)], [False, False, True, False], 14, False, [False, True, False, True], 3558, 'East', (10, 2))
Element 44: (0, (10, 2), ['', '.', '%', '.'], [(16, 10), (8, 8), (6, 10)], [False, False, True, False], 12, False, [False, True, False, True], 3567, 'East', (11, 2))
Element 45: (0, (11, 2), ['', 'F', '%', '.'], [(16, 10), (7, 8), (6, 9)], [False, False, True, False], 10, False, [False, False, False, True], 3576, 'South', (11, 1))
Element 46: #1#
