Element 1: (2, (6, 10), ['%', '.', '%', '.'], [(15, 6), (4, 9), (8, 1)], [True, False, True, False], 98, False, [False, True, False, True], 19, 'East', (7, 10))
Element 2: (2, (7, 10), ['', '%', '%', '.'], [(16, 6), (4, 8), (9, 1)], [False, True, True, False], 96, False, [False, False, False, True], 58, 'East', (8, 10))
Element 3: (2, (8, 10), ['', '%', '%', '.'], [(17, 6), (5, 8), (10, 1)], [False, True, True, False], 94, False, [False, False, False, True], 97, 'East', (9, 10))
Element 4: (2, (9, 10), ['', '%', '%', '.'], [(18, 6), (6, 8), (11, 1)], [False, True, True, False], 92, False, [False, False, False, True], 1126, 'East', (10, 10))
Element 5: (2, (10, 10), ['', '%', '%', 'F'], [(18, 7), (7, 8), (12, 1)], [False, True, True, False], 90, False, [False, False, False, False], 1165, 'East', (11, 10))
Element 6: (2, (11, 10), ['', '%', '%', 'F'], [(18, 8), (8, 8), (13, 1)], [False, True, True, False], 88, False, [False, False, False, False], 2194, 'East', (12, 10))
Element 7: (2, (12, 10), ['', '%', '%', '.'], [(18, 9), (9, 8), (13, 2)], [False, True, True, False], 86, False, [False, False, False, True], 3223, 'East', (13, 10))
Element 8: (2, (13, 10), ['', '.', '%', '%'], [(18, 10), (10, 8), (13, 3)], [False, False, True, True], 84, False, [False, True, False, False], 3262, 'South', (13, 9))
Element 9: (2, (13, 9), ['%', '.', '', '%'], [(17, 10), (11, 8), (13, 4)], [True, False, False, True], 82, False, [False, True, False, False], 3301, 'South', (13, 8))
Element 10: (2, (13, 8), ['G', '.', '', '.'], [(16, 10), (12, 8), (14, 4)], [False, False, False, False], 80, False, [False, True, False, True], 3340, 'East', (14, 8))
Element 11: (2, (14, 8), ['G', '%', '%', '.'], [(15, 10), (13, 8), (15, 4)], [False, True, True, False], 78, False, [False, False, False, True], 3369, 'East', (15, 8))
Element 12: (2, (15, 8), ['', '%', 'G', '.'], [(15, 9), (13, 7), (16, 4)], [False, True, False, False], 76, False, [False, False, False, True], 3408, 'East', (16, 8))
Element 13: (2, (16, 8), ['G', '.', '%', '%'], [(15, 8), (13, 6), (17, 4)], [False, False, True, True], 74, False, [False, True, False, False], 3437, 'South', (16, 7))
Element 14: (2, (16, 7), ['%', '', 'G', '%'], [(16, 8), (13, 5), (16, 4)], [True, False, False, True], 72, False, [False, False, False, False], 3456, 'South', (16, 6))
Element 15: (2, (16, 6), ['', 'G', 'G', ''], [(16, 7), (13, 4), (16, 5)], [False, False, False, False], 70, False, [False, False, False, False], 3465, 'East', (17, 6))
Element 16: (2, (17, 6), ['G', '%', '%', ''], [(16, 8), (12, 4), (16, 6)], [False, True, True, False], 68, False, [False, False, False, False], 3474, 'East', (18, 6))
Element 17: (2, (18, 6), ['G', '.', '', '%'], [(15, 8), (11, 4), (17, 6)], [False, False, False, True], 66, False, [False, True, False, False], 3483, 'South', (18, 5))
Element 18: (2, (18, 5), ['%', '%', 'G', '%'], [(14, 8), (10, 4), (18, 6)], [True, True, False, True], 64, False, [False, False, False, False], 3502, 'Stop', (18, 5))
Element 19: (2, (18, 5), ['%', '%', '', '%'], [(13, 8), (9, 4), (18, 7)], [True, True, False, True], 62, False, [False, False, False, False], 3511, 'North', (18, 6))
Element 20: (2, (18, 6), ['', '', '', '%'], [(13, 9), (8, 4), (18, 8)], [False, False, False, True], 60, False, [False, False, False, False], 3510, 'Stop', (18, 6))
Element 21: (2, (18, 6), ['', '', '', '%'], [(13, 10), (7, 4), (18, 9)], [False, False, False, True], 58, False, [False, False, False, False], 3519, 'West', (17, 6))
Element 22: #1#
