Element 1: (2, (13, 3), ['%', '', '.', '%'], [(12, 10), (13, 1), (16, 2)], [True, False, False, True], 98, False, [False, False, True, False], 1009, 'North', (13, 4))
Element 2: (2, (13, 4), ['.', '', '.', '.'], [(11, 10), (12, 1), (17, 2)], [False, False, False, False], 96, False, [True, False, True, True], 2038, 'East', (14, 4))
Element 3: (2, (14, 4), ['', '%', '%', '.'], [(10, 10), (11, 1), (17, 1)], [False, True, True, False], 94, False, [False, False, False, True], 3067, 'East', (15, 4))
Element 4: (2, (15, 4), ['', '.', '%', '.'], [(9, 10), (11, 2), (18, 1)], [False, False, True, False], 92, False, [False, True, False, True], 3106, 'East', (16, 4))
Element 5: (2, (16, 4), ['', '%', '.', '.'], [(8, 10), (12, 2), (18, 2)], [False, True, False, False], 90, False, [False, False, True, True], 3135, 'East', (17, 4))
Element 6: (2, (17, 4), ['', '%', '%', '%'], [(7, 10), (11, 2), (18, 3)], [False, True, True, True], 88, False, [False, False, False, False], 3164, 'West', (16, 4))
Element 7: (2, (16, 4), ['', '%', '.', ''], [(6, 10), (10, 2), (18, 2)], [False, True, False, False], 86, False, [False, False, True, False], 3183, 'North', (16, 5))
Element 8: (2, (16, 5), ['%', '', '.', '%'], [(6, 9), (10, 1), (18, 1)], [True, False, False, True], 84, False, [False, False, True, False], 3212, 'North', (16, 6))
Element 9: (2, (16, 6), ['.', '', '.', '.'], [(6, 8), (9, 1), (17, 1)], [False, False, False, False], 82, False, [True, False, True, True], 3241, 'East', (17, 6))
Element 10: (2, (17, 6), ['', '%', '%', '.'], [(7, 8), (9, 2), (16, 1)], [False, True, True, False], 80, False, [False, False, False, True], 3280, 'East', (18, 6))
Element 11: (2, (18, 6), ['', '.', '.', '%'], [(8, 8), (8, 2), (15, 1)], [False, False, False, True], 78, False, [False, True, True, False], 3319, 'North', (18, 7))
Element 12: (2, (18, 7), ['%', '', '.', '%'], [(9, 8), (8, 1), (15, 2)], [True, False, False, True], 76, False, [False, False, True, False], 3358, 'North', (18, 8))
Element 13: (2, (18, 8), ['%', '', '.', '%'], [(10, 8), (7, 1), (15, 3)], [True, False, False, True], 74, False, [False, False, True, False], 3397, 'North', (18, 9))
Element 14: (2, (18, 9), ['%', '', '.', '%'], [(11, 8), (7, 2), (15, 4)], [True, False, False, True], 72, False, [False, False, True, False], 3426, 'North', (18, 10))
Element 15: (2, (18, 10), ['.', '', '%', '%'], [(12, 8), (6, 2), (16, 4)], [False, False, True, True], 70, False, [True, False, False, False], 3455, 'West', (17, 10))
Element 16: (2, (17, 10), ['.', '%', '%', ''], [(13, 8), (6, 3), (17, 4)], [False, True, True, False], 68, False, [True, False, False, False], 3484, 'West', (16, 10))
Element 17: (2, (16, 10), ['.', '%', '%', ''], [(14, 8), (6, 4), (16, 4)], [False, True, True, False], 66, False, [True, False, False, False], 3513, 'West', (15, 10))
Element 18: (2, (15, 10), ['%', '.', '%', ''], [(15, 8), (7, 4), (16, 5)], [True, False, True, False], 64, False, [False, True, False, False], 3542, 'South', (15, 9))
Element 19: #1#
