Element 1: (3, (18, 10), ['.', '.', '%', '%'], [(15, 4), (1, 10), (14, 8)], [False, False, True, True], 98, False, [True, True, False, False], 29, 'South', (18, 9))
Element 2: (3, (18, 9), ['%', '.', '', '%'], [(16, 4), (2, 10), (15, 8)], [True, False, False, True], 96, False, [False, True, False, False], 68, 'South', (18, 8))
Element 3: (3, (18, 8), ['%', '.', '', '%'], [(17, 4), (3, 10), (16, 8)], [True, False, False, True], 94, False, [False, True, False, False], 107, 'South', (18, 7))
Element 4: (3, (18, 7), ['%', '.', '', '%'], [(16, 4), (4, 10), (16, 7)], [True, False, False, True], 92, False, [False, True, False, False], 136, 'South', (18, 6))
Element 5: (3, (18, 6), ['.', '.', '', '%'], [(16, 5), (4, 9), (16, 6)], [False, False, False, True], 90, False, [True, True, False, False], 175, 'South', (18, 5))
Element 6: (3, (18, 5), ['%', '%', '', '%'], [(16, 4), (4, 8), (17, 6)], [True, True, False, True], 88, False, [False, False, False, False], 204, 'North', (18, 6))
Element 7: (3, (18, 6), ['', '', '', '%'], [(15, 4), (5, 8), (16, 6)], [False, False, False, True], 86, False, [False, False, False, False], 213, 'West', (17, 6))
Element 8: (3, (17, 6), ['', '%', '%', ''], [(15, 3), (6, 8), (15, 6)], [False, True, True, False], 84, False, [False, False, False, False], 242, 'West', (16, 6))
Element 9: (3, (16, 6), ['', '', '', ''], [(15, 2), (7, 8), (14, 6)], [False, False, False, False], 82, False, [False, False, False, False], 271, 'North', (16, 7))
Element 10: (3, (16, 7), ['%', '', '', '%'], [(16, 2), (8, 8), (13, 6)], [True, False, False, True], 80, False, [False, False, False, False], 300, 'North', (16, 8))
Element 11: (3, (16, 8), ['', '', '%', '%'], [(17, 2), (9, 8), (13, 7)], [False, False, True, True], 78, False, [False, False, False, False], 329, 'West', (15, 8))
Element 12: (3, (15, 8), ['', '%', '.', ''], [(17, 1), (10, 8), (13, 6)], [False, True, False, False], 76, False, [False, False, True, False], 348, 'North', (15, 9))
Element 13: (3, (15, 9), ['%', '', '.', '%'], [(18, 1), (11, 8), (13, 5)], [True, False, False, True], 74, False, [False, False, True, False], 387, 'North', (15, 10))
Element 14: (3, (15, 10), ['%', '', '%', '.'], [(18, 2), (12, 8), (13, 4)], [True, False, True, False], 72, False, [False, False, False, True], 416, 'East', (16, 10))
Element 15: (3, (16, 10), ['', '%', '%', '.'], [(18, 3), (13, 8), (13, 3)], [False, True, True, False], 70, False, [False, False, False, True], 445, 'East', (17, 10))
Element 16: (3, (17, 10), ['', '%', '%', ''], [(18, 2), (13, 9), (13, 2)], [False, True, True, False], 68, False, [False, False, False, False], 474, 'West', (16, 10))
Element 17: (3, (16, 10), ['', '%', '%', ''], [(18, 1), (13, 10), (13, 1)], [False, True, True, False], 66, False, [False, False, False, False], 493, 'West', (15, 10))
Element 18: (3, (15, 10), ['%', '', '%', ''], [(17, 1), (12, 10), (12, 1)], [True, False, True, False], 64, False, [False, False, False, False], 1502, 'South', (15, 9))
Element 19: (3, (15, 9), ['%', '', '', '%'], [(16, 1), (11, 10), (11, 1)], [True, False, False, True], 62, False, [False, False, False, False], 3511, 'South', (15, 8))
Element 20: (3, (15, 8), ['', '%', '', ''], [(15, 1), (10, 10), (11, 2)], [False, True, False, False], 60, False, [False, False, False, False], 3540, 'West', (14, 8))
Element 21: (3, (14, 8), ['', '%', '%', ''], [(16, 1), (9, 10), (12, 2)], [False, True, True, False], 58, False, [False, False, False, False], 3559, 'West', (13, 8))
Element 22: (3, (13, 8), ['', '', '', ''], [(17, 1), (8, 10), (11, 2)], [False, False, False, False], 56, False, [False, False, False, False], 3568, 'North', (13, 9))
Element 23: (3, (13, 9), ['%', '', '', '%'], [(17, 2), (7, 10), (10, 2)], [True, False, False, True], 54, False, [False, False, False, False], 3587, 'North', (13, 10))
Element 24: (3, (13, 10), ['', '', '%', '%'], [(18, 2), (6, 10), (10, 1)], [False, False, True, True], 52, False, [False, False, False, False], 3606, 'West', (12, 10))
Element 25: (3, (12, 10), ['', '%', '%', ''], [(17, 2), (6, 9), (9, 1)], [False, True, True, False], 50, False, [False, False, False, False], 3625, 'West', (11, 10))
Element 26: (3, (11, 10), ['', '%', '%', ''], [(16, 2), (6, 10), (9, 2)], [False, True, True, False], 48, False, [False, False, False, False], 3634, 'West', (10, 10))
Element 27: (3, (10, 10), ['', '%', '%', ''], [(16, 1), (7, 10), (8, 2)], [False, True, True, False], 46, False, [False, False, False, False], 3643, 'West', (9, 10))
Element 28: (3, (9, 10), ['G', '%', '%', ''], [(16, 2), (8, 10), (8, 1)], [False, True, True, False], 44, False, [False, False, False, False], 3652, 'East', (10, 10))
Element 29: (3, (10, 10), ['G', '%', '%', ''], [(15, 2), (9, 10), (7, 1)], [False, True, True, False], 42, False, [False, False, False, False], 3661, 'East', (11, 10))
Element 30: (3, (11, 10), ['G', '%', '%', ''], [(15, 1), (10, 10), (7, 2)], [False, True, True, False], 40, False, [False, False, False, False], 3670, 'East', (12, 10))
Element 31: (3, (12, 10), ['G', '%', '%', ''], [(15, 2), (11, 10), (6, 2)], [False, True, True, False], 38, False, [False, False, False, False], 3679, 'East', (13, 10))
Element 32: (3, (13, 10), ['G', '', '%', '%'], [(15, 3), (12, 10), (6, 3)], [False, False, True, True], 36, False, [False, False, False, False], 3688, 'South', (13, 9))
Element 33: (3, (13, 9), ['%', '', 'G', '%'], [(15, 4), (13, 10), (6, 4)], [True, False, False, True], 34, False, [False, False, False, False], 3697, 'South', (13, 8))
Element 34: (3, (13, 8), ['', '', 'G', ''], [(14, 4), (13, 9), (7, 4)], [False, False, False, False], 32, False, [False, False, False, False], 3706, 'South', (13, 7))
Element 35: #1#
