Element 1: (2, (5, 6), ['G', '%', '%', '.'], [(10, 8), (4, 6), (6, 10)], [False, True, True, False], 98, False, [False, False, False, True], 19, 'East', (6, 6))
Element 2: (2, (6, 6), ['G', '.', '.', '%'], [(11, 8), (5, 6), (7, 10)], [False, False, False, True], 96, False, [False, True, True, False], 48, 'North', (6, 7))
Element 3: (2, (6, 7), ['%', 'G', '.', '%'], [(12, 8), (6, 6), (8, 10)], [True, False, False, True], 94, False, [False, False, True, False], 77, 'North', (6, 8))
Element 4: (2, (6, 8), ['.', '', '.', '.'], [(13, 8), (6, 5), (9, 10)], [False, False, False, False], 92, False, [True, False, True, True], 116, 'East', (7, 8))
Element 5: (2, (7, 8), ['', '%', '%', '.'], [(14, 8), (7, 5), (10, 10)], [False, True, True, False], 90, False, [False, False, False, True], 1145, 'East', (8, 8))
Element 6: (2, (8, 8), ['', '%', '%', ''], [(15, 8), (7, 4), (11, 10)], [False, True, True, False], 88, False, [False, False, False, False], 2174, 'East', (9, 8))
Element 7: (2, (9, 8), ['', '', '%', ''], [(16, 8), (6, 4), (12, 10)], [False, False, True, False], 86, False, [False, False, False, False], 3193, 'East', (10, 8))
Element 8: (2, (10, 8), ['', '', '%', ''], [(16, 7), (6, 3), (13, 10)], [False, False, True, False], 84, False, [False, False, False, False], 3222, 'East', (11, 8))
Element 9: (2, (11, 8), ['', '%', '%', ''], [(16, 6), (6, 2), (13, 9)], [False, True, True, False], 82, False, [False, False, False, False], 3251, 'East', (12, 8))
Element 10: (2, (12, 8), ['', '%', '%', 'G'], [(17, 6), (7, 2), (13, 8)], [False, True, True, False], 80, False, [False, False, False, False], 3270, 'West', (11, 8))
Element 11: (2, (11, 8), ['', '%', '%', ''], [(18, 6), (8, 2), (13, 7)], [False, True, True, False], 78, False, [False, False, False, False], 3299, 'West', (10, 8))
Element 12: (2, (10, 8), ['', '', '%', ''], [(18, 7), (9, 2), (13, 6)], [False, False, True, False], 76, False, [False, False, False, False], 3328, 'South', (10, 7))
Element 13: (2, (10, 7), ['', '', '', '%'], [(18, 8), (10, 2), (14, 6)], [False, False, False, True], 74, False, [False, False, False, False], 3357, 'South', (10, 6))
Element 14: (2, (10, 6), ['', '%', '', '.'], [(18, 9), (11, 2), (15, 6)], [False, True, False, False], 72, False, [False, False, False, True], 3386, 'East', (11, 6))
Element 15: #1#
