Element 1: (1, (10, 8), ['.', '', '%', '.'], [(15, 6), (14, 6), (16, 6)], [False, False, True, False], 98, False, [True, False, False, True], -1, 'East', (11, 8))
Element 2: (1, (11, 8), ['', '%', '%', '.'], [(16, 6), (13, 6), (17, 6)], [False, True, True, False], 96, False, [False, False, False, True], 28, 'East', (12, 8))
Element 3: (1, (12, 8), ['', '%', '%', '.'], [(16, 7), (13, 7), (18, 6)], [False, True, True, False], 94, False, [False, False, False, True], 67, 'East', (13, 8))
Element 4: (1, (13, 8), ['', '', '.', '.'], [(16, 8), (13, 6), (18, 7)], [False, False, False, False], 92, False, [False, False, True, True], 96, 'East', (14, 8))
Element 5: (1, (14, 8), ['', '%', '%', 'G'], [(15, 8), (13, 5), (18, 8)], [False, True, True, False], 90, False, [False, False, False, False], 135, 'West', (13, 8))
Element 6: (1, (13, 8), ['', '', '.', ''], [(15, 9), (13, 4), (18, 9)], [False, False, False, False], 88, False, [False, False, True, False], 164, 'North', (13, 9))
Element 7: (1, (13, 9), ['%', '', '.', '%'], [(15, 10), (14, 4), (18, 10)], [True, False, False, True], 86, False, [False, False, True, False], 203, 'North', (13, 10))
Element 8: (1, (13, 10), ['F', '', '%', '%'], [(16, 10), (15, 4), (17, 10)], [False, False, True, True], 84, False, [False, False, False, False], 242, 'West', (12, 10))
Element 9: (1, (12, 10), ['F', '%', '%', ''], [(17, 10), (16, 4), (18, 10)], [False, True, True, False], 82, False, [False, False, False, False], 1251, 'West', (11, 10))
Element 10: (1, (11, 10), ['.', '%', '%', ''], [(18, 10), (17, 4), (18, 9)], [False, True, True, False], 80, False, [True, False, False, False], 2260, 'West', (10, 10))
Element 11: (1, (10, 10), ['.', '%', '%', ''], [(18, 9), (16, 4), (18, 8)], [False, True, True, False], 78, False, [True, False, False, False], 2269, 'West', (9, 10))
Element 12: (1, (9, 10), ['.', '%', '%', ''], [(18, 8), (16, 5), (18, 7)], [False, True, True, False], 76, False, [True, False, False, False], 2288, 'West', (8, 10))
