Element 1: (0, (2, 1), ['', '%', '.', '.'], [(3, 4), (9, 10), (18, 10)], [False, True, False, False], 98, False, [False, False, True, True], 0, 'East', (3, 1))
Element 2: (0, (3, 1), ['', '%', '.', '.'], [(4, 4), (10, 10), (18, 9)], [False, True, False, False], 96, False, [False, False, True, True], 39, 'East', (4, 1))
Element 3: (0, (4, 1), ['', '%', '.', '%'], [(5, 4), (11, 10), (18, 8)], [False, True, False, True], 94, False, [False, False, True, False], 1068, 'North', (4, 2))
Element 4: (0, (4, 2), ['.', '', '.', '%'], [(6, 4), (12, 10), (18, 7)], [False, False, False, True], 92, False, [True, False, True, False], 2097, 'North', (4, 3))
Element 5: (0, (4, 3), ['%', '', '', '%'], [(7, 4), (13, 10), (18, 6)], [True, False, False, True], 90, False, [False, False, False, False], 2136, 'North', (4, 4))
Element 6: (0, (4, 4), ['', '', '%', ''], [(7, 5), (13, 9), (18, 5)], [False, False, True, False], 88, False, [False, False, False, False], 3155, 'East', (5, 4))
Element 7: (0, (5, 4), ['', '%', '%', ''], [(6, 5), (13, 8), (18, 6)], [False, True, True, False], 86, False, [False, False, False, False], 3174, 'East', (6, 4))
Element 8: (0, (6, 4), ['', '.', '', ''], [(6, 6), (14, 8), (17, 6)], [False, False, False, False], 84, False, [False, True, False, False], 3203, 'South', (6, 3))
Element 9: (0, (6, 3), ['%', '.', '', '%'], [(6, 7), (15, 8), (16, 6)], [True, False, False, True], 82, False, [False, True, False, False], 3242, 'South', (6, 2))
Element 10: (0, (6, 2), ['%', '.', '', '.'], [(6, 8), (16, 8), (16, 7)], [True, False, False, False], 80, False, [False, True, False, True], 3281, 'East', (7, 2))
Element 11: (0, (7, 2), ['', '.', '%', '.'], [(7, 8), (15, 8), (16, 8)], [False, False, True, False], 78, False, [False, True, False, True], 3300, 'East', (8, 2))
Element 12: (0, (8, 2), ['', '.', '%', '.'], [(8, 8), (15, 9), (15, 8)], [False, False, True, False], 76, False, [False, True, False, True], 3329, 'East', (9, 2))
Element 13: (0, (9, 2), ['', '.', '%', '.'], [(9, 8), (15, 10), (15, 9)], [False, False, True, False], 74, False, [False, True, False, True], 3358, 'East', (10, 2))
Element 14: (0, (10, 2), ['', '.', '%', '.'], [(10, 8), (16, 10), (15, 10)], [False, False, True, False], 72, False, [False, True, False, True], 3387, 'East', (11, 2))
Element 15: (0, (11, 2), ['', 'F', '%', '.'], [(11, 8), (17, 10), (16, 10)], [False, False, True, False], 70, False, [False, False, False, True], 3416, 'South', (11, 1))
Element 16: #1#
