Element 1: (3, (13, 3), ['%', 'G', '.', '%'], [(13, 2), (3, 6), (7, 5)], [True, False, False, True], 98, False, [False, False, True, False], 1019, 'North', (13, 4))
Element 2: (3, (13, 4), ['.', '', '.', '.'], [(13, 1), (4, 6), (7, 4)], [False, False, False, False], 96, False, [True, False, True, True], 1058, 'East', (14, 4))
Element 3: (3, (14, 4), ['', '%', '%', '.'], [(12, 1), (5, 6), (6, 4)], [False, True, True, False], 94, False, [False, False, False, True], 1097, 'East', (15, 4))
Element 4: (3, (15, 4), ['', '.', '%', '.'], [(11, 1), (6, 6), (6, 3)], [False, False, True, False], 92, False, [False, True, False, True], 2126, 'East', (16, 4))
Element 5: (3, (16, 4), ['', '%', '.', '.'], [(11, 2), (6, 7), (6, 2)], [False, True, False, False], 90, False, [False, False, True, True], 2165, 'East', (17, 4))
Element 6: (3, (17, 4), ['', '%', '%', '%'], [(10, 2), (6, 8), (7, 2)], [False, True, True, True], 88, False, [False, False, False, False], 2204, 'West', (16, 4))
Element 7: (3, (16, 4), ['', '%', '.', ''], [(10, 1), (7, 8), (8, 2)], [False, True, False, False], 86, False, [False, False, True, False], 2233, 'North', (16, 5))
Element 8: (3, (16, 5), ['%', '', '.', '%'], [(9, 1), (8, 8), (9, 2)], [True, False, False, True], 84, False, [False, False, True, False], 2272, 'North', (16, 6))
Element 9: (3, (16, 6), ['.', '', '.', '.'], [(8, 1), (9, 8), (10, 2)], [False, False, False, False], 82, False, [True, False, True, True], 2301, 'East', (17, 6))
Element 10: (3, (17, 6), ['', '%', '%', '.'], [(7, 1), (10, 8), (11, 2)], [False, True, True, False], 80, False, [False, False, False, True], 2330, 'East', (18, 6))
Element 11: (3, (18, 6), ['', '.', '.', '%'], [(6, 1), (11, 8), (12, 2)], [False, False, False, True], 78, False, [False, True, True, False], 2359, 'North', (18, 7))
Element 12: (3, (18, 7), ['%', '', '.', '%'], [(6, 2), (12, 8), (13, 2)], [True, False, False, True], 76, False, [False, False, True, False], 2378, 'North', (18, 8))
Element 13: (3, (18, 8), ['%', '', '.', '%'], [(7, 2), (13, 8), (13, 3)], [True, False, False, True], 74, False, [False, False, True, False], 2397, 'North', (18, 9))
Element 14: (3, (18, 9), ['%', '', '.', '%'], [(8, 2), (14, 8), (13, 4)], [True, False, False, True], 72, False, [False, False, True, False], 2416, 'North', (18, 10))
Element 15: (3, (18, 10), ['.', '', '%', '%'], [(9, 2), (15, 8), (13, 5)], [False, False, True, True], 70, False, [True, False, False, False], 2445, 'West', (17, 10))
Element 16: (3, (17, 10), ['.', '%', '%', ''], [(8, 2), (16, 8), (13, 6)], [False, True, True, False], 68, False, [True, False, False, False], 2474, 'West', (16, 10))
Element 17: (3, (16, 10), ['.', '%', '%', ''], [(7, 2), (16, 7), (14, 6)], [False, True, True, False], 66, False, [True, False, False, False], 2503, 'West', (15, 10))
Element 18: (3, (15, 10), ['%', '.', '%', ''], [(6, 2), (16, 6), (15, 6)], [True, False, True, False], 64, False, [False, True, False, False], 2522, 'South', (15, 9))
Element 19: (3, (15, 9), ['%', '', '', '%'], [(6, 3), (17, 6), (16, 6)], [True, False, False, True], 62, False, [False, False, False, False], 2531, 'South', (15, 8))
Element 20: (3, (15, 8), ['', '%', '', ''], [(6, 4), (18, 6), (17, 6)], [False, True, False, False], 60, False, [False, False, False, False], 2530, 'East', (16, 8))
Element 21: (3, (16, 8), ['', '', '%', '%'], [(5, 4), (18, 5), (18, 6)], [False, False, True, True], 58, False, [False, False, False, False], 2549, 'South', (16, 7))
Element 22: (3, (16, 7), ['%', '', '', '%'], [(4, 4), (18, 5), (18, 7)], [True, False, False, True], 56, False, [False, False, False, False], 2558, 'North', (16, 8))
Element 23: (3, (16, 8), ['', '', '%', '%'], [(4, 3), (18, 6), (18, 8)], [False, False, True, True], 54, False, [False, False, False, False], 2567, 'West', (15, 8))
Element 24: (3, (15, 8), ['', '%', '', ''], [(4, 2), (18, 6), (18, 9)], [False, True, False, False], 52, False, [False, False, False, False], 2576, 'West', (14, 8))
Element 25: (3, (14, 8), ['', '%', '%', ''], [(4, 1), (17, 6), (18, 10)], [False, True, True, False], 50, False, [False, False, False, False], 2585, 'West', (13, 8))
Element 26: (3, (13, 8), ['', '.', '.', ''], [(3, 1), (16, 6), (17, 10)], [False, False, False, False], 48, False, [False, True, True, False], 2594, 'North', (13, 9))
Element 27: (3, (13, 9), ['%', '', '.', '%'], [(3, 2), (16, 5), (16, 10)], [True, False, False, True], 46, False, [False, False, True, False], 2613, 'North', (13, 10))
Element 28: (3, (13, 10), ['F', '', '%', '%'], [(2, 2), (16, 4), (15, 10)], [False, False, True, True], 44, False, [False, False, False, False], 2632, 'West', (12, 10))
Element 29: (3, (12, 10), ['F', '%', '%', ''], [(2, 1), (17, 4), (15, 9)], [False, True, True, False], 42, False, [False, False, False, False], 3641, 'West', (11, 10))
Element 30: #1#
