Element 1: (0, (13, 1), ['.', '%', 'G', '%'], [(1, 6), (6, 7), (13, 2)], [False, True, False, True], 98, False, [True, False, False, False], 0, 'West', (12, 1))
Element 2: (0, (12, 1), ['F', '%', '.', ''], [(2, 6), (6, 8), (13, 3)], [False, True, False, False], 96, False, [False, False, True, False], 39, 'West', (11, 1))
Element 3: (0, (11, 1), ['.', '%', '.', ''], [(3, 6), (7, 8), (13, 4)], [False, True, False, False], 94, False, [True, False, True, False], 1068, 'North', (11, 2))
Element 4: (0, (11, 2), ['.', '', '%', '.'], [(4, 6), (8, 8), (14, 4)], [False, False, True, False], 92, False, [True, False, False, True], 1107, 'East', (12, 2))
Element 5: (0, (12, 2), ['', '', '%', ''], [(5, 6), (9, 8), (15, 4)], [False, False, True, False], 90, False, [False, False, False, False], 1146, 'East', (13, 2))
Element 6: (0, (13, 2), ['', '', '', '%'], [(6, 6), (10, 8), (16, 4)], [False, False, False, True], 88, False, [False, False, False, False], 1175, 'North', (13, 3))
Element 7: (0, (13, 3), ['%', '', '', '%'], [(6, 5), (11, 8), (17, 4)], [True, False, False, True], 86, False, [False, False, False, False], 1204, 'North', (13, 4))
Element 8: (0, (13, 4), ['.', '', '.', ''], [(7, 5), (12, 8), (16, 4)], [False, False, False, False], 84, False, [True, False, True, False], 2213, 'North', (13, 5))
Element 9: (0, (13, 5), ['%', '', '.', '%'], [(7, 4), (13, 8), (16, 5)], [True, False, False, True], 82, False, [False, False, True, False], 2252, 'North', (13, 6))
Element 10: (0, (13, 6), ['%', '', '.', '.'], [(6, 4), (14, 8), (16, 6)], [True, False, False, False], 80, False, [False, False, True, True], 2291, 'East', (14, 6))
Element 11: (0, (14, 6), ['', '%', '%', '.'], [(6, 3), (15, 8), (17, 6)], [False, True, True, False], 78, False, [False, False, False, True], 2330, 'East', (15, 6))
Element 12: (0, (15, 6), ['', '%', '%', ''], [(6, 2), (16, 8), (18, 6)], [False, True, True, False], 76, False, [False, False, False, False], 2369, 'East', (16, 6))
Element 13: (0, (16, 6), ['', '', 'G', ''], [(7, 2), (16, 7), (18, 7)], [False, False, False, False], 74, False, [False, False, False, False], 2398, 'East', (17, 6))
Element 14: (0, (17, 6), ['G', '%', '%', ''], [(8, 2), (16, 6), (18, 8)], [False, True, True, False], 72, False, [False, False, False, False], 2417, 'East', (18, 6))
Element 15: (0, (18, 6), ['G', '.', '', '%'], [(9, 2), (17, 6), (18, 9)], [False, False, False, True], 70, False, [False, True, False, False], 2436, 'South', (18, 5))
Element 16: (0, (18, 5), ['%', '%', 'G', '%'], [(10, 2), (18, 6), (18, 10)], [True, True, False, True], 68, False, [False, False, False, False], 2465, 'Stop', (18, 5))
Element 17: (0, (18, 5), ['%', '%', '', '%'], [(10, 1), (18, 7), (17, 10)], [True, True, False, True], 66, False, [False, False, False, False], 2484, 'North', (18, 6))
Element 18: (0, (18, 6), ['', '', '', '%'], [(9, 1), (18, 8), (16, 10)], [False, False, False, True], 64, False, [False, False, False, False], 2503, 'Stop', (18, 6))
Element 19: (0, (18, 6), ['', '', '', '%'], [(8, 1), (18, 9), (15, 10)], [False, False, False, True], 62, False, [False, False, False, False], 2522, 'West', (17, 6))
Element 20: (0, (17, 6), ['', '%', '%', ''], [(7, 1), (18, 10), (15, 9)], [False, True, True, False], 60, False, [False, False, False, False], 2541, 'West', (16, 6))
Element 21: (0, (16, 6), ['', '', '', ''], [(6, 1), (17, 10), (15, 8)], [False, False, False, False], 58, False, [False, False, False, False], 2550, 'South', (16, 5))
Element 22: (0, (16, 5), ['%', '', '', '%'], [(7, 1), (16, 10), (16, 8)], [True, False, False, True], 56, False, [False, False, False, False], 2549, 'South', (16, 4))
Element 23: (0, (16, 4), ['', '%', '', ''], [(8, 1), (15, 10), (16, 7)], [False, True, False, False], 54, False, [False, False, False, False], 2548, 'East', (17, 4))
Element 24: (0, (17, 4), ['', '%', '%', '%'], [(9, 1), (15, 9), (16, 8)], [False, True, True, True], 52, False, [False, False, False, False], 2547, 'West', (16, 4))
Element 25: (0, (16, 4), ['', '%', '', ''], [(10, 1), (15, 10), (15, 8)], [False, True, False, False], 50, False, [False, False, False, False], 2546, 'West', (15, 4))
Element 26: (0, (15, 4), ['', '.', '%', ''], [(11, 1), (16, 10), (14, 8)], [False, False, True, False], 48, False, [False, True, False, False], 2545, 'South', (15, 3))
Element 27: (0, (15, 3), ['%', '.', '', '%'], [(12, 1), (17, 10), (13, 8)], [True, False, False, True], 46, False, [False, True, False, False], 2554, 'South', (15, 2))
Element 28: (0, (15, 2), ['%', '.', '', '.'], [(13, 1), (18, 10), (13, 9)], [True, False, False, False], 44, False, [False, True, False, True], 2573, 'East', (16, 2))
Element 29: (0, (16, 2), ['', '.', '%', '.'], [(13, 2), (18, 9), (13, 10)], [False, False, True, False], 42, False, [False, True, False, True], 2592, 'East', (17, 2))
Element 30: (0, (17, 2), ['', '.', '%', ''], [(13, 3), (18, 8), (12, 10)], [False, False, True, False], 40, False, [False, True, False, False], 3601, 'South', (17, 1))
Element 31: #1#
