Element 1: (3, (13, 2), ['.', '', '.', '%'], [(12, 1), (2, 6), (6, 8)], [False, False, False, True], 98, False, [True, False, True, False], 29, 'North', (13, 3))
Element 2: (3, (13, 3), ['%', '', '.', '%'], [(11, 1), (3, 6), (7, 8)], [True, False, False, True], 96, False, [False, False, True, False], 1058, 'North', (13, 4))
Element 3: (3, (13, 4), ['.', '', '.', '.'], [(11, 2), (4, 6), (8, 8)], [False, False, False, False], 94, False, [True, False, True, True], 1097, 'East', (14, 4))
Element 4: (3, (14, 4), ['', '%', '%', '.'], [(12, 2), (5, 6), (9, 8)], [False, True, True, False], 92, False, [False, False, False, True], 1136, 'East', (15, 4))
Element 5: (3, (15, 4), ['', '.', '%', '.'], [(13, 2), (6, 6), (10, 8)], [False, False, True, False], 90, False, [False, True, False, True], 1165, 'East', (16, 4))
Element 6: (3, (16, 4), ['', '%', '.', '.'], [(13, 3), (6, 5), (11, 8)], [False, True, False, False], 88, False, [False, False, True, True], 1194, 'East', (17, 4))
Element 7: (3, (17, 4), ['', '%', '%', '%'], [(13, 4), (7, 5), (12, 8)], [False, True, True, True], 86, False, [False, False, False, False], 2213, 'West', (16, 4))
Element 8: (3, (16, 4), ['', '%', '.', ''], [(13, 5), (7, 4), (13, 8)], [False, True, False, False], 84, False, [False, False, True, False], 2242, 'North', (16, 5))
Element 9: (3, (16, 5), ['%', '', '.', '%'], [(13, 6), (6, 4), (14, 8)], [True, False, False, True], 82, False, [False, False, True, False], 2281, 'North', (16, 6))
Element 10: (3, (16, 6), ['.', '', '.', '.'], [(14, 6), (6, 3), (15, 8)], [False, False, False, False], 80, False, [True, False, True, True], 2320, 'East', (17, 6))
Element 11: (3, (17, 6), ['', '%', '%', '.'], [(15, 6), (6, 2), (16, 8)], [False, True, True, False], 78, False, [False, False, False, True], 2359, 'East', (18, 6))
Element 12: (3, (18, 6), ['', '.', '.', '%'], [(16, 6), (7, 2), (16, 7)], [False, False, False, True], 76, False, [False, True, True, False], 2388, 'North', (18, 7))
Element 13: (3, (18, 7), ['%', '', '.', '%'], [(17, 6), (8, 2), (16, 6)], [True, False, False, True], 74, False, [False, False, True, False], 2407, 'North', (18, 8))
Element 14: (3, (18, 8), ['%', '', '.', '%'], [(18, 6), (9, 2), (17, 6)], [True, False, False, True], 72, False, [False, False, True, False], 2426, 'North', (18, 9))
Element 15: (3, (18, 9), ['%', '', '.', '%'], [(18, 5), (10, 2), (18, 6)], [True, False, False, True], 70, False, [False, False, True, False], 2455, 'North', (18, 10))
Element 16: (3, (18, 10), ['.', '', '%', '%'], [(18, 5), (10, 1), (18, 7)], [False, False, True, True], 68, False, [True, False, False, False], 2474, 'West', (17, 10))
Element 17: (3, (17, 10), ['.', '%', '%', ''], [(18, 6), (9, 1), (18, 8)], [False, True, True, False], 66, False, [True, False, False, False], 2493, 'West', (16, 10))
Element 18: (3, (16, 10), ['.', '%', '%', ''], [(18, 6), (8, 1), (18, 9)], [False, True, True, False], 64, False, [True, False, False, False], 2512, 'West', (15, 10))
Element 19: (3, (15, 10), ['%', '.', '%', ''], [(17, 6), (7, 1), (18, 10)], [True, False, True, False], 62, False, [False, True, False, False], 2531, 'South', (15, 9))
Element 20: (3, (15, 9), ['%', '', '', '%'], [(16, 6), (6, 1), (17, 10)], [True, False, False, True], 60, False, [False, False, False, False], 2550, 'South', (15, 8))
Element 21: (3, (15, 8), ['', '%', '', ''], [(16, 5), (7, 1), (16, 10)], [False, True, False, False], 58, False, [False, False, False, False], 2549, 'East', (16, 8))
Element 22: (3, (16, 8), ['', '', '%', '%'], [(16, 4), (8, 1), (15, 10)], [False, False, True, True], 56, False, [False, False, False, False], 2548, 'South', (16, 7))
Element 23: (3, (16, 7), ['%', '', '', '%'], [(17, 4), (9, 1), (15, 9)], [True, False, False, True], 54, False, [False, False, False, False], 2547, 'North', (16, 8))
Element 24: (3, (16, 8), ['', '', '%', '%'], [(16, 4), (10, 1), (15, 10)], [False, False, True, True], 52, False, [False, False, False, False], 2546, 'West', (15, 8))
Element 25: (3, (15, 8), ['', '%', '', ''], [(15, 4), (11, 1), (16, 10)], [False, True, False, False], 50, False, [False, False, False, False], 2545, 'West', (14, 8))
Element 26: (3, (14, 8), ['', '%', '%', ''], [(15, 3), (12, 1), (17, 10)], [False, True, True, False], 48, False, [False, False, False, False], 2554, 'West', (13, 8))
Element 27: (3, (13, 8), ['', '.', '.', ''], [(15, 2), (13, 1), (18, 10)], [False, False, False, False], 46, False, [False, True, True, False], 2563, 'North', (13, 9))
Element 28: (3, (13, 9), ['%', '', '.', '%'], [(16, 2), (13, 2), (18, 9)], [True, False, False, True], 44, False, [False, False, True, False], 2582, 'North', (13, 10))
Element 29: (3, (13, 10), ['F', '', '%', '%'], [(17, 2), (13, 3), (18, 8)], [False, False, True, True], 42, False, [False, False, False, False], 2601, 'West', (12, 10))
Element 30: (3, (12, 10), ['F', '%', '%', ''], [(17, 1), (13, 4), (18, 7)], [False, True, True, False], 40, False, [False, False, False, False], 3610, 'West', (11, 10))
Element 31: #1#
