Element 1: (1, (4, 2), ['.', '.', '.', '%'], [(9, 6), (15, 9), (18, 7)], [False, False, False, True], 98, False, [True, True, True, False], -1, 'North', (4, 3))
Element 2: (1, (4, 3), ['%', '', '.', '%'], [(10, 6), (15, 10), (18, 8)], [True, False, False, True], 96, False, [False, False, True, False], 28, 'North', (4, 4))
Element 3: (1, (4, 4), ['.', '', '%', '.'], [(11, 6), (16, 10), (18, 9)], [False, False, True, False], 94, False, [True, False, False, True], 67, 'East', (5, 4))
Element 4: (1, (5, 4), ['', '%', '%', '.'], [(10, 6), (17, 10), (18, 10)], [False, True, True, False], 92, False, [False, False, False, True], 96, 'East', (6, 4))
Element 5: (1, (6, 4), ['', '.', '.', '.'], [(10, 7), (16, 10), (17, 10)], [False, False, False, False], 90, False, [False, True, True, True], 105, 'East', (7, 4))
Element 6: (1, (7, 4), ['', '%', 'F', ''], [(10, 8), (15, 10), (16, 10)], [False, True, False, False], 88, False, [False, False, False, False], 124, 'North', (7, 5))
Element 7: (1, (7, 5), ['.', '', '%', '%'], [(11, 8), (15, 9), (15, 10)], [False, False, True, True], 86, False, [True, False, False, False], 1133, 'West', (6, 5))
Element 8: (1, (6, 5), ['%', '', '.', ''], [(12, 8), (15, 8), (15, 9)], [True, False, False, False], 84, False, [False, False, True, False], 1162, 'North', (6, 6))
Element 9: (1, (6, 6), ['.', '', '.', '%'], [(13, 8), (16, 8), (15, 8)], [False, False, False, True], 82, False, [True, False, True, False], 1191, 'North', (6, 7))
Element 10: (1, (6, 7), ['%', '', '.', '%'], [(13, 9), (16, 7), (14, 8)], [True, False, False, True], 80, False, [False, False, True, False], 1230, 'North', (6, 8))
Element 11: (1, (6, 8), ['.', '', '.', '.'], [(13, 10), (16, 6), (13, 8)], [False, False, False, False], 78, False, [True, False, True, True], 1259, 'East', (7, 8))
Element 12: (1, (7, 8), ['', '%', '%', '.'], [(12, 10), (17, 6), (13, 7)], [False, True, True, False], 76, False, [False, False, False, True], 2288, 'East', (8, 8))
Element 13: (1, (8, 8), ['', '%', '%', '.'], [(11, 10), (18, 6), (13, 6)], [False, True, True, False], 74, False, [False, False, False, True], 3317, 'East', (9, 8))
Element 14: (1, (9, 8), ['', '', '%', ''], [(10, 10), (18, 5), (14, 6)], [False, False, True, False], 72, False, [False, False, False, False], 3356, 'East', (10, 8))
Element 15: (1, (10, 8), ['', '', '%', ''], [(9, 10), (18, 6), (15, 6)], [False, False, True, False], 70, False, [False, False, False, False], 3375, 'East', (11, 8))
Element 16: (1, (11, 8), ['', '%', '%', ''], [(8, 10), (18, 7), (16, 6)], [False, True, True, False], 68, False, [False, False, False, False], 3384, 'East', (12, 8))
Element 17: (1, (12, 8), ['', '%', '%', ''], [(7, 10), (18, 8), (16, 5)], [False, True, True, False], 66, False, [False, False, False, False], 3403, 'East', (13, 8))
Element 18: (1, (13, 8), ['', '', '', ''], [(6, 10), (18, 9), (16, 4)], [False, False, False, False], 64, False, [False, False, False, False], 3422, 'East', (14, 8))
Element 19: (1, (14, 8), ['', '%', '%', ''], [(6, 9), (18, 10), (17, 4)], [False, True, True, False], 62, False, [False, False, False, False], 3441, 'East', (15, 8))
Element 20: (1, (15, 8), ['', '%', '', ''], [(6, 8), (18, 9), (16, 4)], [False, True, False, False], 60, False, [False, False, False, False], 3440, 'East', (16, 8))
Element 21: (1, (16, 8), ['', '', '%', '%'], [(5, 8), (18, 8), (15, 4)], [False, False, True, True], 58, False, [False, False, False, False], 3459, 'South', (16, 7))
Element 22: (1, (16, 7), ['%', '', '', '%'], [(4, 8), (18, 7), (15, 3)], [True, False, False, True], 56, False, [False, False, False, False], 3478, 'South', (16, 6))
Element 23: (1, (16, 6), ['', '', '', ''], [(4, 9), (18, 6), (15, 2)], [False, False, False, False], 54, False, [False, False, False, False], 3497, 'East', (17, 6))
Element 24: (1, (17, 6), ['', '%', '%', ''], [(4, 10), (18, 5), (16, 2)], [False, True, True, False], 52, False, [False, False, False, False], 3516, 'East', (18, 6))
Element 25: (1, (18, 6), ['', '', '', '%'], [(3, 10), (18, 6), (17, 2)], [False, False, False, True], 50, False, [False, False, False, False], 3535, 'North', (18, 7))
Element 26: (1, (18, 7), ['%', '', '', '%'], [(2, 10), (18, 5), (17, 1)], [True, False, False, True], 48, False, [False, False, False, False], 3554, 'North', (18, 8))
Element 27: (1, (18, 8), ['%', '', '', '%'], [(1, 10), (18, 6), (18, 1)], [True, False, False, True], 46, False, [False, False, False, False], 3573, 'North', (18, 9))
Element 28: (1, (18, 9), ['%', '', '', '%'], [(1, 9), (17, 6), (18, 2)], [True, False, False, True], 44, False, [False, False, False, False], 3582, 'North', (18, 10))
Element 29: (1, (18, 10), ['', '', '%', '%'], [(1, 8), (16, 6), (18, 3)], [False, False, True, True], 42, False, [False, False, False, False], 3601, 'West', (17, 10))
Element 30: (1, (17, 10), ['', '%', '%', ''], [(1, 7), (16, 7), (18, 2)], [False, True, True, False], 40, False, [False, False, False, False], 3610, 'West', (16, 10))
Element 31: (1, (16, 10), ['', '%', '%', ''], [(1, 6), (16, 8), (18, 1)], [False, True, True, False], 38, False, [False, False, False, False], 3619, 'West', (15, 10))
Element 32: (1, (15, 10), ['%', '', '%', ''], [(2, 6), (15, 8), (17, 1)], [True, False, True, False], 36, False, [False, False, False, False], 3628, 'South', (15, 9))
Element 33: (1, (15, 9), ['%', '', '', '%'], [(3, 6), (14, 8), (16, 1)], [True, False, False, True], 34, False, [False, False, False, False], 3647, 'North', (15, 10))
Element 34: (1, (15, 10), ['%', '', '%', ''], [(4, 6), (13, 8), (15, 1)], [True, False, True, False], 32, False, [False, False, False, False], 3666, 'East', (16, 10))
Element 35: (1, (16, 10), ['', '%', '%', ''], [(5, 6), (13, 9), (16, 1)], [False, True, True, False], 30, False, [False, False, False, False], 3675, 'East', (17, 10))
Element 36: (1, (17, 10), ['', '%', '%', ''], [(6, 6), (13, 10), (17, 1)], [False, True, True, False], 28, False, [False, False, False, False], 3674, 'East', (18, 10))
Element 37: (1, (18, 10), ['', '', '%', '%'], [(6, 7), (12, 10), (17, 2)], [False, False, True, True], 26, False, [False, False, False, False], 3673, 'South', (18, 9))
Element 38: (1, (18, 9), ['%', '', '', '%'], [(6, 6), (11, 10), (18, 2)], [True, False, False, True], 24, False, [False, False, False, False], 3672, 'South', (18, 8))
Element 39: (1, (18, 8), ['%', '', '', '%'], [(6, 5), (10, 10), (17, 2)], [True, False, False, True], 22, False, [False, False, False, False], 3671, 'South', (18, 7))
Element 40: (1, (18, 7), ['%', '', '', '%'], [(7, 5), (9, 10), (16, 2)], [True, False, False, True], 20, False, [False, False, False, False], 3670, 'South', (18, 6))
Element 41: (1, (18, 6), ['', '', '', '%'], [(7, 4), (8, 10), (16, 1)], [False, False, False, True], 18, False, [False, False, False, False], 3669, 'South', (18, 5))
Element 42: (1, (18, 5), ['%', '%', '', '%'], [(8, 4), (7, 10), (16, 2)], [True, True, False, True], 16, False, [False, False, False, False], 3668, 'North', (18, 6))
Element 43: (1, (18, 6), ['', '', '', '%'], [(9, 4), (6, 10), (15, 2)], [False, False, False, True], 14, False, [False, False, False, False], 3677, 'West', (17, 6))
Element 44: (1, (17, 6), ['', '%', '%', ''], [(10, 4), (6, 9), (15, 1)], [False, True, True, False], 12, False, [False, False, False, False], 3686, 'West', (16, 6))
Element 45: (1, (16, 6), ['', '', '', ''], [(11, 4), (6, 8), (15, 2)], [False, False, False, False], 10, False, [False, False, False, False], 3695, 'South', (16, 5))
Element 46: (1, (16, 5), ['%', '', '', '%'], [(12, 4), (7, 8), (15, 3)], [True, False, False, True], 8, False, [False, False, False, False], 3704, 'South', (16, 4))
Element 47: (1, (16, 4), ['G', '%', '', ''], [(13, 4), (8, 8), (15, 4)], [False, True, False, False], 6, False, [False, False, False, False], 3713, 'East', (17, 4))
Element 48: (1, (17, 4), ['', '%', '%', '%'], [(13, 5), (9, 8), (14, 4)], [False, True, True, True], 4, False, [False, False, False, False], 3732, 'West', (16, 4))
Element 49: (1, (16, 4), ['', '%', '', ''], [(13, 6), (10, 8), (13, 4)], [False, True, False, False], 2, False, [False, False, False, False], 3731, 'North', (16, 5))
Element 50: (1, (16, 5), ['%', '', '', '%'], [(13, 6), (11, 8), (13, 3)], [True, False, False, True], 0, False, [False, False, False, False], 3740, 'Stop', (16, 5))
Element 51: #0#
