Element 1: (0, (7, 10), ['.', '%', '%', '.'], [(1, 4), (5, 8), (18, 7)], [False, True, True, False], 98, False, [True, False, False, True], 0, 'East', (8, 10))
Element 2: (0, (8, 10), ['', '%', '%', '.'], [(1, 5), (6, 8), (18, 8)], [False, True, True, False], 96, False, [False, False, False, True], 39, 'East', (9, 10))
Element 3: (0, (9, 10), ['', '%', '%', '.'], [(1, 6), (7, 8), (18, 9)], [False, True, True, False], 94, False, [False, False, False, True], 78, 'East', (10, 10))
Element 4: (0, (10, 10), ['', '%', '%', 'F'], [(2, 6), (8, 8), (18, 10)], [False, True, True, False], 92, False, [False, False, False, False], 117, 'East', (11, 10))
Element 5: (0, (11, 10), ['', '%', '%', 'F'], [(3, 6), (9, 8), (17, 10)], [False, True, True, False], 90, False, [False, False, False, False], 1146, 'East', (12, 10))
Element 6: (0, (12, 10), ['', '%', '%', '.'], [(4, 6), (10, 8), (16, 10)], [False, True, True, False], 88, False, [False, False, False, True], 2175, 'East', (13, 10))
Element 7: (0, (13, 10), ['', '.', '%', '%'], [(5, 6), (11, 8), (15, 10)], [False, False, True, True], 86, False, [False, True, False, False], 2214, 'South', (13, 9))
Element 8: (0, (13, 9), ['%', '.', '', '%'], [(6, 6), (12, 8), (15, 9)], [True, False, False, True], 84, False, [False, True, False, False], 2253, 'South', (13, 8))
Element 9: (0, (13, 8), ['', '.', '', '.'], [(6, 7), (11, 8), (15, 8)], [False, False, False, False], 82, False, [False, True, False, True], 2282, 'East', (14, 8))
Element 10: (0, (14, 8), ['', '%', '%', ''], [(6, 8), (10, 8), (16, 8)], [False, True, True, False], 80, False, [False, False, False, False], 2301, 'East', (15, 8))
Element 11: (0, (15, 8), ['', '%', '', ''], [(6, 9), (10, 7), (16, 7)], [False, True, False, False], 78, False, [False, False, False, False], 2320, 'East', (16, 8))
Element 12: (0, (16, 8), ['', '', '%', '%'], [(6, 10), (10, 6), (16, 6)], [False, False, True, True], 76, False, [False, False, False, False], 2339, 'South', (16, 7))
Element 13: (0, (16, 7), ['%', '', '', '%'], [(7, 10), (11, 6), (17, 6)], [True, False, False, True], 74, False, [False, False, False, False], 2358, 'South', (16, 6))
Element 14: (0, (16, 6), ['.', '.', '', ''], [(8, 10), (10, 6), (18, 6)], [False, False, False, False], 72, False, [True, True, False, False], 2367, 'South', (16, 5))
Element 15: (0, (16, 5), ['%', '.', '', '%'], [(9, 10), (9, 6), (18, 5)], [True, False, False, True], 70, False, [False, True, False, False], 2386, 'South', (16, 4))
Element 16: (0, (16, 4), ['.', '%', '', '.'], [(10, 10), (8, 6), (18, 6)], [False, True, False, False], 68, False, [True, False, False, True], 2405, 'East', (17, 4))
Element 17: (0, (17, 4), ['', '%', '%', '%'], [(11, 10), (9, 6), (17, 6)], [False, True, True, True], 66, False, [False, False, False, False], 2414, 'West', (16, 4))
Element 18: (0, (16, 4), ['.', '%', '', ''], [(12, 10), (9, 7), (16, 6)], [False, True, False, False], 64, False, [True, False, False, False], 2413, 'West', (15, 4))
Element 19: (0, (15, 4), ['.', '.', '%', ''], [(13, 10), (9, 6), (16, 5)], [False, False, True, False], 62, False, [True, True, False, False], 2422, 'South', (15, 3))
Element 20: (0, (15, 3), ['%', '.', '', '%'], [(13, 9), (10, 6), (16, 4)], [True, False, False, True], 60, False, [False, True, False, False], 2431, 'South', (15, 2))
Element 21: (0, (15, 2), ['%', '.', '', '.'], [(13, 8), (10, 7), (17, 4)], [True, False, False, False], 58, False, [False, True, False, True], 2440, 'East', (16, 2))
Element 22: (0, (16, 2), ['', '.', '%', '.'], [(13, 7), (9, 7), (16, 4)], [False, False, True, False], 56, False, [False, True, False, True], 2459, 'East', (17, 2))
Element 23: (0, (17, 2), ['', '.', '%', ''], [(13, 6), (10, 7), (15, 4)], [False, False, True, False], 54, False, [False, True, False, False], 2478, 'South', (17, 1))
Element 24: (0, (17, 1), ['.', '%', '', '.'], [(14, 6), (10, 8), (14, 4)], [False, True, False, False], 52, False, [True, False, False, True], 2507, 'East', (18, 1))
Element 25: (0, (18, 1), ['', '%', '', '%'], [(15, 6), (9, 8), (13, 4)], [False, True, False, True], 50, False, [False, False, False, False], 2536, 'North', (18, 2))
Element 26: (0, (18, 2), ['', '', '.', '%'], [(16, 6), (9, 7), (13, 5)], [False, False, False, True], 48, False, [False, False, True, False], 2545, 'North', (18, 3))
Element 27: (0, (18, 3), ['%', '', '%', '%'], [(17, 6), (9, 8), (13, 6)], [True, False, True, True], 46, False, [False, False, False, False], 2554, 'South', (18, 2))
Element 28: (0, (18, 2), ['', '', '', '%'], [(18, 6), (8, 8), (14, 6)], [False, False, False, True], 44, False, [False, False, False, False], 2553, 'South', (18, 1))
Element 29: (0, (18, 1), ['', '%', '', '%'], [(18, 7), (7, 8), (15, 6)], [False, True, False, True], 42, False, [False, False, False, False], 2552, 'West', (17, 1))
Element 30: (0, (17, 1), ['.', '%', '', ''], [(18, 8), (6, 8), (14, 6)], [False, True, False, False], 40, False, [True, False, False, False], 2551, 'West', (16, 1))
Element 31: (0, (16, 1), ['.', '%', '', ''], [(18, 9), (6, 9), (13, 6)], [False, True, False, False], 38, False, [True, False, False, False], 2560, 'West', (15, 1))
Element 32: (0, (15, 1), ['%', '%', '', ''], [(18, 10), (6, 10), (13, 7)], [True, True, False, False], 36, False, [False, False, False, False], 2569, 'East', (16, 1))
Element 33: (0, (16, 1), ['', '%', '', ''], [(17, 10), (7, 10), (13, 8)], [False, True, False, False], 34, False, [False, False, False, False], 2568, 'East', (17, 1))
Element 34: (0, (17, 1), ['', '%', '', ''], [(16, 10), (8, 10), (14, 8)], [False, True, False, False], 32, False, [False, False, False, False], 2567, 'North', (17, 2))
Element 35: (0, (17, 2), ['', '', '%', ''], [(15, 10), (9, 10), (13, 8)], [False, False, True, False], 30, False, [False, False, False, False], 2566, 'East', (18, 2))
Element 36: (0, (18, 2), ['', '', '', '%'], [(15, 9), (10, 10), (13, 9)], [False, False, False, True], 28, False, [False, False, False, False], 2565, 'West', (17, 2))
Element 37: (0, (17, 2), ['', '', '%', ''], [(15, 8), (11, 10), (13, 10)], [False, False, True, False], 26, False, [False, False, False, False], 2564, 'West', (16, 2))
Element 38: (0, (16, 2), ['', '', '%', ''], [(16, 8), (12, 10), (13, 9)], [False, False, True, False], 24, False, [False, False, False, False], 2563, 'South', (16, 1))
Element 39: (0, (16, 1), ['', '%', '', ''], [(16, 7), (13, 10), (13, 8)], [False, True, False, False], 22, False, [False, False, False, False], 2562, 'North', (16, 2))
Element 40: (0, (16, 2), ['', '', '%', ''], [(16, 8), (13, 9), (12, 8)], [False, False, True, False], 20, False, [False, False, False, False], 2561, 'West', (15, 2))
Element 41: (0, (15, 2), ['%', '', '', ''], [(15, 8), (13, 8), (11, 8)], [True, False, False, False], 18, False, [False, False, False, False], 2560, 'South', (15, 1))
Element 42: (0, (15, 1), ['%', '%', '', ''], [(14, 8), (13, 7), (10, 8)], [True, True, False, False], 16, False, [False, False, False, False], 2559, 'North', (15, 2))
Element 43: (0, (15, 2), ['%', '', '', ''], [(15, 8), (13, 6), (10, 7)], [True, False, False, False], 14, False, [False, False, False, False], 2558, 'North', (15, 3))
Element 44: (0, (15, 3), ['%', '', '', '%'], [(15, 9), (14, 6), (10, 6)], [True, False, False, True], 12, False, [False, False, False, False], 2557, 'North', (15, 4))
Element 45: (0, (15, 4), ['', '', '%', ''], [(15, 10), (15, 6), (11, 6)], [False, False, True, False], 10, False, [False, False, False, False], 2556, 'West', (14, 4))
