Element 1: (2, (13, 1), ['.', '%', '.', '%'], [(11, 4), (1, 4), (18, 5)], [False, True, False, True], 98, False, [True, False, True, False], 19, 'North', (13, 2))
Element 2: (2, (13, 2), ['.', '', '.', '%'], [(12, 4), (1, 5), (18, 6)], [False, False, False, True], 96, False, [True, False, True, False], 58, 'North', (13, 3))
Element 3: (2, (13, 3), ['%', '', 'G', '%'], [(13, 4), (1, 6), (18, 7)], [True, False, False, True], 94, False, [False, False, False, False], 97, 'South', (13, 2))
Element 4: (2, (13, 2), ['.', '', '', '%'], [(14, 4), (2, 6), (18, 8)], [False, False, False, True], 92, False, [True, False, False, False], 126, 'West', (12, 2))
Element 5: (2, (12, 2), ['.', '.', '%', ''], [(15, 4), (3, 6), (18, 9)], [False, False, True, False], 90, False, [True, True, False, False], 165, 'South', (12, 1))
Element 6: (2, (12, 1), ['F', '%', '', ''], [(16, 4), (4, 6), (18, 10)], [False, True, False, False], 88, False, [False, False, False, False], 204, 'West', (11, 1))
Element 7: (2, (11, 1), ['.', '%', '.', ''], [(17, 4), (5, 6), (17, 10)], [False, True, False, False], 86, False, [True, False, True, False], 1233, 'North', (11, 2))
Element 8: (2, (11, 2), ['.', '', '%', ''], [(16, 4), (6, 6), (16, 10)], [False, False, True, False], 84, False, [True, False, False, False], 1262, 'West', (10, 2))
Element 9: (2, (10, 2), ['.', '.', '%', ''], [(16, 5), (6, 7), (15, 10)], [False, False, True, False], 82, False, [True, True, False, False], 1301, 'South', (10, 1))
Element 10: (2, (10, 1), ['.', '%', '', ''], [(16, 6), (6, 8), (15, 9)], [False, True, False, False], 80, False, [True, False, False, False], 1340, 'West', (9, 1))
Element 11: (2, (9, 1), ['.', '%', '.', ''], [(17, 6), (7, 8), (15, 8)], [False, True, False, False], 78, False, [True, False, True, False], 1379, 'North', (9, 2))
Element 12: (2, (9, 2), ['.', '', '%', ''], [(18, 6), (8, 8), (16, 8)], [False, False, True, False], 76, False, [True, False, False, False], 1408, 'West', (8, 2))
Element 13: (2, (8, 2), ['.', '.', '%', ''], [(18, 7), (9, 8), (16, 7)], [False, False, True, False], 74, False, [True, True, False, False], 1437, 'South', (8, 1))
Element 14: (2, (8, 1), ['.', '%', '', ''], [(18, 8), (10, 8), (16, 6)], [False, True, False, False], 72, False, [True, False, False, False], 1456, 'West', (7, 1))
Element 15: (2, (7, 1), ['.', '%', '.', ''], [(18, 9), (11, 8), (15, 6)], [False, True, False, False], 70, False, [True, False, True, False], 1485, 'North', (7, 2))
Element 16: (2, (7, 2), ['.', '', '%', ''], [(18, 10), (12, 8), (14, 6)], [False, False, True, False], 68, False, [True, False, False, False], 1514, 'West', (6, 2))
Element 17: (2, (6, 2), ['%', '.', '.', ''], [(17, 10), (13, 8), (13, 6)], [True, False, False, False], 66, False, [False, True, True, False], 1543, 'North', (6, 3))
Element 18: (2, (6, 3), ['%', '', '.', '%'], [(16, 10), (14, 8), (13, 7)], [True, False, False, True], 64, False, [False, False, True, False], 1572, 'North', (6, 4))
Element 19: (2, (6, 4), ['.', '', '.', '.'], [(15, 10), (15, 8), (13, 8)], [False, False, False, False], 62, False, [True, False, True, True], 1581, 'East', (7, 4))
Element 20: (2, (7, 4), ['', '%', 'F', ''], [(15, 9), (16, 8), (13, 9)], [False, True, False, False], 60, False, [False, False, False, False], 1600, 'North', (7, 5))
Element 21: (2, (7, 5), ['.', '', '%', '%'], [(15, 8), (16, 7), (13, 10)], [False, False, True, True], 58, False, [True, False, False, False], 2609, 'West', (6, 5))
Element 22: (2, (6, 5), ['%', '', '', ''], [(16, 8), (16, 6), (12, 10)], [True, False, False, False], 56, False, [False, False, False, False], 3618, 'North', (6, 6))
Element 23: #1#
