Element 1: (1, (10, 8), ['.', '', '%', '.'], [(3, 6), (16, 5), (18, 1)], [False, False, True, False], 98, False, [True, False, False, True], 9, 'East', (11, 8))
Element 2: (1, (11, 8), ['', '%', '%', '.'], [(4, 6), (16, 6), (17, 1)], [False, True, True, False], 96, False, [False, False, False, True], 48, 'East', (12, 8))
Element 3: (1, (12, 8), ['', '%', '%', '.'], [(5, 6), (17, 6), (17, 2)], [False, True, True, False], 94, False, [False, False, False, True], 87, 'East', (13, 8))
Element 4: (1, (13, 8), ['', '.', '.', '.'], [(6, 6), (18, 6), (16, 2)], [False, False, False, False], 92, False, [False, True, True, True], 126, 'East', (14, 8))
Element 5: (1, (14, 8), ['', '%', '%', '.'], [(6, 7), (18, 7), (16, 1)], [False, True, True, False], 90, False, [False, False, False, True], 165, 'East', (15, 8))
Element 6: (1, (15, 8), ['', '%', '.', '.'], [(6, 8), (18, 8), (15, 1)], [False, True, False, False], 88, False, [False, False, True, True], 204, 'East', (16, 8))
Element 7: (1, (16, 8), ['', '.', '%', '%'], [(7, 8), (18, 9), (15, 2)], [False, False, True, True], 86, False, [False, True, False, False], 243, 'South', (16, 7))
Element 8: (1, (16, 7), ['%', '', '', '%'], [(8, 8), (18, 10), (15, 3)], [True, False, False, True], 84, False, [False, False, False, False], 282, 'South', (16, 6))
Element 9: (1, (16, 6), ['.', '', '', ''], [(9, 8), (17, 10), (15, 4)], [False, False, False, False], 82, False, [True, False, False, False], 311, 'West', (15, 6))
Element 10: (1, (15, 6), ['.', '%', '%', ''], [(10, 8), (16, 10), (16, 4)], [False, True, True, False], 80, False, [True, False, False, False], 340, 'West', (14, 6))
Element 11: (1, (14, 6), ['.', '%', '%', ''], [(11, 8), (15, 10), (17, 4)], [False, True, True, False], 78, False, [True, False, False, False], 369, 'West', (13, 6))
Element 12: (1, (13, 6), ['%', '.', '.', ''], [(12, 8), (15, 9), (16, 4)], [True, False, False, False], 76, False, [False, True, True, False], 388, 'North', (13, 7))
Element 13: (1, (13, 7), ['%', '', 'G', '%'], [(13, 8), (15, 8), (16, 5)], [True, False, False, True], 74, False, [False, False, False, False], 397, 'South', (13, 6))
Element 14: (1, (13, 6), ['%', '.', '', ''], [(13, 9), (16, 8), (16, 6)], [True, False, False, False], 72, False, [False, True, False, False], 406, 'South', (13, 5))
Element 15: (1, (13, 5), ['%', '.', '', '%'], [(13, 10), (16, 7), (17, 6)], [True, False, False, True], 70, False, [False, True, False, False], 425, 'South', (13, 4))
Element 16: (1, (13, 4), ['.', '.', '', '.'], [(12, 10), (16, 8), (18, 6)], [False, False, False, False], 68, False, [True, True, False, True], 1434, 'East', (14, 4))
Element 17: (1, (14, 4), ['', '%', '%', ''], [(11, 10), (15, 8), (18, 5)], [False, True, True, False], 66, False, [False, False, False, False], 2453, 'East', (15, 4))
Element 18: (1, (15, 4), ['', '', '%', ''], [(10, 10), (14, 8), (18, 6)], [False, False, True, False], 64, False, [False, False, False, False], 2462, 'East', (16, 4))
Element 19: (1, (16, 4), ['', '%', '', ''], [(9, 10), (13, 8), (18, 7)], [False, True, False, False], 62, False, [False, False, False, False], 2471, 'East', (17, 4))
Element 20: (1, (17, 4), ['', '%', '%', '%'], [(8, 10), (13, 9), (18, 8)], [False, True, True, True], 60, False, [False, False, False, False], 2480, 'West', (16, 4))
Element 21: (1, (16, 4), ['', '%', '', ''], [(7, 10), (13, 10), (18, 9)], [False, True, False, False], 58, False, [False, False, False, False], 2489, 'North', (16, 5))
Element 22: (1, (16, 5), ['%', '', '', '%'], [(6, 10), (12, 10), (18, 10)], [True, False, False, True], 56, False, [False, False, False, False], 2498, 'South', (16, 4))
Element 23: (1, (16, 4), ['', '%', '', ''], [(6, 9), (11, 10), (17, 10)], [False, True, False, False], 54, False, [False, False, False, False], 2507, 'West', (15, 4))
Element 24: (1, (15, 4), ['', '', '%', ''], [(6, 10), (10, 10), (16, 10)], [False, False, True, False], 52, False, [False, False, False, False], 2506, 'South', (15, 3))
Element 25: (1, (15, 3), ['%', '', '', '%'], [(7, 10), (9, 10), (15, 10)], [True, False, False, True], 50, False, [False, False, False, False], 2505, 'South', (15, 2))
Element 26: (1, (15, 2), ['%', '', '', ''], [(6, 10), (8, 10), (15, 9)], [True, False, False, False], 48, False, [False, False, False, False], 2504, 'East', (16, 2))
Element 27: (1, (16, 2), ['', '', '%', ''], [(7, 10), (7, 10), (15, 8)], [False, False, True, False], 46, False, [False, False, False, False], 2503, 'East', (17, 2))
Element 28: (1, (17, 2), ['', '', '%', ''], [(8, 10), (6, 10), (16, 8)], [False, False, True, False], 44, False, [False, False, False, False], 2502, 'East', (18, 2))
Element 29: (1, (18, 2), ['', '', '.', '%'], [(9, 10), (6, 9), (16, 7)], [False, False, False, True], 42, False, [False, False, True, False], 2501, 'North', (18, 3))
Element 30: (1, (18, 3), ['%', '', '%', '%'], [(10, 10), (6, 8), (16, 8)], [True, False, True, True], 40, False, [False, False, False, False], 2510, 'South', (18, 2))
Element 31: (1, (18, 2), ['', '', '', '%'], [(11, 10), (5, 8), (15, 8)], [False, False, False, True], 38, False, [False, False, False, False], 2519, 'South', (18, 1))
Element 32: (1, (18, 1), ['', '%', '', '%'], [(11, 10), (4, 8), (14, 8)], [False, True, False, True], 36, False, [False, False, False, False], 2528, 'West', (17, 1))
Element 33: (1, (17, 1), ['', '%', '', ''], [(10, 10), (4, 9), (13, 8)], [False, True, False, False], 34, False, [False, False, False, False], 2537, 'West', (16, 1))
Element 34: (1, (16, 1), ['', '%', '', ''], [(10, 10), (4, 10), (13, 9)], [False, True, False, False], 32, False, [False, False, False, False], 2546, 'West', (15, 1))
Element 35: (1, (15, 1), ['%', '%', '', ''], [(10, 10), (3, 10), (13, 10)], [True, True, False, False], 30, False, [False, False, False, False], 2555, 'East', (16, 1))
Element 36: (1, (16, 1), ['', '%', '', ''], [(10, 10), (2, 10), (12, 10)], [False, True, False, False], 28, False, [False, False, False, False], 2564, 'East', (17, 1))
Element 37: (1, (17, 1), ['', '%', '', ''], [(10, 10), (1, 10), (11, 10)], [False, True, False, False], 26, False, [False, False, False, False], 2573, 'East', (18, 1))
Element 38: (1, (18, 1), ['', '%', '', '%'], [(10, 10), (1, 9), (12, 10)], [False, True, False, True], 24, False, [False, False, False, False], 2582, 'North', (18, 2))
Element 39: (1, (18, 2), ['', '', '', '%'], [(10, 10), (1, 8), (13, 10)], [False, False, False, True], 22, False, [False, False, False, False], 2591, 'West', (17, 2))
Element 40: (1, (17, 2), ['', '', '%', ''], [(10, 10), (1, 7), (13, 9)], [False, False, True, False], 20, False, [False, False, False, False], 2600, 'South', (17, 1))
Element 41: (1, (17, 1), ['', '%', '', ''], [(10, 10), (1, 6), (13, 8)], [False, True, False, False], 18, False, [False, False, False, False], 2609, 'North', (17, 2))
Element 42: (1, (17, 2), ['', '', '%', ''], [(10, 10), (1, 5), (13, 7)], [False, False, True, False], 16, False, [False, False, False, False], 2618, 'West', (16, 2))
Element 43: (1, (16, 2), ['', '', '%', ''], [(10, 10), (1, 4), (13, 6)], [False, False, True, False], 14, False, [False, False, False, False], 2627, 'South', (16, 1))
Element 44: (1, (16, 1), ['', '%', '', ''], [(10, 10), (1, 3), (14, 6)], [False, True, False, False], 12, False, [False, False, False, False], 2636, 'North', (16, 2))
Element 45: (1, (16, 2), ['', '', '%', ''], [(10, 10), (1, 2), (15, 6)], [False, False, True, False], 10, False, [False, False, False, False], 2645, 'West', (15, 2))
Element 46: (1, (15, 2), ['%', '', '', ''], [(10, 10), (2, 2), (14, 6)], [True, False, False, False], 8, False, [False, False, False, False], 2654, 'South', (15, 1))
Element 47: (1, (15, 1), ['%', '%', '', ''], [(10, 10), (3, 2), (13, 6)], [True, True, False, False], 6, False, [False, False, False, False], 2663, 'North', (15, 2))
Element 48: (1, (15, 2), ['%', '', '', ''], [(10, 10), (4, 2), (13, 5)], [True, False, False, False], 4, False, [False, False, False, False], 2672, 'North', (15, 3))
Element 49: (1, (15, 3), ['%', '', '', '%'], [(10, 10), (4, 3), (13, 4)], [True, False, False, True], 2, False, [False, False, False, False], 2681, 'North', (15, 4))
Element 50: (1, (15, 4), ['', '', '%', ''], [(10, 10), (4, 4), (13, 3)], [False, False, True, False], 0, False, [False, False, False, False], 2700, 'Stop', (15, 4))
Element 51: #0#
