Element 1: (2, (10, 8), ['G', '', '%', '.'], [(16, 6), (9, 8), (11, 4)], [False, False, True, False], 98, False, [False, False, False, True], 19, 'East', (11, 8))
Element 2: (2, (11, 8), ['G', '%', '%', '.'], [(17, 6), (10, 8), (12, 4)], [False, True, True, False], 96, False, [False, False, False, True], 48, 'East', (12, 8))
Element 3: (2, (12, 8), ['G', '%', '%', '.'], [(18, 6), (11, 8), (13, 4)], [False, True, True, False], 94, False, [False, False, False, True], 77, 'East', (13, 8))
Element 4: (2, (13, 8), ['G', '.', '.', '.'], [(18, 7), (12, 8), (14, 4)], [False, False, False, False], 92, False, [False, True, True, True], 106, 'East', (14, 8))
Element 5: (2, (14, 8), ['G', '%', '%', '.'], [(18, 8), (13, 8), (15, 4)], [False, True, True, False], 90, False, [False, False, False, True], 135, 'East', (15, 8))
Element 6: (2, (15, 8), ['', '%', '.', '.'], [(18, 9), (13, 9), (16, 4)], [False, True, False, False], 88, False, [False, False, True, True], 174, 'East', (16, 8))
Element 7: (2, (16, 8), ['', '.', '%', '%'], [(18, 10), (13, 10), (17, 4)], [False, False, True, True], 86, False, [False, True, False, False], 213, 'South', (16, 7))
Element 8: (2, (16, 7), ['%', '', '', '%'], [(17, 10), (12, 10), (16, 4)], [True, False, False, True], 84, False, [False, False, False, False], 1232, 'South', (16, 6))
Element 9: (2, (16, 6), ['', 'G', '', ''], [(16, 10), (11, 10), (16, 5)], [False, False, False, False], 82, False, [False, False, False, False], 2251, 'East', (17, 6))
Element 10: (2, (17, 6), ['G', '%', '%', ''], [(15, 10), (10, 10), (16, 6)], [False, True, True, False], 80, False, [False, False, False, False], 2270, 'East', (18, 6))
Element 11: (2, (18, 6), ['G', '.', '', '%'], [(15, 9), (9, 10), (17, 6)], [False, False, False, True], 78, False, [False, True, False, False], 2289, 'South', (18, 5))
Element 12: (2, (18, 5), ['%', '%', 'G', '%'], [(15, 8), (8, 10), (18, 6)], [True, True, False, True], 76, False, [False, False, False, False], 2308, 'Stop', (18, 5))
Element 13: (2, (18, 5), ['%', '%', '', '%'], [(16, 8), (7, 10), (18, 7)], [True, True, False, True], 74, False, [False, False, False, False], 2317, 'North', (18, 6))
Element 14: (2, (18, 6), ['', '', '', '%'], [(16, 7), (6, 10), (18, 8)], [False, False, False, True], 72, False, [False, False, False, False], 2326, 'Stop', (18, 6))
Element 15: (2, (18, 6), ['', '', '', '%'], [(16, 8), (6, 9), (18, 9)], [False, False, False, True], 70, False, [False, False, False, False], 2335, 'West', (17, 6))
Element 16: (2, (17, 6), ['', '%', '%', ''], [(15, 8), (6, 8), (18, 10)], [False, True, True, False], 68, False, [False, False, False, False], 2344, 'West', (16, 6))
Element 17: (2, (16, 6), ['', '', '', ''], [(14, 8), (7, 8), (17, 10)], [False, False, False, False], 66, False, [False, False, False, False], 2353, 'West', (15, 6))
Element 18: (2, (15, 6), ['.', '%', '%', ''], [(13, 8), (6, 8), (16, 10)], [False, True, True, False], 64, False, [True, False, False, False], 2352, 'West', (14, 6))
Element 19: (2, (14, 6), ['.', '%', '%', ''], [(13, 7), (6, 7), (15, 10)], [False, True, True, False], 62, False, [True, False, False, False], 2381, 'West', (13, 6))
Element 20: (2, (13, 6), ['%', '.', '', ''], [(13, 8), (6, 6), (15, 9)], [True, False, False, False], 60, False, [False, True, False, False], 2400, 'South', (13, 5))
Element 21: (2, (13, 5), ['%', '', '', '%'], [(13, 9), (6, 5), (15, 8)], [True, False, False, True], 58, False, [False, False, False, False], 2419, 'South', (13, 4))
Element 22: (2, (13, 4), ['', '.', '', ''], [(13, 10), (7, 5), (16, 8)], [False, False, False, False], 56, False, [False, True, False, False], 3418, 'South', (13, 3))
Element 23: (2, (13, 3), ['%', '.', '', '%'], [(12, 10), (7, 4), (16, 7)], [True, False, False, True], 54, False, [False, True, False, False], 3437, 'South', (13, 2))
Element 24: (2, (13, 2), ['.', '.', '', '%'], [(11, 10), (6, 4), (16, 8)], [False, False, False, True], 52, False, [True, True, False, False], 3456, 'South', (13, 1))
Element 25: (2, (13, 1), ['.', '%', '', '%'], [(10, 10), (6, 3), (15, 8)], [False, True, False, True], 50, False, [True, False, False, False], 3475, 'West', (12, 1))
Element 26: (2, (12, 1), ['F', '%', '.', ''], [(9, 10), (6, 2), (14, 8)], [False, True, False, False], 48, False, [False, False, True, False], 3494, 'West', (11, 1))
Element 27: #1#
