Element 1: (1, (4, 2), ['.', 'G', '.', '%'], [(4, 1), (7, 10), (15, 6)], [False, False, False, True], 98, False, [True, False, True, False], 9, 'North', (4, 3))
Element 2: (1, (4, 3), ['%', 'G', '.', '%'], [(4, 2), (8, 10), (16, 6)], [True, False, False, True], 96, False, [False, False, True, False], 38, 'North', (4, 4))
Element 3: (1, (4, 4), ['.', '', '%', '.'], [(3, 2), (9, 10), (17, 6)], [False, False, True, False], 94, False, [True, False, False, True], 77, 'East', (5, 4))
Element 4: (1, (5, 4), ['', '%', '%', '.'], [(2, 2), (10, 10), (18, 6)], [False, True, True, False], 92, False, [False, False, False, True], 116, 'East', (6, 4))
Element 5: (1, (6, 4), ['', '.', '.', '.'], [(2, 1), (11, 10), (18, 7)], [False, False, False, False], 90, False, [False, True, True, True], 1145, 'East', (7, 4))
Element 6: (1, (7, 4), ['', '%', 'F', ''], [(1, 1), (12, 10), (18, 8)], [False, True, False, False], 88, False, [False, False, False, False], 2164, 'North', (7, 5))
Element 7: (1, (7, 5), ['.', '', '%', '%'], [(1, 2), (13, 10), (18, 9)], [False, False, True, True], 86, False, [True, False, False, False], 3193, 'West', (6, 5))
Element 8: (1, (6, 5), ['%', '', '.', ''], [(1, 3), (13, 9), (18, 10)], [True, False, False, False], 84, False, [False, False, True, False], 3232, 'North', (6, 6))
Element 9: (1, (6, 6), ['.', '', '.', '%'], [(1, 4), (13, 8), (17, 10)], [False, False, False, True], 82, False, [True, False, True, False], 3271, 'North', (6, 7))
Element 10: (1, (6, 7), ['%', '', '.', '%'], [(1, 5), (14, 8), (16, 10)], [True, False, False, True], 80, False, [False, False, True, False], 3310, 'North', (6, 8))
Element 11: (1, (6, 8), ['.', '', '.', '.'], [(1, 6), (15, 8), (15, 10)], [False, False, False, False], 78, False, [True, False, True, True], 3349, 'East', (7, 8))
Element 12: (1, (7, 8), ['', '%', '%', '.'], [(2, 6), (16, 8), (15, 9)], [False, True, True, False], 76, False, [False, False, False, True], 3388, 'East', (8, 8))
Element 13: (1, (8, 8), ['', '%', '%', '.'], [(3, 6), (16, 7), (15, 8)], [False, True, True, False], 74, False, [False, False, False, True], 3417, 'East', (9, 8))
Element 14: (1, (9, 8), ['', '', '%', '.'], [(4, 6), (16, 6), (16, 8)], [False, False, True, False], 72, False, [False, False, False, True], 3436, 'East', (10, 8))
Element 15: (1, (10, 8), ['', '', '%', '.'], [(5, 6), (16, 5), (16, 7)], [False, False, True, False], 70, False, [False, False, False, True], 3465, 'East', (11, 8))
Element 16: (1, (11, 8), ['', '%', '%', '.'], [(6, 6), (16, 4), (16, 8)], [False, True, True, False], 68, False, [False, False, False, True], 3484, 'East', (12, 8))
Element 17: (1, (12, 8), ['', '%', '%', ''], [(6, 7), (17, 4), (15, 8)], [False, True, True, False], 66, False, [False, False, False, False], 3503, 'East', (13, 8))
Element 18: (1, (13, 8), ['', '.', '', 'G'], [(6, 8), (16, 4), (14, 8)], [False, False, False, False], 64, False, [False, True, False, False], 3502, 'South', (13, 7))
Element 19: (1, (13, 7), ['%', '.', 'G', '%'], [(6, 9), (15, 4), (13, 8)], [True, False, False, True], 62, False, [False, True, False, False], 3531, 'South', (13, 6))
Element 20: (1, (13, 6), ['%', '.', '', '.'], [(6, 10), (15, 3), (13, 9)], [True, False, False, False], 60, False, [False, True, False, True], 3560, 'East', (14, 6))
Element 21: (1, (14, 6), ['', '%', '%', ''], [(7, 10), (15, 2), (13, 10)], [False, True, True, False], 58, False, [False, False, False, False], 3579, 'East', (15, 6))
Element 22: (1, (15, 6), ['', '%', '%', ''], [(8, 10), (16, 2), (12, 10)], [False, True, True, False], 56, False, [False, False, False, False], 3588, 'East', (16, 6))
Element 23: (1, (16, 6), ['', '', '', ''], [(9, 10), (17, 2), (11, 10)], [False, False, False, False], 54, False, [False, False, False, False], 3597, 'East', (17, 6))
Element 24: (1, (17, 6), ['', '%', '%', ''], [(8, 10), (17, 1), (10, 10)], [False, True, True, False], 52, False, [False, False, False, False], 3606, 'East', (18, 6))
Element 25: (1, (18, 6), ['', '.', '', '%'], [(7, 10), (18, 1), (9, 10)], [False, False, False, True], 50, False, [False, True, False, False], 3615, 'South', (18, 5))
Element 26: (1, (18, 5), ['%', '%', '', '%'], [(6, 10), (18, 2), (8, 10)], [True, True, False, True], 48, False, [False, False, False, False], 3624, 'North', (18, 6))
Element 27: (1, (18, 6), ['', '', '', '%'], [(6, 9), (18, 3), (7, 10)], [False, False, False, True], 46, False, [False, False, False, False], 3633, 'North', (18, 7))
Element 28: (1, (18, 7), ['%', '', '', '%'], [(6, 8), (18, 2), (6, 10)], [True, False, False, True], 44, False, [False, False, False, False], 3632, 'North', (18, 8))
Element 29: (1, (18, 8), ['%', '', '', '%'], [(5, 8), (18, 1), (6, 9)], [True, False, False, True], 42, False, [False, False, False, False], 3641, 'North', (18, 9))
Element 30: (1, (18, 9), ['%', '', '', '%'], [(4, 8), (17, 1), (6, 8)], [True, False, False, True], 40, False, [False, False, False, False], 3650, 'North', (18, 10))
Element 31: (1, (18, 10), ['', '', '%', '%'], [(4, 9), (16, 1), (7, 8)], [False, False, True, True], 38, False, [False, False, False, False], 3669, 'West', (17, 10))
Element 32: (1, (17, 10), ['', '%', '%', ''], [(4, 10), (15, 1), (8, 8)], [False, True, True, False], 36, False, [False, False, False, False], 3688, 'West', (16, 10))
Element 33: (1, (16, 10), ['', '%', '%', ''], [(3, 10), (16, 1), (9, 8)], [False, True, True, False], 34, False, [False, False, False, False], 3697, 'West', (15, 10))
Element 34: (1, (15, 10), ['%', '', '%', ''], [(2, 10), (17, 1), (10, 8)], [True, False, True, False], 32, False, [False, False, False, False], 3706, 'South', (15, 9))
Element 35: (1, (15, 9), ['%', '', '', '%'], [(1, 10), (17, 2), (11, 8)], [True, False, False, True], 30, False, [False, False, False, False], 3715, 'South', (15, 8))
Element 36: (1, (15, 8), ['', '%', '', ''], [(1, 9), (18, 2), (12, 8)], [False, True, False, False], 28, False, [False, False, False, False], 3724, 'East', (16, 8))
Element 37: (1, (16, 8), ['', '', '%', '%'], [(1, 8), (17, 2), (11, 8)], [False, False, True, True], 26, False, [False, False, False, False], 3733, 'South', (16, 7))
Element 38: (1, (16, 7), ['%', '', '', '%'], [(1, 7), (16, 2), (10, 8)], [True, False, False, True], 24, False, [False, False, False, False], 3742, 'North', (16, 8))
Element 39: (1, (16, 8), ['', '', '%', '%'], [(1, 8), (16, 1), (10, 7)], [False, False, True, True], 22, False, [False, False, False, False], 3741, 'West', (15, 8))
Element 40: (1, (15, 8), ['', '%', '', ''], [(1, 9), (16, 2), (10, 6)], [False, True, False, False], 20, False, [False, False, False, False], 3740, 'West', (14, 8))
Element 41: (1, (14, 8), ['', '%', '%', ''], [(1, 10), (15, 2), (11, 6)], [False, True, True, False], 18, False, [False, False, False, False], 3749, 'East', (15, 8))
