Element 1: (3, (15, 3), ['.', '.', '.', '%'], [(11, 8), (1, 8), (10, 6)], [False, False, False, True], 98, False, [True, True, True, False], 2009, 'North', (15, 4))
Element 2: (3, (15, 4), ['.', '', '.', '%'], [(11, 9), (1, 9), (11, 6)], [False, False, False, True], 96, False, [True, False, True, False], 4028, 'North', (15, 5))
Element 3: (3, (15, 5), ['.', '', '.', '%'], [(10, 9), (1, 8), (11, 7)], [False, False, False, True], 94, False, [True, False, True, False], 6037, 'North', (15, 6))
Element 4: (3, (15, 6), ['.', '', '.', '%'], [(10, 8), (1, 7), (10, 7)], [False, False, False, True], 92, False, [True, False, True, False], 8046, 'North', (15, 7))
Element 5: (3, (15, 7), ['.', '', '.', '%'], [(9, 8), (1, 6), (9, 7)], [False, False, False, True], 90, False, [True, False, True, False], 8085, 'North', (15, 8))
Element 6: (3, (15, 8), ['.', '', '.', '%'], [(9, 9), (1, 5), (8, 7)], [False, False, False, True], 88, False, [True, False, True, False], 8124, 'North', (15, 9))
Element 7: (3, (15, 9), ['.', '', '%', '%'], [(8, 9), (1, 4), (8, 8)], [False, False, True, True], 86, False, [True, False, False, False], 8163, 'West', (14, 9))
Element 8: (3, (14, 9), ['.', '.', '%', ''], [(7, 9), (1, 3), (7, 8)], [False, False, True, False], 84, False, [True, True, False, False], 8202, 'South', (14, 8))
Element 9: (3, (14, 8), ['.', '.', '', ''], [(6, 9), (1, 2), (7, 7)], [False, False, False, False], 82, False, [True, True, False, False], 8241, 'South', (14, 7))
Element 10: (3, (14, 7), ['.', '.', '', ''], [(6, 8), (1, 1), (7, 6)], [False, False, False, False], 80, False, [True, True, False, False], 8280, 'South', (14, 6))
Element 11: (3, (14, 6), ['.', '.', '', ''], [(6, 7), (2, 1), (8, 6)], [False, False, False, False], 78, False, [True, True, False, False], 8319, 'South', (14, 5))
Element 12: (3, (14, 5), ['.', '.', '', ''], [(6, 6), (3, 1), (8, 5)], [False, False, False, False], 76, False, [True, True, False, False], 8358, 'South', (14, 4))
Element 13: (3, (14, 4), ['.', '.', '', ''], [(6, 5), (4, 1), (9, 5)], [False, False, False, False], 74, False, [True, True, False, False], 8397, 'South', (14, 3))
Element 14: (3, (14, 3), ['.', '%', '', ''], [(7, 5), (4, 2), (10, 5)], [False, True, False, False], 72, False, [True, False, False, False], 9426, 'West', (13, 3))
Element 15: (3, (13, 3), ['.', '.', '.', ''], [(7, 4), (4, 3), (11, 5)], [False, False, False, False], 70, False, [True, True, True, False], 10455, 'North', (13, 4))
Element 16: (3, (13, 4), ['.', '', '.', ''], [(8, 4), (5, 3), (11, 4)], [False, False, False, False], 68, False, [True, False, True, False], 11484, 'North', (13, 5))
Element 17: (3, (13, 5), ['.', '', '.', ''], [(9, 4), (6, 3), (11, 3)], [False, False, False, False], 66, False, [True, False, True, False], 12513, 'North', (13, 6))
Element 18: #1#
