Element 1: (3, (17, 1), ['.', '%', '%', '.'], [(1, 6), (4, 2), (14, 8)], [False, True, True, False], 98, False, [True, False, False, True], 29, 'East', (18, 1))
Element 2: (3, (18, 1), ['', '%', '%', '%'], [(1, 7), (4, 3), (15, 8)], [False, True, True, True], 96, False, [False, False, False, False], 68, 'West', (17, 1))
Element 3: (3, (17, 1), ['.', '%', '%', ''], [(1, 8), (5, 3), (15, 9)], [False, True, True, False], 94, False, [True, False, False, False], 97, 'West', (16, 1))
Element 4: (3, (16, 1), ['%', '%', '%', ''], [(1, 9), (6, 3), (14, 9)], [True, True, True, False], 92, False, [False, False, False, False], 136, 'East', (17, 1))
Element 5: (3, (17, 1), ['', '%', '%', ''], [(1, 8), (7, 3), (13, 9)], [False, True, True, False], 90, False, [False, False, False, False], 155, 'Stop', (17, 1))
Element 6: (3, (17, 1), ['', '%', '%', ''], [(1, 7), (8, 3), (12, 9)], [False, True, True, False], 88, False, [False, False, False, False], 174, 'East', (18, 1))
Element 7: (3, (18, 1), ['', '%', '%', '%'], [(1, 6), (9, 3), (11, 9)], [False, True, True, True], 86, False, [False, False, False, False], 1183, 'West', (17, 1))
Element 8: (3, (17, 1), ['', '%', '%', ''], [(1, 5), (10, 3), (11, 8)], [False, True, True, False], 84, False, [False, False, False, False], 3182, 'West', (16, 1))
Element 9: (3, (16, 1), ['%', '%', '%', ''], [(1, 4), (11, 3), (11, 7)], [True, True, True, False], 82, False, [False, False, False, False], 5191, 'East', (17, 1))
Element 10: (3, (17, 1), ['', '%', '%', ''], [(1, 3), (11, 4), (11, 6)], [False, True, True, False], 80, False, [False, False, False, False], 7200, 'Stop', (17, 1))
Element 11: (3, (17, 1), ['', '%', '%', ''], [(1, 2), (11, 5), (10, 6)], [False, True, True, False], 78, False, [False, False, False, False], 9209, 'East', (18, 1))
Element 12: (3, (18, 1), ['', '%', '%', '%'], [(1, 1), (10, 5), (10, 7)], [False, True, True, True], 76, False, [False, False, False, False], 11218, 'West', (17, 1))
Element 13: (3, (17, 1), ['', '%', '%', ''], [(2, 1), (10, 4), (10, 8)], [False, True, True, False], 74, False, [False, False, False, False], 13227, 'West', (16, 1))
Element 14: #1#
