Element 1: (0, (15, 9), ['.', '.', '%', '%'], [(3, 8), (4, 4), (15, 7)], [False, False, True, True], 98, False, [True, True, False, False], 0, 'South', (15, 8))
Element 2: (0, (15, 8), ['.', '', '', '%'], [(4, 8), (5, 4), (15, 6)], [False, False, False, True], 96, False, [True, False, False, False], 39, 'West', (14, 8))
Element 3: (0, (14, 8), ['.', '.', '.', ''], [(5, 8), (6, 4), (15, 5)], [False, False, False, False], 94, False, [True, True, True, False], 78, 'North', (14, 9))
Element 4: (0, (14, 9), ['.', '', '%', ''], [(6, 8), (7, 4), (15, 4)], [False, False, True, False], 92, False, [True, False, False, False], 117, 'West', (13, 9))
Element 5: (0, (13, 9), ['.', '.', '%', ''], [(7, 8), (8, 4), (15, 3)], [False, False, True, False], 90, False, [True, True, False, False], 156, 'South', (13, 8))
Element 6: (0, (13, 8), ['.', '.', '', ''], [(8, 8), (9, 4), (15, 2)], [False, False, False, False], 88, False, [True, True, False, False], 195, 'South', (13, 7))
Element 7: (0, (13, 7), ['.', '.', '', '.'], [(9, 8), (10, 4), (15, 3)], [False, False, False, False], 86, False, [True, True, False, True], 1214, 'East', (14, 7))
Element 8: (0, (14, 7), ['', '.', '', ''], [(10, 8), (11, 4), (14, 3)], [False, False, False, False], 84, False, [False, True, False, False], 3233, 'South', (14, 6))
Element 9: (0, (14, 6), ['.', '.', '', ''], [(11, 8), (11, 5), (14, 4)], [False, False, False, False], 82, False, [True, True, False, False], 5252, 'South', (14, 5))
Element 10: (0, (14, 5), ['.', '', '', ''], [(11, 9), (11, 6), (13, 4)], [False, False, False, False], 80, False, [True, False, False, False], 7271, 'West', (13, 5))
Element 11: (0, (13, 5), ['.', '', '.', ''], [(10, 9), (11, 7), (13, 3)], [False, False, False, False], 78, False, [True, False, True, False], 9290, 'North', (13, 6))
Element 12: (0, (13, 6), ['.', '', '', ''], [(9, 9), (10, 7), (13, 2)], [False, False, False, False], 76, False, [True, False, False, False], 10319, 'West', (12, 6))
Element 13: (0, (12, 6), ['', '.', '.', ''], [(8, 9), (10, 6), (13, 1)], [False, False, False, False], 74, False, [False, True, True, False], 11348, 'North', (12, 7))
Element 14: (0, (12, 7), ['', '', '.', ''], [(7, 9), (10, 5), (14, 1)], [False, False, False, False], 72, False, [False, False, True, False], 12377, 'North', (12, 8))
Element 15: (0, (12, 8), ['', '', '.', ''], [(6, 9), (9, 5), (13, 1)], [False, False, False, False], 70, False, [False, False, True, False], 12406, 'North', (12, 9))
Element 16: (0, (12, 9), ['', '', '%', ''], [(5, 9), (9, 6), (12, 1)], [False, False, True, False], 68, False, [False, False, False, False], 12445, 'West', (11, 9))
Element 17: (0, (11, 9), ['', '', '%', ''], [(4, 9), (9, 7), (11, 1)], [False, False, True, False], 66, False, [False, False, False, False], 12474, 'South', (11, 8))
Element 18: (0, (11, 8), ['', '', '', ''], [(3, 9), (8, 7), (10, 1)], [False, False, False, False], 64, False, [False, False, False, False], 12503, 'South', (11, 7))
Element 19: (0, (11, 7), ['', '', '', ''], [(4, 9), (8, 6), (10, 2)], [False, False, False, False], 62, False, [False, False, False, False], 12522, 'South', (11, 6))
Element 20: (0, (11, 6), ['', '', '', ''], [(5, 9), (8, 5), (10, 3)], [False, False, False, False], 60, False, [False, False, False, False], 13531, 'South', (11, 5))
Element 21: #1#
