Element 1: (3, (15, 7), ['.', '.', 'G', '%'], [(15, 8), (4, 8), (5, 4)], [False, False, False, True], 98, False, [True, True, False, False], 29, 'South', (15, 6))
Element 2: (3, (15, 6), ['.', '.', '', '%'], [(14, 8), (5, 8), (6, 4)], [False, False, False, True], 96, False, [True, True, False, False], 68, 'South', (15, 5))
Element 3: (3, (15, 5), ['.', '.', '', '%'], [(14, 9), (6, 8), (7, 4)], [False, False, False, True], 94, False, [True, True, False, False], 107, 'South', (15, 4))
Element 4: (3, (15, 4), ['.', '.', '', '%'], [(13, 9), (7, 8), (8, 4)], [False, False, False, True], 92, False, [True, True, False, False], 146, 'South', (15, 3))
Element 5: (3, (15, 3), ['.', '.', '', '%'], [(13, 8), (8, 8), (9, 4)], [False, False, False, True], 90, False, [True, True, False, False], 185, 'South', (15, 2))
Element 6: (3, (15, 2), ['%', '%', '', '%'], [(13, 7), (9, 8), (10, 4)], [True, True, False, True], 88, False, [False, False, False, False], 1214, 'North', (15, 3))
Element 7: (3, (15, 3), ['.', '', '', '%'], [(14, 7), (10, 8), (11, 4)], [False, False, False, True], 86, False, [True, False, False, False], 3223, 'West', (14, 3))
Element 8: (3, (14, 3), ['.', '%', '.', ''], [(14, 6), (11, 8), (11, 5)], [False, True, False, False], 84, False, [True, False, True, False], 5242, 'North', (14, 4))
Element 9: (3, (14, 4), ['.', '', 'G', ''], [(14, 5), (11, 9), (11, 6)], [False, False, False, False], 82, False, [True, False, False, False], 7261, 'West', (13, 4))
Element 10: (3, (13, 4), ['.', '.', 'G', ''], [(13, 5), (10, 9), (11, 7)], [False, False, False, False], 80, False, [True, True, False, False], 9280, 'South', (13, 3))
Element 11: (3, (13, 3), ['.', '.', '', ''], [(13, 6), (9, 9), (10, 7)], [False, False, False, False], 78, False, [True, True, False, False], 10309, 'South', (13, 2))
Element 12: (3, (13, 2), ['%', '.', '', '%'], [(12, 6), (8, 9), (10, 6)], [True, False, False, True], 76, False, [False, True, False, False], 11338, 'South', (13, 1))
Element 13: (3, (13, 1), ['.', '%', '', '.'], [(12, 7), (7, 9), (10, 5)], [False, True, False, False], 74, False, [True, False, False, True], 12367, 'East', (14, 1))
Element 14: (3, (14, 1), ['', '%', '%', '%'], [(12, 8), (6, 9), (9, 5)], [False, True, True, True], 72, False, [False, False, False, False], 12406, 'West', (13, 1))
Element 15: (3, (13, 1), ['.', '%', '', ''], [(12, 9), (5, 9), (9, 6)], [False, True, False, False], 70, False, [True, False, False, False], 12435, 'West', (12, 1))
Element 16: (3, (12, 1), ['.', '%', '%', ''], [(11, 9), (4, 9), (9, 7)], [False, True, True, False], 68, False, [True, False, False, False], 12464, 'West', (11, 1))
Element 17: (3, (11, 1), ['.', '%', '%', ''], [(11, 8), (3, 9), (8, 7)], [False, True, True, False], 66, False, [True, False, False, False], 12493, 'West', (10, 1))
Element 18: (3, (10, 1), ['.', '%', '.', ''], [(11, 7), (4, 9), (8, 6)], [False, True, False, False], 64, False, [True, False, True, False], 12512, 'North', (10, 2))
Element 19: (3, (10, 2), ['.', '', 'F', '%'], [(11, 6), (5, 9), (8, 5)], [False, False, False, True], 62, False, [True, False, False, False], 12531, 'North', (10, 3))
Element 20: (3, (10, 3), ['.', '', '', 'F'], [(11, 5), (6, 9), (7, 5)], [False, False, False, False], 60, False, [True, False, False, False], 13540, 'East', (11, 3))
Element 21: #1#
