Element 1: (1, (9, 9), ['.', '.', '%', 'F'], [(14, 7), (15, 6), (15, 7)], [False, False, True, False], 98, False, [True, True, False, False], 9, 'East', (10, 9))
Element 2: (1, (10, 9), ['', 'F', '%', 'F'], [(14, 8), (15, 5), (15, 8)], [False, False, True, False], 96, False, [False, False, False, False], 1038, 'East', (11, 9))
Element 3: (1, (11, 9), ['', 'F', '%', '.'], [(14, 9), (15, 4), (15, 9)], [False, False, True, False], 94, False, [False, False, False, True], 2067, 'South', (11, 8))
Element 4: (1, (11, 8), ['F', 'F', '', '.'], [(13, 9), (15, 3), (15, 8)], [False, False, False, False], 92, False, [False, False, False, True], 3086, 'South', (11, 7))
Element 5: (1, (11, 7), ['F', 'F', '', '.'], [(13, 8), (15, 2), (15, 7)], [False, False, False, False], 90, False, [False, False, False, True], 4105, 'South', (11, 6))
Element 6: (1, (11, 6), ['F', 'F', '', '.'], [(13, 7), (15, 3), (15, 6)], [False, False, False, False], 88, False, [False, False, False, True], 5114, 'South', (11, 5))
Element 7: (1, (11, 5), ['F', 'F', '', '.'], [(13, 6), (14, 3), (15, 5)], [False, False, False, False], 86, False, [False, False, False, True], 6133, 'South', (11, 4))
Element 8: (1, (11, 4), ['F', 'F', '', '.'], [(13, 5), (14, 4), (14, 5)], [False, False, False, False], 84, False, [False, False, False, True], 7162, 'South', (11, 3))
Element 9: (1, (11, 3), ['F', '%', '', '.'], [(12, 5), (13, 4), (14, 6)], [False, True, False, False], 82, False, [False, False, False, True], 8181, 'West', (10, 3))
Element 10: (1, (10, 3), ['.', '.', 'F', ''], [(12, 6), (13, 3), (14, 7)], [False, False, False, False], 80, False, [True, True, False, False], 9200, 'North', (10, 4))
Element 11: (1, (10, 4), ['.', '', 'F', ''], [(12, 7), (13, 2), (14, 8)], [False, False, False, False], 78, False, [True, False, False, False], 10219, 'North', (10, 5))
Element 12: (1, (10, 5), ['.', '', 'F', ''], [(12, 8), (13, 1), (14, 9)], [False, False, False, False], 76, False, [True, False, False, False], 11238, 'North', (10, 6))
Element 13: (1, (10, 6), ['.', '', 'F', ''], [(12, 9), (14, 1), (13, 9)], [False, False, False, False], 74, False, [True, False, False, False], 12257, 'North', (10, 7))
Element 14: (1, (10, 7), ['.', '', 'F', ''], [(11, 9), (13, 1), (13, 8)], [False, False, False, False], 72, False, [True, False, False, False], 13256, 'North', (10, 8))
Element 15: #1#
