Element 1: (3, (8, 3), ['.', '', '.', '.'], [(9, 2), (4, 4), (7, 6)], [False, False, False, False], 98, False, [True, False, True, True], 29, 'East', (9, 3))
Element 2: (3, (9, 3), ['', '', '.', 'F'], [(10, 2), (5, 4), (8, 6)], [False, False, False, False], 96, False, [False, False, True, False], 68, 'East', (10, 3))
Element 3: (3, (10, 3), ['', '', 'F', 'F'], [(10, 1), (6, 4), (9, 6)], [False, False, False, False], 94, False, [False, False, False, False], 1097, 'East', (11, 3))
Element 4: (3, (11, 3), ['', '%', 'F', '.'], [(11, 1), (7, 4), (10, 6)], [False, True, False, False], 92, False, [False, False, False, True], 3116, 'North', (11, 4))
Element 5: (3, (11, 4), ['F', '', 'F', '.'], [(12, 1), (8, 4), (11, 6)], [False, False, False, False], 90, False, [False, False, False, True], 5135, 'North', (11, 5))
Element 6: (3, (11, 5), ['F', '', '', '.'], [(13, 1), (9, 4), (11, 7)], [False, False, False, False], 88, False, [False, False, False, True], 7154, 'West', (10, 5))
Element 7: (3, (10, 5), ['.', 'G', '', ''], [(14, 1), (10, 4), (11, 8)], [False, False, False, False], 86, False, [True, False, False, False], 10163, 'West', (9, 5))
Element 8: (3, (9, 5), ['.', '', '', ''], [(13, 1), (11, 4), (11, 9)], [False, False, False, False], 84, False, [True, False, False, False], 11172, 'West', (8, 5))
Element 9: (3, (8, 5), ['.', '', '', ''], [(13, 2), (12, 4), (10, 9)], [False, False, False, False], 82, False, [True, False, False, False], 12201, 'West', (7, 5))
Element 10: (3, (7, 5), ['.', '', '', ''], [(13, 3), (13, 4), (10, 8)], [False, False, False, False], 80, False, [True, False, False, False], 13230, 'West', (6, 5))
Element 11: #1#
