Element 1: (3, (15, 9), ['.', '', '%', '%'], [(15, 7), (4, 4), (15, 3)], [False, False, True, True], 98, False, [True, False, False, False], 29, 'West', (14, 9))
Element 2: (3, (14, 9), ['.', '.', '%', ''], [(15, 6), (5, 4), (15, 4)], [False, False, True, False], 96, False, [True, True, False, False], 68, 'South', (14, 8))
Element 3: (3, (14, 8), ['.', '.', '', ''], [(15, 5), (6, 4), (14, 4)], [False, False, False, False], 94, False, [True, True, False, False], 107, 'South', (14, 7))
Element 4: (3, (14, 7), ['.', '.', '', ''], [(14, 5), (7, 4), (13, 4)], [False, False, False, False], 92, False, [True, True, False, False], 146, 'South', (14, 6))
Element 5: (3, (14, 6), ['.', '', '', ''], [(13, 5), (8, 4), (13, 3)], [False, False, False, False], 90, False, [True, False, False, False], 185, 'West', (13, 6))
Element 6: (3, (13, 6), ['.', '', '.', ''], [(12, 5), (9, 4), (13, 2)], [False, False, False, False], 88, False, [True, False, True, False], 224, 'North', (13, 7))
Element 7: (3, (13, 7), ['.', '', '.', ''], [(11, 5), (10, 4), (13, 1)], [False, False, False, False], 86, False, [True, False, True, False], 2243, 'North', (13, 8))
Element 8: (3, (13, 8), ['.', '', '.', ''], [(11, 6), (11, 4), (14, 1)], [False, False, False, False], 84, False, [True, False, True, False], 4262, 'North', (13, 9))
Element 9: (3, (13, 9), ['.', '', '%', ''], [(11, 7), (11, 3), (13, 1)], [False, False, True, False], 82, False, [True, False, False, False], 6271, 'West', (12, 9))
Element 10: (3, (12, 9), ['F', '.', '%', ''], [(11, 8), (10, 3), (12, 1)], [False, False, True, False], 80, False, [False, True, False, False], 8290, 'West', (11, 9))
Element 11: (3, (11, 9), ['F', '', '%', ''], [(10, 8), (10, 2), (11, 1)], [False, False, True, False], 78, False, [False, False, False, False], 10309, 'West', (10, 9))
Element 12: (3, (10, 9), ['.', '', '%', ''], [(10, 7), (10, 1), (12, 1)], [False, False, True, False], 76, False, [True, False, False, False], 12318, 'West', (9, 9))
Element 13: (3, (9, 9), ['.', '.', '%', ''], [(10, 6), (9, 1), (13, 1)], [False, False, True, False], 74, False, [True, True, False, False], 13337, 'South', (9, 8))
Element 14: #1#
