Element 1: (3, (15, 7), ['.', '.', '.', '%'], [(6, 5), (13, 1), (11, 3)], [False, False, False, True], 98, False, [True, True, True, False], 1019, 'West', (14, 7))
Element 2: (3, (14, 7), ['.', '.', '.', ''], [(7, 5), (14, 1), (11, 4)], [False, False, False, False], 96, False, [True, True, True, False], 2048, 'North', (14, 8))
Element 3: (3, (14, 8), ['.', '', '.', '.'], [(8, 5), (13, 1), (11, 5)], [False, False, False, False], 94, False, [True, False, True, True], 3067, 'North', (14, 9))
Element 4: (3, (14, 9), ['.', '', '%', '.'], [(9, 5), (13, 2), (10, 5)], [False, False, True, False], 92, False, [True, False, False, True], 4096, 'East', (15, 9))
Element 5: (3, (15, 9), ['', '.', '%', '%'], [(9, 4), (13, 3), (10, 6)], [False, False, True, True], 90, False, [False, True, False, False], 5125, 'South', (15, 8))
Element 6: (3, (15, 8), ['', '', '', '%'], [(10, 4), (14, 3), (11, 6)], [False, False, False, True], 88, False, [False, False, False, False], 7144, 'North', (15, 9))
Element 7: (3, (15, 9), ['', '', '%', '%'], [(10, 3), (15, 3), (11, 7)], [False, False, True, True], 86, False, [False, False, False, False], 9153, 'West', (14, 9))
Element 8: (3, (14, 9), ['.', '', '%', ''], [(9, 3), (15, 4), (11, 8)], [False, False, True, False], 84, False, [True, False, False, False], 10172, 'West', (13, 9))
Element 9: (3, (13, 9), ['.', '.', '%', ''], [(8, 3), (15, 5), (11, 9)], [False, False, True, False], 82, False, [True, True, False, False], 11201, 'West', (12, 9))
Element 10: (3, (12, 9), ['', '.', '%', ''], [(8, 4), (14, 5), (10, 9)], [False, False, True, False], 80, False, [False, True, False, False], 12230, 'South', (12, 8))
Element 11: (3, (12, 8), ['', '.', '', '.'], [(7, 4), (14, 6), (10, 8)], [False, False, False, False], 78, False, [False, True, False, True], 13259, 'South', (12, 7))
Element 12: #1#
