Element 1: (0, (7, 5), ['.', '.', '.', 'G'], [(3, 9), (4, 8), (8, 5)], [False, False, False, False], 98, False, [True, True, True, False], 0, 'North', (7, 6))
Element 2: (0, (7, 6), ['.', '', '.', '.'], [(4, 9), (5, 8), (9, 5)], [False, False, False, False], 96, False, [True, False, True, True], 39, 'East', (8, 6))
Element 3: (0, (8, 6), ['', '', '.', '.'], [(5, 9), (6, 8), (10, 5)], [False, False, False, False], 94, False, [False, False, True, True], 1068, 'East', (9, 6))
Element 4: (0, (9, 6), ['', '', '.', 'F'], [(6, 9), (7, 8), (11, 5)], [False, False, False, False], 92, False, [False, False, True, False], 2097, 'East', (10, 6))
Element 5: (0, (10, 6), ['', '', 'F', 'G'], [(7, 9), (8, 8), (11, 6)], [False, False, False, False], 90, False, [False, False, False, False], 4116, 'North', (10, 7))
Element 6: (0, (10, 7), ['.', '', 'F', 'G'], [(8, 9), (9, 8), (11, 7)], [False, False, False, False], 88, False, [True, False, False, False], 6135, 'North', (10, 8))
Element 7: (0, (10, 8), ['', '', 'F', 'G'], [(9, 9), (9, 7), (11, 8)], [False, False, False, False], 86, False, [False, False, False, False], 8154, 'North', (10, 9))
Element 8: (0, (10, 9), ['', '', '%', 'G'], [(9, 8), (8, 7), (11, 9)], [False, False, True, False], 84, False, [False, False, False, False], 10163, 'West', (9, 9))
Element 9: (0, (9, 9), ['', '', '%', ''], [(10, 8), (7, 7), (12, 9)], [False, False, True, False], 82, False, [False, False, False, False], 10182, 'South', (9, 8))
Element 10: (0, (9, 8), ['', '', '', ''], [(11, 8), (6, 7), (13, 9)], [False, False, False, False], 80, False, [False, False, False, False], 10201, 'South', (9, 7))
Element 11: (0, (9, 7), ['', '', '', ''], [(12, 8), (6, 6), (14, 9)], [False, False, False, False], 78, False, [False, False, False, False], 10230, 'West', (8, 7))
Element 12: (0, (8, 7), ['', '', '', ''], [(13, 8), (6, 5), (15, 9)], [False, False, False, False], 76, False, [False, False, False, False], 10259, 'North', (8, 8))
Element 13: (0, (8, 8), ['', '', '', ''], [(14, 8), (6, 4), (15, 8)], [False, False, False, False], 74, False, [False, False, False, False], 10288, 'North', (8, 9))
Element 14: (0, (8, 9), ['', '', '%', ''], [(14, 7), (7, 4), (15, 7)], [False, False, True, False], 72, False, [False, False, False, False], 10317, 'West', (7, 9))
Element 15: (0, (7, 9), ['', '', '%', ''], [(14, 6), (8, 4), (15, 6)], [False, False, True, False], 70, False, [False, False, False, False], 10346, 'South', (7, 8))
Element 16: (0, (7, 8), ['', '', '', ''], [(14, 5), (9, 4), (15, 5)], [False, False, False, False], 68, False, [False, False, False, False], 10375, 'South', (7, 7))
Element 17: (0, (7, 7), ['', '', '', ''], [(14, 4), (10, 4), (15, 4)], [False, False, False, False], 66, False, [False, False, False, False], 11394, 'West', (6, 7))
Element 18: (0, (6, 7), ['.', '', '', ''], [(14, 3), (11, 4), (15, 3)], [False, False, False, False], 64, False, [True, False, False, False], 12413, 'West', (5, 7))
Element 19: (0, (5, 7), ['.', '.', '', ''], [(13, 3), (11, 3), (15, 2)], [False, False, False, False], 62, False, [True, True, False, False], 13442, 'South', (5, 6))
Element 20: #1#
