Element 1: (3, (8, 5), ['', '.', '.', '.'], [(7, 6), (4, 9), (5, 8)], [False, False, False, False], 98, False, [False, True, True, True], 29, 'East', (9, 5))
Element 2: (3, (9, 5), ['', '.', '.', 'F'], [(8, 6), (5, 9), (6, 8)], [False, False, False, False], 96, False, [False, True, True, False], 68, 'East', (10, 5))
Element 3: (3, (10, 5), ['', 'F', 'F', 'F'], [(9, 6), (6, 9), (7, 8)], [False, False, False, False], 94, False, [False, False, False, False], 1097, 'East', (11, 5))
Element 4: (3, (11, 5), ['', 'F', 'F', '.'], [(10, 6), (7, 9), (8, 8)], [False, False, False, False], 92, False, [False, False, False, True], 3116, 'North', (11, 6))
Element 5: (3, (11, 6), ['', '', 'F', '.'], [(10, 7), (8, 9), (9, 8)], [False, False, False, False], 90, False, [False, False, False, True], 5135, 'North', (11, 7))
Element 6: (3, (11, 7), ['', '', 'F', '.'], [(10, 8), (9, 9), (9, 7)], [False, False, False, False], 88, False, [False, False, False, True], 7154, 'North', (11, 8))
Element 7: (3, (11, 8), ['', '', 'F', '.'], [(10, 9), (9, 8), (8, 7)], [False, False, False, False], 86, False, [False, False, False, True], 9163, 'North', (11, 9))
Element 8: (3, (11, 9), ['', '', '%', '.'], [(9, 9), (10, 8), (7, 7)], [False, False, True, False], 84, False, [False, False, False, True], 10172, 'East', (12, 9))
Element 9: (3, (12, 9), ['', '.', '%', '.'], [(9, 8), (11, 8), (6, 7)], [False, False, True, False], 82, False, [False, True, False, True], 10191, 'East', (13, 9))
Element 10: (3, (13, 9), ['', '.', '%', '.'], [(9, 7), (12, 8), (6, 6)], [False, False, True, False], 80, False, [False, True, False, True], 10220, 'East', (14, 9))
Element 11: (3, (14, 9), ['', '.', '%', '.'], [(8, 7), (13, 8), (6, 5)], [False, False, True, False], 78, False, [False, True, False, True], 10249, 'East', (15, 9))
Element 12: (3, (15, 9), ['', '.', '%', '%'], [(8, 8), (14, 8), (6, 4)], [False, False, True, True], 76, False, [False, True, False, False], 10278, 'South', (15, 8))
Element 13: (3, (15, 8), ['', '.', '', '%'], [(8, 9), (14, 7), (7, 4)], [False, False, False, True], 74, False, [False, True, False, False], 10307, 'South', (15, 7))
Element 14: (3, (15, 7), ['', '.', '', '%'], [(7, 9), (14, 6), (8, 4)], [False, False, False, True], 72, False, [False, True, False, False], 10336, 'South', (15, 6))
Element 15: (3, (15, 6), ['', '.', '', '%'], [(7, 8), (14, 5), (9, 4)], [False, False, False, True], 70, False, [False, True, False, False], 10365, 'South', (15, 5))
Element 16: (3, (15, 5), ['', '.', '', '%'], [(7, 7), (14, 4), (10, 4)], [False, False, False, True], 68, False, [False, True, False, False], 11384, 'South', (15, 4))
Element 17: (3, (15, 4), ['', '.', '', '%'], [(6, 7), (14, 3), (11, 4)], [False, False, False, True], 66, False, [False, True, False, False], 12403, 'South', (15, 3))
Element 18: (3, (15, 3), ['', '.', '', '%'], [(5, 7), (13, 3), (11, 3)], [False, False, False, True], 64, False, [False, True, False, False], 13432, 'South', (15, 2))
Element 19: #1#
