Element 1: (3, (16, 1), ['%', '%', '%', '.'], [(8, 5), (4, 9), (10, 8)], [True, True, True, False], 98, False, [False, False, False, True], 1019, 'East', (17, 1))
Element 2: (3, (17, 1), ['', '%', '%', '.'], [(9, 5), (5, 9), (11, 8)], [False, True, True, False], 96, False, [False, False, False, True], 2048, 'East', (18, 1))
Element 3: (3, (18, 1), ['', '%', '%', '%'], [(10, 5), (6, 9), (11, 9)], [False, True, True, True], 94, False, [False, False, False, False], 4067, 'West', (17, 1))
Element 4: (3, (17, 1), ['', '%', '%', ''], [(11, 5), (7, 9), (10, 9)], [False, True, True, False], 92, False, [False, False, False, False], 6076, 'West', (16, 1))
Element 5: (3, (16, 1), ['%', '%', '%', ''], [(11, 6), (8, 9), (9, 9)], [True, True, True, False], 90, False, [False, False, False, False], 7095, 'Stop', (16, 1))
Element 6: (3, (16, 1), ['%', '%', '%', ''], [(11, 7), (8, 8), (8, 9)], [True, True, True, False], 88, False, [False, False, False, False], 8104, 'East', (17, 1))
Element 7: (3, (17, 1), ['', '%', '%', ''], [(10, 7), (8, 7), (8, 8)], [False, True, True, False], 86, False, [False, False, False, False], 9113, 'East', (18, 1))
Element 8: (3, (18, 1), ['', '%', '%', '%'], [(10, 6), (9, 7), (7, 8)], [False, True, True, True], 84, False, [False, False, False, False], 10132, 'West', (17, 1))
Element 9: (3, (17, 1), ['', '%', '%', ''], [(9, 6), (10, 7), (7, 7)], [False, True, True, False], 82, False, [False, False, False, False], 10151, 'West', (16, 1))
Element 10: (3, (16, 1), ['%', '%', '%', ''], [(8, 6), (11, 7), (7, 6)], [True, True, True, False], 80, False, [False, False, False, False], 10170, 'Stop', (16, 1))
Element 11: (3, (16, 1), ['%', '%', '%', ''], [(8, 7), (12, 7), (6, 6)], [True, True, True, False], 78, False, [False, False, False, False], 10189, 'East', (17, 1))
Element 12: (3, (17, 1), ['', '%', '%', ''], [(9, 7), (13, 7), (6, 7)], [False, True, True, False], 76, False, [False, False, False, False], 10208, 'East', (18, 1))
Element 13: (3, (18, 1), ['', '%', '%', '%'], [(9, 8), (14, 7), (6, 8)], [False, True, True, True], 74, False, [False, False, False, False], 10227, 'West', (17, 1))
Element 14: (3, (17, 1), ['', '%', '%', ''], [(10, 8), (15, 7), (5, 8)], [False, True, True, False], 72, False, [False, False, False, False], 10246, 'West', (16, 1))
Element 15: (3, (16, 1), ['%', '%', '%', ''], [(11, 8), (15, 8), (5, 7)], [True, True, True, False], 70, False, [False, False, False, False], 10265, 'Stop', (16, 1))
Element 16: (3, (16, 1), ['%', '%', '%', ''], [(12, 8), (15, 9), (5, 6)], [True, True, True, False], 68, False, [False, False, False, False], 10294, 'East', (17, 1))
Element 17: (3, (17, 1), ['', '%', '%', ''], [(13, 8), (14, 9), (5, 5)], [False, True, True, False], 66, False, [False, False, False, False], 10323, 'East', (18, 1))
Element 18: (3, (18, 1), ['', '%', '%', '%'], [(14, 8), (13, 9), (6, 5)], [False, True, True, True], 64, False, [False, False, False, False], 10352, 'West', (17, 1))
Element 19: (3, (17, 1), ['', '%', '%', ''], [(15, 8), (12, 9), (6, 4)], [False, True, True, False], 62, False, [False, False, False, False], 10371, 'West', (16, 1))
Element 20: (3, (16, 1), ['%', '%', '%', ''], [(15, 9), (12, 8), (7, 4)], [True, True, True, False], 60, False, [False, False, False, False], 10380, 'Stop', (16, 1))
Element 21: (3, (16, 1), ['%', '%', '%', ''], [(14, 9), (13, 8), (8, 4)], [True, True, True, False], 58, False, [False, False, False, False], 10389, 'East', (17, 1))
Element 22: (3, (17, 1), ['', '%', '%', ''], [(13, 9), (14, 8), (9, 4)], [False, True, True, False], 56, False, [False, False, False, False], 10398, 'East', (18, 1))
Element 23: (3, (18, 1), ['', '%', '%', '%'], [(12, 9), (13, 8), (10, 4)], [False, True, True, True], 54, False, [False, False, False, False], 11397, 'West', (17, 1))
Element 24: (3, (17, 1), ['', '%', '%', ''], [(11, 9), (12, 8), (11, 4)], [False, True, True, False], 52, False, [False, False, False, False], 12396, 'West', (16, 1))
Element 25: (3, (16, 1), ['%', '%', '%', ''], [(10, 9), (11, 8), (11, 3)], [True, True, True, False], 50, False, [False, False, False, False], 13395, 'Stop', (16, 1))
Element 26: #1#
