Element 1: (1, (1, 2), ['%', '', '.', '%'], [(2, 1), (3, 9), (13, 1)], [True, False, False, True], 98, False, [False, False, True, False], 9, 'North', (1, 3))
Element 2: (1, (1, 3), ['%', '', '.', '%'], [(3, 1), (4, 9), (14, 1)], [True, False, False, True], 96, False, [False, False, True, False], 48, 'North', (1, 4))
Element 3: (1, (1, 4), ['%', '', '.', '%'], [(4, 1), (5, 9), (13, 1)], [True, False, False, True], 94, False, [False, False, True, False], 77, 'North', (1, 5))
Element 4: (1, (1, 5), ['%', '', '.', '%'], [(4, 2), (6, 9), (13, 2)], [True, False, False, True], 92, False, [False, False, True, False], 116, 'North', (1, 6))
Element 5: (1, (1, 6), ['%', '', '.', '%'], [(4, 3), (7, 9), (13, 3)], [True, False, False, True], 90, False, [False, False, True, False], 155, 'North', (1, 7))
Element 6: (1, (1, 7), ['%', '', '.', '%'], [(5, 3), (8, 9), (14, 3)], [True, False, False, True], 88, False, [False, False, True, False], 194, 'North', (1, 8))
Element 7: (1, (1, 8), ['%', '', '.', '%'], [(6, 3), (9, 9), (15, 3)], [True, False, False, True], 86, False, [False, False, True, False], 233, 'North', (1, 9))
Element 8: (1, (1, 9), ['%', '', '%', '%'], [(7, 3), (10, 9), (15, 4)], [True, False, True, True], 84, False, [False, False, False, False], 1262, 'South', (1, 8))
Element 9: (1, (1, 8), ['%', '', '', '%'], [(8, 3), (11, 9), (15, 5)], [True, False, False, True], 82, False, [False, False, False, False], 2281, 'South', (1, 7))
Element 10: (1, (1, 7), ['%', '', '', '%'], [(9, 3), (11, 8), (15, 6)], [True, False, False, True], 80, False, [False, False, False, False], 3300, 'South', (1, 6))
Element 11: (1, (1, 6), ['%', '', '', '%'], [(10, 3), (11, 7), (15, 7)], [True, False, False, True], 78, False, [False, False, False, False], 5309, 'South', (1, 5))
Element 12: (1, (1, 5), ['%', '', '', '%'], [(11, 3), (11, 6), (15, 8)], [True, False, False, True], 76, False, [False, False, False, False], 7318, 'South', (1, 4))
Element 13: (1, (1, 4), ['%', '', '', '%'], [(11, 4), (11, 5), (15, 9)], [True, False, False, True], 74, False, [False, False, False, False], 9327, 'South', (1, 3))
Element 14: (1, (1, 3), ['%', '', '', '%'], [(10, 4), (10, 5), (14, 9)], [True, False, False, True], 72, False, [False, False, False, False], 11336, 'South', (1, 2))
Element 15: (1, (1, 2), ['%', '', '', '%'], [(9, 4), (10, 6), (14, 8)], [True, False, False, True], 70, False, [False, False, False, False], 12355, 'South', (1, 1))
Element 16: (1, (1, 1), ['%', '%', '', ''], [(9, 5), (10, 7), (14, 7)], [True, True, False, False], 68, False, [False, False, False, False], 13374, 'East', (2, 1))
Element 17: #1#
