Element 1: (0, (1, 9), ['%', '.', '%', '%'], [(3, 9), (5, 9), (14, 6)], [True, False, True, True], 98, False, [False, True, False, False], 0, 'South', (1, 8))
Element 2: (0, (1, 8), ['%', '.', '', '%'], [(4, 9), (6, 9), (15, 6)], [True, False, False, True], 96, False, [False, True, False, False], 39, 'South', (1, 7))
Element 3: (0, (1, 7), ['%', '.', '', '%'], [(4, 8), (7, 9), (15, 7)], [True, False, False, True], 94, False, [False, True, False, False], 78, 'South', (1, 6))
Element 4: (0, (1, 6), ['%', '.', '', '%'], [(5, 8), (8, 9), (15, 8)], [True, False, False, True], 92, False, [False, True, False, False], 117, 'South', (1, 5))
Element 5: (0, (1, 5), ['%', '.', '', '%'], [(6, 8), (9, 9), (15, 9)], [True, False, False, True], 90, False, [False, True, False, False], 156, 'South', (1, 4))
Element 6: (0, (1, 4), ['%', '.', '', '%'], [(7, 8), (10, 9), (14, 9)], [True, False, False, True], 88, False, [False, True, False, False], 1185, 'South', (1, 3))
Element 7: (0, (1, 3), ['%', '.', '', '%'], [(8, 8), (11, 9), (14, 8)], [True, False, False, True], 86, False, [False, True, False, False], 2214, 'South', (1, 2))
Element 8: (0, (1, 2), ['%', '.', '', '%'], [(9, 8), (11, 8), (14, 7)], [True, False, False, True], 84, False, [False, True, False, False], 3243, 'South', (1, 1))
Element 9: (0, (1, 1), ['%', '%', '', '.'], [(10, 8), (11, 7), (13, 7)], [True, True, False, False], 82, False, [False, False, False, True], 5262, 'East', (2, 1))
Element 10: (0, (2, 1), ['', '%', '%', '.'], [(10, 7), (11, 6), (13, 8)], [False, True, True, False], 80, False, [False, False, False, True], 7281, 'East', (3, 1))
Element 11: (0, (3, 1), ['', '%', '%', '.'], [(10, 6), (11, 5), (13, 9)], [False, True, True, False], 78, False, [False, False, False, True], 9300, 'East', (4, 1))
Element 12: (0, (4, 1), ['', '%', '.', '%'], [(10, 5), (11, 4), (12, 9)], [False, True, False, True], 76, False, [False, False, True, False], 11319, 'North', (4, 2))
Element 13: (0, (4, 2), ['%', '', '.', '%'], [(10, 4), (11, 3), (12, 8)], [True, False, False, True], 74, False, [False, False, True, False], 13338, 'North', (4, 3))
Element 14: #1#
