Element 1: (2, (14, 6), ['.', '.', 'G', '.'], [(14, 7), (5, 3), (17, 1)], [False, False, False, False], 98, False, [True, True, False, True], 19, 'East', (15, 6))
Element 2: (2, (15, 6), ['', '.', 'G', '%'], [(15, 7), (6, 3), (18, 1)], [False, False, False, True], 96, False, [False, True, False, False], 58, 'South', (15, 5))
Element 3: (2, (15, 5), ['.', '.', '', '%'], [(15, 8), (7, 3), (17, 1)], [False, False, False, True], 94, False, [True, True, False, False], 87, 'South', (15, 4))
Element 4: (2, (15, 4), ['.', '.', '', '%'], [(15, 9), (8, 3), (16, 1)], [False, False, False, True], 92, False, [True, True, False, False], 126, 'South', (15, 3))
Element 5: (2, (15, 3), ['.', '.', '', '%'], [(14, 9), (9, 3), (17, 1)], [False, False, False, True], 90, False, [True, True, False, False], 155, 'South', (15, 2))
Element 6: (2, (15, 2), ['%', '%', '', '%'], [(14, 8), (10, 3), (17, 1)], [True, True, False, True], 88, False, [False, False, False, False], 1174, 'North', (15, 3))
Element 7: (2, (15, 3), ['.', '', '', '%'], [(13, 8), (11, 3), (18, 1)], [False, False, False, True], 86, False, [True, False, False, False], 2183, 'West', (14, 3))
Element 8: (2, (14, 3), ['.', '%', '.', ''], [(13, 9), (11, 4), (17, 1)], [False, True, False, False], 84, False, [True, False, True, False], 3202, 'North', (14, 4))
Element 9: (2, (14, 4), ['.', '', '.', ''], [(12, 9), (11, 5), (16, 1)], [False, False, False, False], 82, False, [True, False, True, False], 4221, 'North', (14, 5))
Element 10: (2, (14, 5), ['.', '', '', ''], [(11, 9), (11, 6), (17, 1)], [False, False, False, False], 80, False, [True, False, False, False], 6230, 'West', (13, 5))
Element 11: (2, (13, 5), ['.', '.', '.', ''], [(11, 8), (11, 7), (17, 1)], [False, False, False, False], 78, False, [True, True, True, False], 8239, 'North', (13, 6))
Element 12: (2, (13, 6), ['.', '', '', ''], [(10, 8), (10, 7), (18, 1)], [False, False, False, False], 76, False, [True, False, False, False], 10248, 'West', (12, 6))
Element 13: (2, (12, 6), ['', '.', '.', ''], [(10, 9), (10, 6), (17, 1)], [False, False, False, False], 74, False, [False, True, True, False], 12257, 'North', (12, 7))
Element 14: (2, (12, 7), ['', '', '.', ''], [(9, 9), (10, 5), (16, 1)], [False, False, False, False], 72, False, [False, False, True, False], 13276, 'North', (12, 8))
Element 15: #1#
