Element 1: (1, (10, 2), ['.', '.', 'F', '%'], [(9, 5), (13, 1), (13, 2)], [False, False, False, True], 98, False, [True, True, False, False], 9, 'North', (10, 3))
Element 2: (1, (10, 3), ['.', '', 'F', 'F'], [(10, 5), (14, 1), (13, 3)], [False, False, False, False], 96, False, [True, False, False, False], 2028, 'East', (11, 3))
Element 3: (1, (11, 3), ['', '%', 'F', '.'], [(11, 5), (13, 1), (14, 3)], [False, True, False, False], 94, False, [False, False, False, True], 4037, 'North', (11, 4))
Element 4: (1, (11, 4), ['F', '', '', '.'], [(11, 6), (12, 1), (15, 3)], [False, False, False, False], 92, False, [False, False, False, True], 6056, 'West', (10, 4))
Element 5: (1, (10, 4), ['.', '', '', ''], [(11, 7), (11, 1), (15, 4)], [False, False, False, False], 90, False, [True, False, False, False], 8075, 'West', (9, 4))
Element 6: (1, (9, 4), ['.', '.', '', ''], [(11, 8), (10, 1), (15, 5)], [False, False, False, False], 88, False, [True, True, False, False], 9104, 'South', (9, 3))
Element 7: (1, (9, 3), ['.', '.', '', ''], [(11, 9), (9, 1), (15, 6)], [False, False, False, False], 86, False, [True, True, False, False], 10133, 'South', (9, 2))
Element 8: (1, (9, 2), ['.', '', '', ''], [(10, 9), (8, 1), (15, 7)], [False, False, False, False], 84, False, [True, False, False, False], 11162, 'West', (8, 2))
Element 9: (1, (8, 2), ['.', '', '.', ''], [(10, 8), (7, 1), (15, 8)], [False, False, False, False], 82, False, [True, False, True, False], 12191, 'North', (8, 3))
Element 10: (1, (8, 3), ['.', '', '.', ''], [(10, 7), (7, 2), (15, 9)], [False, False, False, False], 80, False, [True, False, True, False], 13220, 'North', (8, 4))
Element 11: #1#
