Element 1: (2, (3, 4), ['%', '.', '', '.'], [(4, 5), (1, 9), (7, 3)], [True, False, False, False], 98, False, [False, True, False, True], 19, 'East', (4, 4))
Element 2: (2, (4, 4), ['', '.', '', '.'], [(5, 5), (1, 8), (8, 3)], [False, False, False, False], 96, False, [False, True, False, True], 48, 'East', (5, 4))
Element 3: (2, (5, 4), ['', '.', '', '.'], [(6, 5), (1, 7), (9, 3)], [False, False, False, False], 94, False, [False, True, False, True], 87, 'East', (6, 4))
Element 4: (2, (6, 4), ['', '.', '', '.'], [(7, 5), (1, 6), (10, 3)], [False, False, False, False], 92, False, [False, True, False, True], 1116, 'East', (7, 4))
Element 5: (2, (7, 4), ['', '', '', '.'], [(8, 5), (1, 5), (11, 3)], [False, False, False, False], 90, False, [False, False, False, True], 2145, 'East', (8, 4))
Element 6: (2, (8, 4), ['', '', '', '.'], [(9, 5), (1, 4), (11, 4)], [False, False, False, False], 88, False, [False, False, False, True], 3174, 'East', (9, 4))
Element 7: (2, (9, 4), ['', '', '', 'F'], [(10, 5), (1, 3), (11, 5)], [False, False, False, False], 86, False, [False, False, False, False], 5193, 'East', (10, 4))
Element 8: (2, (10, 4), ['', '', '', ''], [(10, 6), (1, 2), (11, 6)], [False, False, False, False], 84, False, [False, False, False, False], 8202, 'East', (11, 4))
Element 9: (2, (11, 4), ['', '', '', '.'], [(10, 7), (1, 1), (11, 7)], [False, False, False, False], 82, False, [False, False, False, True], 10211, 'East', (12, 4))
Element 10: (2, (12, 4), ['', '.', '.', '.'], [(10, 8), (2, 1), (11, 8)], [False, False, False, False], 80, False, [False, True, True, True], 12230, 'East', (13, 4))
Element 11: #1#
