Element 1: (1, (7, 1), ['.', '%', '.', '.'], [(1, 8), (7, 7), (13, 9)], [False, True, False, False], 98, False, [True, False, True, True], 9, 'East', (8, 1))
Element 2: (1, (8, 1), ['', '%', '.', '.'], [(1, 9), (8, 7), (14, 9)], [False, True, False, False], 96, False, [False, False, True, True], 48, 'East', (9, 1))
Element 3: (1, (9, 1), ['', '%', '.', '.'], [(1, 8), (9, 7), (15, 9)], [False, True, False, False], 94, False, [False, False, True, True], 77, 'East', (10, 1))
Element 4: (1, (10, 1), ['', '%', '.', '.'], [(1, 7), (10, 7), (15, 8)], [False, True, False, False], 92, False, [False, False, True, True], 1096, 'East', (11, 1))
Element 5: (1, (11, 1), ['', '%', '%', '.'], [(1, 6), (11, 7), (15, 7)], [False, True, True, False], 90, False, [False, False, False, True], 2125, 'East', (12, 1))
Element 6: (1, (12, 1), ['', '%', '%', '.'], [(1, 5), (11, 8), (15, 6)], [False, True, True, False], 88, False, [False, False, False, True], 3154, 'East', (13, 1))
Element 7: (1, (13, 1), ['', '%', '.', '.'], [(1, 4), (11, 9), (15, 5)], [False, True, False, False], 86, False, [False, False, True, True], 4183, 'East', (14, 1))
Element 8: (1, (14, 1), ['', '%', '%', '%'], [(1, 3), (10, 9), (15, 4)], [False, True, True, True], 84, False, [False, False, False, False], 5212, 'West', (13, 1))
Element 9: (1, (13, 1), ['', '%', '.', ''], [(1, 2), (10, 8), (15, 3)], [False, True, False, False], 82, False, [False, False, True, False], 6231, 'North', (13, 2))
Element 10: (1, (13, 2), ['%', '', '.', '%'], [(1, 1), (9, 8), (15, 2)], [True, False, False, True], 80, False, [False, False, True, False], 6270, 'North', (13, 3))
Element 11: (1, (13, 3), ['.', '', '.', '.'], [(2, 1), (9, 9), (15, 3)], [False, False, False, False], 78, False, [True, False, True, True], 6299, 'East', (14, 3))
Element 12: (1, (14, 3), ['', '%', '.', ''], [(3, 1), (8, 9), (15, 2)], [False, True, False, False], 76, False, [False, False, True, False], 6328, 'North', (14, 4))
Element 13: (1, (14, 4), ['.', '', '.', ''], [(4, 1), (8, 8), (15, 3)], [False, False, False, False], 74, False, [True, False, True, False], 6357, 'North', (14, 5))
Element 14: (1, (14, 5), ['.', '', '.', ''], [(4, 2), (7, 8), (15, 4)], [False, False, False, False], 72, False, [True, False, True, False], 6386, 'North', (14, 6))
Element 15: (1, (14, 6), ['.', '', '.', ''], [(4, 3), (7, 9), (14, 4)], [False, False, False, False], 70, False, [True, False, True, False], 6415, 'North', (14, 7))
Element 16: (1, (14, 7), ['.', '', '.', ''], [(5, 3), (6, 9), (13, 4)], [False, False, False, False], 68, False, [True, False, True, False], 6454, 'North', (14, 8))
Element 17: (1, (14, 8), ['.', '', '', ''], [(6, 3), (6, 8), (13, 5)], [False, False, False, False], 66, False, [True, False, False, False], 6493, 'West', (13, 8))
Element 18: (1, (13, 8), ['.', '.', '', ''], [(7, 3), (6, 7), (13, 6)], [False, False, False, False], 64, False, [True, True, False, False], 6532, 'South', (13, 7))
Element 19: (1, (13, 7), ['.', '', '', ''], [(8, 3), (6, 6), (12, 6)], [False, False, False, False], 62, False, [True, False, False, False], 6571, 'West', (12, 7))
Element 20: (1, (12, 7), ['', '', '.', ''], [(9, 3), (7, 6), (11, 6)], [False, False, False, False], 60, False, [False, False, True, False], 7600, 'North', (12, 8))
Element 21: (1, (12, 8), ['', '', '.', ''], [(10, 3), (8, 6), (11, 5)], [False, False, False, False], 58, False, [False, False, True, False], 9619, 'North', (12, 9))
Element 22: (1, (12, 9), ['', '', '%', ''], [(11, 3), (9, 6), (11, 4)], [False, False, True, False], 56, False, [False, False, False, False], 11638, 'East', (13, 9))
Element 23: (1, (13, 9), ['', '', '%', ''], [(12, 3), (10, 6), (10, 4)], [False, False, True, False], 54, False, [False, False, False, False], 13647, 'East', (14, 9))
Element 24: #1#
