Element 1: (3, (13, 9), ['.', '.', '%', '.'], [(7, 6), (6, 3), (14, 4)], [False, False, True, False], 98, False, [True, True, False, True], 29, 'East', (14, 9))
Element 2: (3, (14, 9), ['', '.', '%', '.'], [(8, 6), (7, 3), (15, 4)], [False, False, True, False], 96, False, [False, True, False, True], 68, 'East', (15, 9))
Element 3: (3, (15, 9), ['', '.', '%', '%'], [(9, 6), (8, 3), (15, 5)], [False, False, True, True], 94, False, [False, True, False, False], 107, 'South', (15, 8))
Element 4: (3, (15, 8), ['.', '.', '', '%'], [(10, 6), (9, 3), (15, 6)], [False, False, False, True], 92, False, [True, True, False, False], 1136, 'South', (15, 7))
Element 5: (3, (15, 7), ['.', '', '', '%'], [(11, 6), (10, 3), (14, 6)], [False, False, False, True], 90, False, [True, False, False, False], 3155, 'West', (14, 7))
Element 6: (3, (14, 7), ['.', '', '.', ''], [(11, 7), (11, 3), (14, 5)], [False, False, False, False], 88, False, [True, False, True, False], 5174, 'North', (14, 8))
Element 7: (3, (14, 8), ['.', '', '', ''], [(11, 8), (11, 4), (13, 5)], [False, False, False, False], 86, False, [True, False, False, False], 7193, 'West', (13, 8))
Element 8: (3, (13, 8), ['.', '.', '', ''], [(11, 9), (11, 5), (13, 6)], [False, False, False, False], 84, False, [True, True, False, False], 9212, 'South', (13, 7))
Element 9: (3, (13, 7), ['.', '', '', ''], [(10, 9), (10, 5), (12, 6)], [False, False, False, False], 82, False, [True, False, False, False], 11231, 'West', (12, 7))
Element 10: (3, (12, 7), ['', '', '.', ''], [(10, 8), (10, 4), (12, 5)], [False, False, False, False], 80, False, [False, False, True, False], 13250, 'North', (12, 8))
Element 11: #1#
