Element 1: (2, (1, 9), ['%', 'G', '%', '%'], [(4, 2), (1, 8), (12, 9)], [True, False, True, True], 98, False, [False, False, False, False], 19, 'Stop', (1, 9))
Element 2: (2, (1, 9), ['%', '', '%', '%'], [(4, 3), (1, 7), (11, 9)], [True, False, True, True], 96, False, [False, False, False, False], 1028, 'South', (1, 8))
Element 3: (2, (1, 8), ['%', '', '', '%'], [(5, 3), (1, 6), (11, 8)], [True, False, False, True], 94, False, [False, False, False, False], 2047, 'South', (1, 7))
Element 4: (2, (1, 7), ['%', '', '', '%'], [(6, 3), (1, 5), (11, 7)], [True, False, False, True], 92, False, [False, False, False, False], 3066, 'South', (1, 6))
Element 5: (2, (1, 6), ['%', '', '', '%'], [(7, 3), (1, 4), (11, 6)], [True, False, False, True], 90, False, [False, False, False, False], 4085, 'South', (1, 5))
Element 6: (2, (1, 5), ['%', '', '', '%'], [(8, 3), (1, 3), (11, 5)], [True, False, False, True], 88, False, [False, False, False, False], 5104, 'South', (1, 4))
Element 7: (2, (1, 4), ['%', '', '', '%'], [(9, 3), (1, 2), (11, 4)], [True, False, False, True], 86, False, [False, False, False, False], 6123, 'South', (1, 3))
Element 8: (2, (1, 3), ['%', '', '', '%'], [(10, 3), (1, 1), (11, 3)], [True, False, False, True], 84, False, [False, False, False, False], 8132, 'South', (1, 2))
Element 9: (2, (1, 2), ['%', '', '', '%'], [(10, 4), (2, 1), (12, 3)], [True, False, False, True], 82, False, [False, False, False, False], 9151, 'South', (1, 1))
Element 10: (2, (1, 1), ['%', '%', '', ''], [(10, 5), (3, 1), (13, 3)], [True, True, False, False], 80, False, [False, False, False, False], 10170, 'East', (2, 1))
Element 11: (2, (2, 1), ['', '%', '%', ''], [(10, 6), (4, 1), (14, 3)], [False, True, True, False], 78, False, [False, False, False, False], 11179, 'East', (3, 1))
Element 12: (2, (3, 1), ['', '%', '%', ''], [(10, 7), (4, 2), (15, 3)], [False, True, True, False], 76, False, [False, False, False, False], 12188, 'East', (4, 1))
Element 13: (2, (4, 1), ['', '%', '', '%'], [(10, 8), (4, 3), (15, 4)], [False, True, False, True], 74, False, [False, False, False, False], 13197, 'North', (4, 2))
Element 14: #1#
