Element 1: (1, (3, 1), ['.', '%', '%', 'G'], [(4, 1), (4, 2), (7, 2)], [False, True, True, False], 98, False, [True, False, False, False], -1, 'West', (2, 1))
Element 2: (1, (2, 1), ['.', '%', '%', ''], [(4, 2), (4, 3), (8, 2)], [False, True, True, False], 96, False, [True, False, False, False], 28, 'West', (1, 1))
Element 3: (1, (1, 1), ['%', '%', '.', ''], [(4, 3), (5, 3), (9, 2)], [True, True, False, False], 94, False, [False, False, True, False], 57, 'North', (1, 2))
Element 4: (1, (1, 2), ['%', '', '.', '%'], [(4, 4), (6, 3), (10, 2)], [True, False, False, True], 92, False, [False, False, True, False], 96, 'North', (1, 3))
Element 5: (1, (1, 3), ['%', '', '.', '%'], [(5, 4), (7, 3), (10, 3)], [True, False, False, True], 90, False, [False, False, True, False], 1125, 'North', (1, 4))
Element 6: (1, (1, 4), ['%', '', '.', '%'], [(6, 4), (8, 3), (11, 3)], [True, False, False, True], 88, False, [False, False, True, False], 2154, 'North', (1, 5))
Element 7: (1, (1, 5), ['%', '', '.', '%'], [(7, 4), (9, 3), (11, 4)], [True, False, False, True], 86, False, [False, False, True, False], 3183, 'North', (1, 6))
Element 8: (1, (1, 6), ['%', '', '.', '%'], [(8, 4), (9, 4), (11, 5)], [True, False, False, True], 84, False, [False, False, True, False], 4212, 'North', (1, 7))
Element 9: (1, (1, 7), ['%', '', '.', '%'], [(8, 5), (10, 4), (11, 6)], [True, False, False, True], 82, False, [False, False, True, False], 6231, 'North', (1, 8))
Element 10: (1, (1, 8), ['%', '', '.', '%'], [(9, 5), (10, 5), (11, 7)], [True, False, False, True], 80, False, [False, False, True, False], 8250, 'North', (1, 9))
Element 11: (1, (1, 9), ['%', '', '%', '%'], [(9, 6), (10, 6), (11, 8)], [True, False, True, True], 78, False, [False, False, False, False], 10269, 'South', (1, 8))
Element 12: (1, (1, 8), ['%', '', '', '%'], [(9, 7), (10, 7), (11, 9)], [True, False, False, True], 76, False, [False, False, False, False], 12278, 'South', (1, 7))
Element 13: #1#
