Element 1: (2, (4, 2), ['%', 'G', '.', '%'], [(4, 1), (2, 1), (7, 2)], [True, False, False, True], 98, False, [False, False, True, False], 9, 'North', (4, 3))
Element 2: (2, (4, 3), ['.', 'G', '.', '.'], [(4, 2), (1, 1), (8, 2)], [False, False, False, False], 96, False, [True, False, True, True], 38, 'East', (5, 3))
Element 3: (2, (5, 3), ['G', '%', '.', '.'], [(4, 3), (1, 2), (9, 2)], [False, True, False, False], 94, False, [False, False, True, True], 67, 'East', (6, 3))
Element 4: (2, (6, 3), ['', '.', '.', '.'], [(4, 4), (1, 3), (10, 2)], [False, False, False, False], 92, False, [False, True, True, True], 106, 'East', (7, 3))
Element 5: (2, (7, 3), ['', '', '.', '.'], [(5, 4), (1, 4), (10, 3)], [False, False, False, False], 90, False, [False, False, True, True], 1135, 'East', (8, 3))
Element 6: (2, (8, 3), ['', '', '.', '.'], [(6, 4), (1, 5), (11, 3)], [False, False, False, False], 88, False, [False, False, True, True], 2164, 'East', (9, 3))
Element 7: (2, (9, 3), ['', '', '.', ''], [(7, 4), (1, 6), (11, 4)], [False, False, False, False], 86, False, [False, False, True, False], 3193, 'North', (9, 4))
Element 8: (2, (9, 4), ['G', '', '.', 'F'], [(8, 4), (1, 7), (11, 5)], [False, False, False, False], 84, False, [False, False, True, False], 4222, 'East', (10, 4))
Element 9: (2, (10, 4), ['', '', 'F', ''], [(8, 5), (1, 8), (11, 6)], [False, False, False, False], 82, False, [False, False, False, False], 6241, 'North', (10, 5))
Element 10: (2, (10, 5), ['G', '', 'F', ''], [(9, 5), (1, 9), (11, 7)], [False, False, False, False], 80, False, [False, False, False, False], 8260, 'North', (10, 6))
Element 11: (2, (10, 6), ['G', '', 'F', ''], [(9, 6), (1, 8), (11, 8)], [False, False, False, False], 78, False, [False, False, False, False], 10269, 'North', (10, 7))
Element 12: (2, (10, 7), ['G', '', 'F', ''], [(9, 7), (1, 7), (11, 9)], [False, False, False, False], 76, False, [False, False, False, False], 12278, 'North', (10, 8))
Element 13: #1#
