Element 1: (1, (4, 6), ['.', '.', '.', ''], [(6, 6), (9, 8), (10, 1)], [False, False, False, False], 98, False, [True, True, True, False], 9, 'North', (4, 7))
Element 2: (1, (4, 7), ['.', '', '.', '.'], [(7, 6), (10, 8), (11, 1)], [False, False, False, False], 96, False, [True, False, True, True], 1038, 'East', (5, 7))
Element 3: (1, (5, 7), ['', '', '.', '.'], [(8, 6), (11, 8), (12, 1)], [False, False, False, False], 94, False, [False, False, True, True], 2067, 'East', (6, 7))
Element 4: (1, (6, 7), ['', '', '.', '.'], [(9, 6), (11, 9), (13, 1)], [False, False, False, False], 92, False, [False, False, True, True], 3096, 'East', (7, 7))
Element 5: (1, (7, 7), ['', '', '.', '.'], [(10, 6), (10, 9), (14, 1)], [False, False, False, False], 90, False, [False, False, True, True], 5115, 'East', (8, 7))
Element 6: (1, (8, 7), ['', '', '.', '.'], [(11, 6), (9, 9), (13, 1)], [False, False, False, False], 88, False, [False, False, True, True], 6134, 'East', (9, 7))
Element 7: (1, (9, 7), ['', '', '', 'F'], [(11, 7), (8, 9), (13, 2)], [False, False, False, False], 86, False, [False, False, False, False], 7163, 'East', (10, 7))
Element 8: (1, (10, 7), ['', '', '', ''], [(12, 7), (8, 8), (13, 3)], [False, False, False, False], 84, False, [False, False, False, False], 8192, 'East', (11, 7))
Element 9: (1, (11, 7), ['', '', '', ''], [(13, 7), (7, 8), (14, 3)], [False, False, False, False], 82, False, [False, False, False, False], 8221, 'East', (12, 7))
Element 10: (1, (12, 7), ['', '.', '.', ''], [(14, 7), (7, 9), (15, 3)], [False, False, False, False], 80, False, [False, True, True, False], 8250, 'North', (12, 8))
Element 11: (1, (12, 8), ['', '', '.', '.'], [(15, 7), (6, 9), (15, 4)], [False, False, False, False], 78, False, [False, False, True, True], 8289, 'East', (13, 8))
Element 12: (1, (13, 8), ['', '', '.', '.'], [(15, 8), (6, 8), (15, 5)], [False, False, False, False], 76, False, [False, False, True, True], 8328, 'East', (14, 8))
Element 13: (1, (14, 8), ['', '', '.', ''], [(15, 9), (5, 8), (15, 6)], [False, False, False, False], 74, False, [False, False, True, False], 8367, 'North', (14, 9))
Element 14: (1, (14, 9), ['.', '', '%', ''], [(15, 8), (5, 9), (14, 6)], [False, False, True, False], 72, False, [True, False, False, False], 8396, 'West', (13, 9))
Element 15: (1, (13, 9), ['.', '', '%', ''], [(15, 7), (4, 9), (14, 5)], [False, False, True, False], 70, False, [True, False, False, False], 8425, 'West', (12, 9))
Element 16: (1, (12, 9), ['', '', '%', ''], [(15, 6), (4, 8), (14, 4)], [False, False, True, False], 68, False, [False, False, False, False], 8454, 'West', (11, 9))
Element 17: (1, (11, 9), ['', '', '%', ''], [(15, 5), (3, 8), (13, 4)], [False, False, True, False], 66, False, [False, False, False, False], 8473, 'South', (11, 8))
Element 18: (1, (11, 8), ['', '', '', ''], [(15, 4), (3, 9), (13, 5)], [False, False, False, False], 64, False, [False, False, False, False], 8492, 'West', (10, 8))
Element 19: (1, (10, 8), ['', '', '', ''], [(15, 3), (3, 8), (13, 6)], [False, False, False, False], 62, False, [False, False, False, False], 8501, 'North', (10, 9))
Element 20: (1, (10, 9), ['', '', '%', ''], [(15, 2), (3, 7), (12, 6)], [False, False, True, False], 60, False, [False, False, False, False], 8530, 'West', (9, 9))
Element 21: (1, (9, 9), ['', '', '%', ''], [(15, 3), (3, 6), (12, 5)], [False, False, True, False], 58, False, [False, False, False, False], 8549, 'South', (9, 8))
Element 22: (1, (9, 8), ['', '', '', ''], [(14, 3), (3, 5), (11, 5)], [False, False, False, False], 56, False, [False, False, False, False], 9558, 'West', (8, 8))
Element 23: (1, (8, 8), ['', '', '', ''], [(14, 4), (4, 5), (11, 4)], [False, False, False, False], 54, False, [False, False, False, False], 10567, 'North', (8, 9))
Element 24: (1, (8, 9), ['', '', '%', ''], [(14, 5), (5, 5), (11, 3)], [False, False, True, False], 52, False, [False, False, False, False], 11576, 'West', (7, 9))
Element 25: (1, (7, 9), ['', '', '%', ''], [(14, 6), (6, 5), (10, 3)], [False, False, True, False], 50, False, [False, False, False, False], 12585, 'South', (7, 8))
Element 26: (1, (7, 8), ['', '', '', ''], [(13, 6), (7, 5), (10, 4)], [False, False, False, False], 48, False, [False, False, False, False], 13594, 'West', (6, 8))
Element 27: #1#
