Element 1: (2, (5, 9), ['.', 'G', '%', '.'], [(5, 8), (1, 7), (12, 6)], [False, False, True, False], 98, False, [True, False, False, True], 19, 'East', (6, 9))
Element 2: (2, (6, 9), ['', 'G', '%', '.'], [(6, 8), (1, 8), (11, 6)], [False, False, True, False], 96, False, [False, False, False, True], 1048, 'East', (7, 9))
Element 3: (2, (7, 9), ['', 'G', '%', '.'], [(7, 8), (1, 9), (11, 7)], [False, False, True, False], 94, False, [False, False, False, True], 2077, 'East', (8, 9))
Element 4: (2, (8, 9), ['', 'G', '%', '.'], [(8, 8), (1, 8), (11, 8)], [False, False, True, False], 92, False, [False, False, False, True], 3096, 'East', (9, 9))
Element 5: (2, (9, 9), ['', 'G', '%', 'F'], [(9, 8), (1, 7), (11, 9)], [False, False, True, False], 90, False, [False, False, False, False], 4115, 'East', (10, 9))
Element 6: (2, (10, 9), ['', 'G', '%', ''], [(10, 8), (1, 6), (12, 9)], [False, False, True, False], 88, False, [False, False, False, False], 6124, 'East', (11, 9))
Element 7: (2, (11, 9), ['', '', '%', ''], [(10, 7), (1, 5), (13, 9)], [False, False, True, False], 86, False, [False, False, False, False], 7143, 'East', (12, 9))
Element 8: (2, (12, 9), ['', '.', '%', ''], [(10, 6), (1, 4), (14, 9)], [False, False, True, False], 84, False, [False, True, False, False], 8162, 'South', (12, 8))
Element 9: (2, (12, 8), ['', '.', '', '.'], [(10, 5), (1, 3), (15, 9)], [False, False, False, False], 82, False, [False, True, False, True], 9191, 'East', (13, 8))
Element 10: (2, (13, 8), ['', '.', '', '.'], [(11, 5), (1, 2), (15, 8)], [False, False, False, False], 80, False, [False, True, False, True], 10220, 'East', (14, 8))
Element 11: (2, (14, 8), ['', '.', '', ''], [(11, 4), (1, 1), (15, 7)], [False, False, False, False], 78, False, [False, True, False, False], 11249, 'South', (14, 7))
Element 12: (2, (14, 7), ['.', '.', '', ''], [(11, 3), (2, 1), (15, 6)], [False, False, False, False], 76, False, [True, True, False, False], 12278, 'South', (14, 6))
Element 13: (2, (14, 6), ['.', '.', '', ''], [(10, 3), (3, 1), (15, 5)], [False, False, False, False], 74, False, [True, True, False, False], 13307, 'South', (14, 5))
Element 14: #1#
