Element 1: (3, (5, 9), ['.', '', '%', '.'], [(1, 4), (4, 3), (6, 8)], [False, False, True, False], 98, False, [True, False, False, True], 29, 'East', (6, 9))
Element 2: (3, (6, 9), ['', '', '%', '.'], [(1, 5), (5, 3), (7, 8)], [False, False, True, False], 96, False, [False, False, False, True], 68, 'East', (7, 9))
Element 3: (3, (7, 9), ['', '', '%', '.'], [(1, 6), (6, 3), (8, 8)], [False, False, True, False], 94, False, [False, False, False, True], 107, 'East', (8, 9))
Element 4: (3, (8, 9), ['', '', '%', '.'], [(1, 7), (7, 3), (9, 8)], [False, False, True, False], 92, False, [False, False, False, True], 146, 'East', (9, 9))
Element 5: (3, (9, 9), ['', '', '%', 'F'], [(1, 8), (8, 3), (10, 8)], [False, False, True, False], 90, False, [False, False, False, False], 1175, 'East', (10, 9))
Element 6: (3, (10, 9), ['', '', '%', 'F'], [(1, 9), (9, 3), (11, 8)], [False, False, True, False], 88, False, [False, False, False, False], 3194, 'East', (11, 9))
Element 7: (3, (11, 9), ['', '', '%', '.'], [(1, 8), (10, 3), (11, 7)], [False, False, True, False], 86, False, [False, False, False, True], 6193, 'East', (12, 9))
Element 8: (3, (12, 9), ['', '.', '%', '.'], [(1, 7), (11, 3), (11, 6)], [False, False, True, False], 84, False, [False, True, False, True], 8202, 'East', (13, 9))
Element 9: (3, (13, 9), ['', '.', '%', '.'], [(1, 6), (11, 4), (11, 5)], [False, False, True, False], 82, False, [False, True, False, True], 10211, 'East', (14, 9))
Element 10: (3, (14, 9), ['', '.', '%', '.'], [(1, 5), (10, 4), (10, 5)], [False, False, True, False], 80, False, [False, True, False, True], 12220, 'East', (15, 9))
Element 11: (3, (15, 9), ['', '.', '%', '%'], [(1, 4), (9, 4), (10, 6)], [False, False, True, True], 78, False, [False, True, False, False], 13239, 'South', (15, 8))
Element 12: #1#
