Element 1: (2, (9, 3), ['.', '.', '.', 'F'], [(11, 8), (6, 5), (15, 9)], [False, False, False, False], 98, False, [True, True, True, False], 1009, 'East', (10, 3))
Element 2: (2, (10, 3), ['', '.', 'F', 'F'], [(11, 9), (7, 5), (15, 8)], [False, False, False, False], 96, False, [False, True, False, False], 3028, 'East', (11, 3))
Element 3: (2, (11, 3), ['', '%', 'F', '.'], [(10, 9), (8, 5), (15, 7)], [False, True, False, False], 94, False, [False, False, False, True], 5047, 'North', (11, 4))
Element 4: (2, (11, 4), ['F', '', 'F', '.'], [(10, 8), (9, 5), (15, 6)], [False, False, False, False], 92, False, [False, False, False, True], 7066, 'North', (11, 5))
Element 5: (2, (11, 5), ['G', '', 'F', '.'], [(10, 7), (10, 5), (15, 5)], [False, False, False, False], 90, False, [False, False, False, True], 10075, 'North', (11, 6))
Element 6: (2, (11, 6), ['G', '', 'G', '.'], [(11, 7), (10, 6), (15, 4)], [False, False, False, False], 88, False, [False, False, False, True], 13084, 'East', (12, 6))
Element 7: (2, (12, 6), ['', '.', 'G', '.'], [(12, 7), (9, 6), (15, 3)], [False, False, False, False], 86, False, [False, True, False, True], 13123, 'East', (13, 6))
Element 8: (2, (13, 6), ['', '.', 'G', '.'], [(13, 7), (9, 7), (15, 2)], [False, False, False, False], 84, False, [False, True, False, True], 13162, 'East', (14, 6))
Element 9: (2, (14, 6), ['', '.', 'G', ''], [(14, 7), (9, 8), (15, 3)], [False, False, False, False], 82, False, [False, True, False, False], 13191, 'South', (14, 5))
Element 10: (2, (14, 5), ['.', '.', '', ''], [(14, 8), (9, 9), (14, 3)], [False, False, False, False], 80, False, [True, True, False, False], 13230, 'South', (14, 4))
Element 11: (2, (14, 4), ['.', '', '', ''], [(14, 9), (8, 9), (13, 3)], [False, False, False, False], 78, False, [True, False, False, False], 13269, 'West', (13, 4))
Element 12: (2, (13, 4), ['.', '', '.', ''], [(13, 9), (8, 8), (13, 2)], [False, False, False, False], 76, False, [True, False, True, False], 13308, 'North', (13, 5))
Element 13: (2, (13, 5), ['.', '', '', ''], [(13, 8), (8, 7), (13, 1)], [False, False, False, False], 74, False, [True, False, False, False], 13347, 'West', (12, 5))
Element 14: (2, (12, 5), ['', '.', '', ''], [(13, 9), (8, 6), (14, 1)], [False, False, False, False], 72, False, [False, True, False, False], 13376, 'South', (12, 4))
Element 15: (2, (12, 4), ['', '.', '', ''], [(12, 9), (7, 6), (13, 1)], [False, False, False, False], 70, False, [False, True, False, False], 13405, 'South', (12, 3))
Element 16: (2, (12, 3), ['', '%', '', ''], [(13, 9), (7, 7), (12, 1)], [False, True, False, False], 68, False, [False, False, False, False], 13434, 'East', (13, 3))
Element 17: (2, (13, 3), ['', '', '', ''], [(14, 9), (7, 8), (11, 1)], [False, False, False, False], 66, False, [False, False, False, False], 13453, 'East', (14, 3))
Element 18: (2, (14, 3), ['', '%', '', ''], [(15, 9), (7, 9), (10, 1)], [False, True, False, False], 64, False, [False, False, False, False], 13472, 'East', (15, 3))
Element 19: (2, (15, 3), ['', '', '', '%'], [(15, 8), (6, 9), (10, 2)], [False, False, False, True], 62, False, [False, False, False, False], 13491, 'North', (15, 4))
Element 20: (2, (15, 4), ['', '', '', '%'], [(15, 7), (6, 8), (9, 2)], [False, False, False, True], 60, False, [False, False, False, False], 13510, 'North', (15, 5))
Element 21: (2, (15, 5), ['', '', 'G', '%'], [(15, 6), (6, 7), (9, 1)], [False, False, False, True], 58, False, [False, False, False, False], 13529, 'South', (15, 4))
Element 22: (2, (15, 4), ['', '', 'G', '%'], [(15, 5), (6, 6), (8, 1)], [False, False, False, True], 56, False, [False, False, False, False], 13548, 'South', (15, 3))
Element 23: (2, (15, 3), ['', '', 'G', '%'], [(15, 4), (5, 6), (8, 2)], [False, False, False, True], 54, False, [False, False, False, False], 13567, 'South', (15, 2))
Element 24: (2, (15, 2), ['%', '%', 'G', '%'], [(15, 3), (5, 7), (8, 3)], [True, True, False, True], 52, False, [False, False, False, False], 13586, 'Stop', (15, 2))
Element 25: (2, (15, 2), ['%', '%', '', '%'], [(14, 3), (5, 8), (8, 4)], [True, True, False, True], 50, False, [False, False, False, False], 13605, 'North', (15, 3))
Element 26: (2, (15, 3), ['', '', '', '%'], [(14, 4), (5, 9), (9, 4)], [False, False, False, True], 48, False, [False, False, False, False], 13624, 'West', (14, 3))
Element 27: #1#
