Element 1: (0, (1, 1), ['%', '%', '.', 'G'], [(1, 3), (2, 1), (5, 8)], [True, True, False, False], 98, False, [False, False, True, False], 0, 'North', (1, 2))
Element 2: (0, (1, 2), ['%', '', '', '%'], [(1, 4), (3, 1), (6, 8)], [True, False, False, True], 96, False, [False, False, False, False], 39, 'North', (1, 3))
Element 3: (0, (1, 3), ['%', '', '', '%'], [(1, 5), (4, 1), (7, 8)], [True, False, False, True], 94, False, [False, False, False, False], 68, 'North', (1, 4))
Element 4: (0, (1, 4), ['%', '', '', '%'], [(1, 6), (4, 2), (8, 8)], [True, False, False, True], 92, False, [False, False, False, False], 97, 'North', (1, 5))
Element 5: (0, (1, 5), ['%', '', '', '%'], [(1, 7), (4, 3), (9, 8)], [True, False, False, True], 90, False, [False, False, False, False], 126, 'North', (1, 6))
Element 6: (0, (1, 6), ['%', '', '', '%'], [(1, 8), (5, 3), (10, 8)], [True, False, False, True], 88, False, [False, False, False, False], 1145, 'North', (1, 7))
Element 7: (0, (1, 7), ['%', '', '', '%'], [(1, 9), (6, 3), (11, 8)], [True, False, False, True], 86, False, [False, False, False, False], 2164, 'North', (1, 8))
Element 8: (0, (1, 8), ['%', '', 'G', '%'], [(1, 9), (7, 3), (11, 9)], [True, False, False, True], 84, False, [False, False, False, False], 3173, 'South', (1, 7))
Element 9: (0, (1, 7), ['%', '', 'G', '%'], [(1, 8), (8, 3), (10, 9)], [True, False, False, True], 82, False, [False, False, False, False], 4182, 'South', (1, 6))
Element 10: (0, (1, 6), ['%', '', 'G', '%'], [(1, 7), (9, 3), (9, 9)], [True, False, False, True], 80, False, [False, False, False, False], 4201, 'South', (1, 5))
Element 11: (0, (1, 5), ['%', '', 'G', '%'], [(1, 6), (10, 3), (8, 9)], [True, False, False, True], 78, False, [False, False, False, False], 5210, 'South', (1, 4))
Element 12: (0, (1, 4), ['%', '', 'G', '%'], [(1, 5), (11, 3), (7, 9)], [True, False, False, True], 76, False, [False, False, False, False], 6219, 'South', (1, 3))
Element 13: (0, (1, 3), ['%', '', 'G', '%'], [(1, 4), (11, 4), (6, 9)], [True, False, False, True], 74, False, [False, False, False, False], 7228, 'South', (1, 2))
Element 14: (0, (1, 2), ['%', '', '', '%'], [(1, 4), (11, 5), (5, 9)], [True, False, False, True], 72, False, [False, False, False, False], 8237, 'South', (1, 1))
Element 15: (0, (1, 1), ['%', '%', '', ''], [(1, 5), (11, 6), (4, 9)], [True, True, False, False], 70, False, [False, False, False, False], 9246, 'Stop', (1, 1))
Element 16: (0, (1, 1), ['%', '%', '', ''], [(1, 6), (11, 7), (4, 8)], [True, True, False, False], 68, False, [False, False, False, False], 10255, 'East', (2, 1))
Element 17: (0, (2, 1), ['', '%', '%', ''], [(1, 7), (10, 7), (4, 7)], [False, True, True, False], 66, False, [False, False, False, False], 11264, 'East', (3, 1))
Element 18: (0, (3, 1), ['', '%', '%', ''], [(1, 8), (10, 6), (5, 7)], [False, True, True, False], 64, False, [False, False, False, False], 12273, 'East', (4, 1))
Element 19: (0, (4, 1), ['', '%', '', '%'], [(1, 9), (10, 5), (6, 7)], [False, True, False, True], 62, False, [False, False, False, False], 13282, 'North', (4, 2))
Element 20: #1#
