Element 1: (1, (7, 3), ['G', '.', '.', '.'], [(6, 3), (14, 9), (15, 7)], [False, False, False, False], 98, False, [False, True, True, True], 9, 'East', (8, 3))
Element 2: (1, (8, 3), ['', '.', '.', '.'], [(6, 4), (15, 9), (15, 8)], [False, False, False, False], 96, False, [False, True, True, True], 48, 'East', (9, 3))
Element 3: (1, (9, 3), ['', '.', '.', 'F'], [(7, 4), (14, 9), (14, 8)], [False, False, False, False], 94, False, [False, True, True, False], 77, 'East', (10, 3))
Element 4: (1, (10, 3), ['', '.', 'F', 'F'], [(8, 4), (15, 9), (14, 7)], [False, False, False, False], 92, False, [False, True, False, False], 1096, 'East', (11, 3))
Element 5: (1, (11, 3), ['', '%', 'F', '.'], [(9, 4), (14, 9), (14, 6)], [False, True, False, False], 90, False, [False, False, False, True], 2115, 'North', (11, 4))
Element 6: (1, (11, 4), ['G', '', 'F', '.'], [(10, 4), (13, 9), (15, 6)], [False, False, False, False], 88, False, [False, False, False, True], 4134, 'North', (11, 5))
Element 7: (1, (11, 5), ['G', '', 'F', '.'], [(10, 5), (13, 8), (15, 5)], [False, False, False, False], 86, False, [False, False, False, True], 6153, 'North', (11, 6))
Element 8: (1, (11, 6), ['G', '', 'F', '.'], [(10, 6), (13, 7), (15, 4)], [False, False, False, False], 84, False, [False, False, False, True], 8172, 'North', (11, 7))
Element 9: (1, (11, 7), ['G', '', 'F', '.'], [(10, 7), (13, 6), (15, 3)], [False, False, False, False], 82, False, [False, False, False, True], 10191, 'North', (11, 8))
Element 10: (1, (11, 8), ['G', '', 'F', '.'], [(10, 8), (13, 5), (15, 2)], [False, False, False, False], 80, False, [False, False, False, True], 12210, 'North', (11, 9))
Element 11: #1#
