Element 1: (3, (10, 1), ['G', '%', '.', '.'], [(7, 7), (5, 8), (9, 1)], [False, True, False, False], 98, False, [False, False, True, True], 29, 'East', (11, 1))
Element 2: (3, (11, 1), ['', '%', '%', '.'], [(8, 7), (6, 8), (9, 2)], [False, True, True, False], 96, False, [False, False, False, True], 68, 'East', (12, 1))
Element 3: (3, (12, 1), ['', '%', '%', '.'], [(9, 7), (7, 8), (10, 2)], [False, True, True, False], 94, False, [False, False, False, True], 107, 'East', (13, 1))
Element 4: (3, (13, 1), ['', '%', '.', '.'], [(10, 7), (8, 8), (10, 3)], [False, True, False, False], 92, False, [False, False, True, True], 2126, 'East', (14, 1))
Element 5: (3, (14, 1), ['', '%', '%', '%'], [(11, 7), (9, 8), (11, 3)], [False, True, True, True], 90, False, [False, False, False, False], 4145, 'West', (13, 1))
Element 6: (3, (13, 1), ['', '%', '.', ''], [(11, 8), (10, 8), (11, 4)], [False, True, False, False], 88, False, [False, False, True, False], 7144, 'North', (13, 2))
Element 7: (3, (13, 2), ['%', '', '.', '%'], [(11, 9), (10, 9), (11, 5)], [True, False, False, True], 86, False, [False, False, True, False], 10153, 'North', (13, 3))
Element 8: (3, (13, 3), ['.', '', '.', '.'], [(12, 9), (9, 9), (11, 6)], [False, False, False, False], 84, False, [True, False, True, True], 11182, 'East', (14, 3))
Element 9: (3, (14, 3), ['', '%', '.', '.'], [(13, 9), (8, 9), (10, 6)], [False, True, False, False], 82, False, [False, False, True, True], 12211, 'East', (15, 3))
Element 10: (3, (15, 3), ['', '.', '.', '%'], [(14, 9), (7, 9), (10, 5)], [False, False, False, True], 80, False, [False, True, True, False], 13240, 'North', (15, 4))
Element 11: #1#
