Element 1: (1, (3, 9), ['%', '.', '%', '.'], [(1, 3), (7, 7), (14, 3)], [True, False, True, False], 98, False, [False, True, False, True], 9, 'East', (4, 9))
Element 2: (1, (4, 9), ['', '.', '%', '.'], [(1, 4), (8, 7), (15, 3)], [False, False, True, False], 96, False, [False, True, False, True], 48, 'East', (5, 9))
Element 3: (1, (5, 9), ['', '.', '%', '.'], [(1, 5), (9, 7), (15, 4)], [False, False, True, False], 94, False, [False, True, False, True], 87, 'East', (6, 9))
Element 4: (1, (6, 9), ['', '.', '%', '.'], [(1, 6), (10, 7), (15, 5)], [False, False, True, False], 92, False, [False, True, False, True], 1116, 'East', (7, 9))
Element 5: (1, (7, 9), ['', '.', '%', '.'], [(1, 7), (11, 7), (15, 6)], [False, False, True, False], 90, False, [False, True, False, True], 2145, 'East', (8, 9))
Element 6: (1, (8, 9), ['', '.', '%', '.'], [(1, 8), (11, 8), (15, 7)], [False, False, True, False], 88, False, [False, True, False, True], 3174, 'East', (9, 9))
Element 7: (1, (9, 9), ['', '.', '%', 'F'], [(1, 9), (11, 9), (15, 8)], [False, False, True, False], 86, False, [False, True, False, False], 4203, 'East', (10, 9))
Element 8: (1, (10, 9), ['', 'F', '%', ''], [(1, 8), (12, 9), (15, 9)], [False, False, True, False], 84, False, [False, False, False, False], 5222, 'South', (10, 8))
Element 9: (1, (10, 8), ['.', '', '', ''], [(1, 7), (13, 9), (14, 9)], [False, False, False, False], 82, False, [True, False, False, False], 6241, 'West', (9, 8))
Element 10: (1, (9, 8), ['.', '', '', ''], [(1, 6), (13, 8), (14, 8)], [False, False, False, False], 80, False, [True, False, False, False], 6270, 'West', (8, 8))
Element 11: (1, (8, 8), ['.', '', '', ''], [(1, 5), (13, 7), (14, 7)], [False, False, False, False], 78, False, [True, False, False, False], 6299, 'West', (7, 8))
Element 12: (1, (7, 8), ['.', '', '', ''], [(1, 4), (13, 6), (14, 6)], [False, False, False, False], 76, False, [True, False, False, False], 6328, 'West', (6, 8))
Element 13: (1, (6, 8), ['.', '.', '', ''], [(1, 3), (13, 5), (14, 5)], [False, False, False, False], 74, False, [True, True, False, False], 6357, 'South', (6, 7))
Element 14: (1, (6, 7), ['.', '.', '', ''], [(1, 2), (13, 4), (14, 4)], [False, False, False, False], 72, False, [True, True, False, False], 6386, 'South', (6, 6))
Element 15: (1, (6, 6), ['.', '.', '', '.'], [(1, 1), (13, 3), (13, 4)], [False, False, False, False], 70, False, [True, True, False, True], 6415, 'East', (7, 6))
Element 16: (1, (7, 6), ['', '.', '', '.'], [(2, 1), (13, 2), (12, 4)], [False, False, False, False], 68, False, [False, True, False, True], 6454, 'East', (8, 6))
Element 17: (1, (8, 6), ['', '.', '', '.'], [(3, 1), (13, 1), (11, 4)], [False, False, False, False], 66, False, [False, True, False, True], 7483, 'East', (9, 6))
Element 18: (1, (9, 6), ['', '.', '', 'F'], [(4, 1), (14, 1), (11, 5)], [False, False, False, False], 64, False, [False, True, False, False], 8512, 'East', (10, 6))
Element 19: (1, (10, 6), ['', 'F', '', 'G'], [(4, 2), (13, 1), (11, 6)], [False, False, False, False], 62, False, [False, False, False, False], 10521, 'South', (10, 5))
Element 20: (1, (10, 5), ['.', 'F', '', ''], [(4, 3), (12, 1), (12, 6)], [False, False, False, False], 60, False, [True, False, False, False], 11550, 'South', (10, 4))
Element 21: (1, (10, 4), ['.', 'F', '', ''], [(5, 3), (11, 1), (12, 7)], [False, False, False, False], 58, False, [True, False, False, False], 12579, 'South', (10, 3))
Element 22: (1, (10, 3), ['.', '.', '', 'F'], [(6, 3), (10, 1), (12, 8)], [False, False, False, False], 56, False, [True, True, False, False], 13608, 'East', (11, 3))
Element 23: #1#
