Element 1: (2, (10, 1), ['.', '%', 'G', '.'], [(10, 2), (7, 1), (14, 6)], [False, True, False, False], 98, False, [True, False, False, True], 19, 'East', (11, 1))
Element 2: (2, (11, 1), ['', '%', '%', '.'], [(10, 3), (8, 1), (15, 6)], [False, True, True, False], 96, False, [False, False, False, True], 1048, 'East', (12, 1))
Element 3: (2, (12, 1), ['', '%', '%', '.'], [(11, 3), (9, 1), (15, 7)], [False, True, True, False], 94, False, [False, False, False, True], 2077, 'East', (13, 1))
Element 4: (2, (13, 1), ['', '%', '.', '.'], [(11, 4), (10, 1), (15, 8)], [False, True, False, False], 92, False, [False, False, True, True], 3096, 'East', (14, 1))
Element 5: (2, (14, 1), ['', '%', '%', '%'], [(11, 5), (11, 1), (15, 9)], [False, True, True, True], 90, False, [False, False, False, False], 4115, 'West', (13, 1))
Element 6: (2, (13, 1), ['G', '%', '.', ''], [(11, 6), (12, 1), (14, 9)], [False, True, False, False], 88, False, [False, False, True, False], 5124, 'North', (13, 2))
Element 7: (2, (13, 2), ['%', 'G', '.', '%'], [(11, 7), (13, 1), (14, 8)], [True, False, False, True], 86, False, [False, False, True, False], 6143, 'North', (13, 3))
Element 8: (2, (13, 3), ['.', '', '.', '.'], [(11, 8), (14, 1), (14, 7)], [False, False, False, False], 84, False, [True, False, True, True], 7162, 'East', (14, 3))
Element 9: (2, (14, 3), ['', '%', '.', '.'], [(11, 9), (13, 1), (13, 7)], [False, True, False, False], 82, False, [False, False, True, True], 8181, 'East', (15, 3))
Element 10: (2, (15, 3), ['', '.', '.', '%'], [(10, 9), (13, 2), (13, 8)], [False, False, False, True], 80, False, [False, True, True, False], 9200, 'North', (15, 4))
Element 11: (2, (15, 4), ['.', '', '.', '%'], [(10, 8), (13, 3), (13, 9)], [False, False, False, True], 78, False, [True, False, True, False], 10219, 'North', (15, 5))
Element 12: (2, (15, 5), ['.', '', '', '%'], [(10, 7), (13, 4), (12, 9)], [False, False, False, True], 76, False, [True, False, False, False], 11248, 'West', (14, 5))
Element 13: (2, (14, 5), ['.', 'G', '', ''], [(10, 6), (14, 4), (12, 8)], [False, False, False, False], 74, False, [True, False, False, False], 12277, 'West', (13, 5))
Element 14: (2, (13, 5), ['.', '', '.', ''], [(10, 5), (15, 4), (12, 7)], [False, False, False, False], 72, False, [True, False, True, False], 13296, 'North', (13, 6))
Element 15: #1#
