Element 1: (1, (4, 2), ['%', '.', '.', '%'], [(1, 8), (7, 7), (12, 8)], [True, False, False, True], 98, False, [False, True, True, False], 9, 'North', (4, 3))
Element 2: (1, (4, 3), ['.', '', '.', '.'], [(1, 9), (8, 7), (11, 8)], [False, False, False, False], 96, False, [True, False, True, True], 1038, 'East', (5, 3))
Element 3: (1, (5, 3), ['', '%', '.', '.'], [(1, 8), (9, 7), (11, 9)], [False, True, False, False], 94, False, [False, False, True, True], 2057, 'East', (6, 3))
Element 4: (1, (6, 3), ['', '.', '.', '.'], [(1, 7), (10, 7), (10, 9)], [False, False, False, False], 92, False, [False, True, True, True], 4066, 'East', (7, 3))
Element 5: (1, (7, 3), ['', '.', '.', '.'], [(1, 6), (11, 7), (10, 8)], [False, False, False, False], 90, False, [False, True, True, True], 6085, 'East', (8, 3))
Element 6: (1, (8, 3), ['', '.', '.', '.'], [(1, 5), (11, 6), (9, 8)], [False, False, False, False], 88, False, [False, True, True, True], 7114, 'East', (9, 3))
Element 7: (1, (9, 3), ['', '.', '.', 'F'], [(1, 4), (11, 5), (9, 9)], [False, False, False, False], 86, False, [False, True, True, False], 8143, 'East', (10, 3))
Element 8: (1, (10, 3), ['', '.', 'F', 'F'], [(1, 3), (11, 4), (8, 9)], [False, False, False, False], 84, False, [False, True, False, False], 10162, 'East', (11, 3))
Element 9: (1, (11, 3), ['', '%', '', '.'], [(1, 2), (10, 4), (8, 8)], [False, True, False, False], 82, False, [False, False, False, True], 12181, 'East', (12, 3))
Element 10: (1, (12, 3), ['', '%', '.', '.'], [(1, 1), (10, 5), (7, 8)], [False, True, False, False], 80, False, [False, False, True, True], 13210, 'East', (13, 3))
Element 11: #1#
