Element 1: (3, (5, 9), ['', '', '%', '.'], [(6, 8), (4, 8), (6, 4)], [False, False, True, False], 98, False, [False, False, False, True], 29, 'East', (6, 9))
Element 2: (3, (6, 9), ['', '', '%', '.'], [(7, 8), (4, 7), (7, 4)], [False, False, True, False], 96, False, [False, False, False, True], 68, 'East', (7, 9))
Element 3: (3, (7, 9), ['', '', '%', '.'], [(8, 8), (5, 7), (8, 4)], [False, False, True, False], 94, False, [False, False, False, True], 107, 'East', (8, 9))
Element 4: (3, (8, 9), ['', '', '%', '.'], [(9, 8), (6, 7), (9, 4)], [False, False, True, False], 92, False, [False, False, False, True], 146, 'East', (9, 9))
Element 5: (3, (9, 9), ['', '', '%', 'F'], [(10, 8), (7, 7), (10, 4)], [False, False, True, False], 90, False, [False, False, False, False], 2165, 'East', (10, 9))
Element 6: (3, (10, 9), ['', '', '%', 'F'], [(11, 8), (8, 7), (11, 4)], [False, False, True, False], 88, False, [False, False, False, False], 5174, 'East', (11, 9))
Element 7: (3, (11, 9), ['', '', '%', '.'], [(11, 7), (9, 7), (11, 5)], [False, False, True, False], 86, False, [False, False, False, True], 8183, 'East', (12, 9))
Element 8: (3, (12, 9), ['', '.', '%', '.'], [(11, 6), (10, 7), (10, 5)], [False, False, True, False], 84, False, [False, True, False, True], 11192, 'East', (13, 9))
Element 9: (3, (13, 9), ['', '.', '%', '.'], [(10, 6), (11, 7), (9, 5)], [False, False, True, False], 82, False, [False, True, False, True], 12211, 'East', (14, 9))
Element 10: (3, (14, 9), ['', '.', '%', '.'], [(9, 6), (12, 7), (8, 5)], [False, False, True, False], 80, False, [False, True, False, True], 12250, 'East', (15, 9))
Element 11: (3, (15, 9), ['', '.', '%', '%'], [(8, 6), (13, 7), (7, 5)], [False, False, True, True], 78, False, [False, True, False, False], 12289, 'South', (15, 8))
Element 12: (3, (15, 8), ['.', '.', '', '%'], [(7, 6), (14, 7), (6, 5)], [False, False, False, True], 76, False, [True, True, False, False], 12328, 'South', (15, 7))
Element 13: (3, (15, 7), ['', '.', '', '%'], [(6, 6), (14, 8), (5, 5)], [False, False, False, True], 74, False, [False, True, False, False], 12367, 'South', (15, 6))
Element 14: (3, (15, 6), ['.', '.', '', '%'], [(5, 6), (13, 8), (4, 5)], [False, False, False, True], 72, False, [True, True, False, False], 12406, 'South', (15, 5))
Element 15: (3, (15, 5), ['.', '.', '', '%'], [(4, 6), (12, 8), (4, 4)], [False, False, False, True], 70, False, [True, True, False, False], 12445, 'South', (15, 4))
Element 16: (3, (15, 4), ['.', '.', '', '%'], [(3, 6), (12, 9), (4, 3)], [False, False, False, True], 68, False, [True, True, False, False], 12474, 'South', (15, 3))
Element 17: (3, (15, 3), ['.', '.', '', '%'], [(3, 7), (13, 9), (5, 3)], [False, False, False, True], 66, False, [True, True, False, False], 12503, 'South', (15, 2))
Element 18: (3, (15, 2), ['%', '%', '', '%'], [(3, 8), (14, 9), (6, 3)], [True, True, False, True], 64, False, [False, False, False, False], 12532, 'North', (15, 3))
Element 19: (3, (15, 3), ['.', '', '', '%'], [(3, 9), (15, 9), (7, 3)], [False, False, False, True], 62, False, [True, False, False, False], 12551, 'West', (14, 3))
Element 20: (3, (14, 3), ['.', '%', '.', ''], [(4, 9), (15, 8), (8, 3)], [False, True, False, False], 60, False, [True, False, True, False], 12570, 'North', (14, 4))
Element 21: (3, (14, 4), ['.', '', '.', ''], [(5, 9), (15, 7), (9, 3)], [False, False, False, False], 58, False, [True, False, True, False], 12589, 'North', (14, 5))
Element 22: (3, (14, 5), ['.', '', '.', ''], [(6, 9), (15, 6), (10, 3)], [False, False, False, False], 56, False, [True, False, True, False], 13598, 'North', (14, 6))
Element 23: #1#
