Element 1: (3, (12, 3), ['F', '%', '.', '.'], [(12, 1), (5, 5), (5, 8)], [False, True, False, False], 98, False, [False, False, True, True], 29, 'West', (11, 3))
Element 2: (3, (11, 3), ['F', '%', 'F', ''], [(13, 1), (6, 5), (6, 8)], [False, True, False, False], 96, False, [False, False, False, False], 1058, 'North', (11, 4))
Element 3: (3, (11, 4), ['F', '', 'F', '.'], [(14, 1), (7, 5), (7, 8)], [False, False, False, False], 94, False, [False, False, False, True], 2087, 'North', (11, 5))
Element 4: (3, (11, 5), ['F', '', 'F', '.'], [(13, 1), (8, 5), (8, 8)], [False, False, False, False], 92, False, [False, False, False, True], 3106, 'North', (11, 6))
Element 5: (3, (11, 6), ['F', '', 'F', '.'], [(13, 2), (9, 5), (9, 8)], [False, False, False, False], 90, False, [False, False, False, True], 4135, 'North', (11, 7))
Element 6: (3, (11, 7), ['F', '', 'F', '.'], [(13, 3), (10, 5), (10, 8)], [False, False, False, False], 88, False, [False, False, False, True], 7144, 'North', (11, 8))
Element 7: (3, (11, 8), ['', '', 'F', '.'], [(14, 3), (10, 6), (10, 9)], [False, False, False, False], 86, False, [False, False, False, True], 10153, 'North', (11, 9))
Element 8: (3, (11, 9), ['', '', '%', '.'], [(15, 3), (10, 7), (9, 9)], [False, False, True, False], 84, False, [False, False, False, True], 12172, 'East', (12, 9))
Element 9: (3, (12, 9), ['', '.', '%', '.'], [(15, 4), (9, 7), (8, 9)], [False, False, True, False], 82, False, [False, True, False, True], 12211, 'East', (13, 9))
Element 10: (3, (13, 9), ['', '.', '%', '.'], [(15, 5), (9, 6), (7, 9)], [False, False, True, False], 80, False, [False, True, False, True], 12250, 'East', (14, 9))
Element 11: (3, (14, 9), ['', '.', '%', '.'], [(15, 6), (8, 6), (6, 9)], [False, False, True, False], 78, False, [False, True, False, True], 12289, 'East', (15, 9))
Element 12: (3, (15, 9), ['', '.', '%', '%'], [(15, 7), (8, 7), (5, 9)], [False, False, True, True], 76, False, [False, True, False, False], 12328, 'South', (15, 8))
Element 13: (3, (15, 8), ['.', '', '', '%'], [(14, 7), (7, 7), (4, 9)], [False, False, False, True], 74, False, [True, False, False, False], 12367, 'West', (14, 8))
Element 14: (3, (14, 8), ['.', '', '', ''], [(14, 6), (7, 6), (3, 9)], [False, False, False, False], 72, False, [True, False, False, False], 12406, 'West', (13, 8))
Element 15: (3, (13, 8), ['.', '.', '', ''], [(14, 5), (6, 6), (3, 8)], [False, False, False, False], 70, False, [True, True, False, False], 12445, 'South', (13, 7))
Element 16: (3, (13, 7), ['.', '.', '', ''], [(14, 4), (6, 7), (3, 7)], [False, False, False, False], 68, False, [True, True, False, False], 12484, 'South', (13, 6))
Element 17: (3, (13, 6), ['.', '.', '', ''], [(13, 4), (5, 7), (4, 7)], [False, False, False, False], 66, False, [True, True, False, False], 12523, 'South', (13, 5))
Element 18: (3, (13, 5), ['.', '', '', ''], [(12, 4), (5, 6), (4, 6)], [False, False, False, False], 64, False, [True, False, False, False], 12562, 'West', (12, 5))
Element 19: (3, (12, 5), ['', '', '.', ''], [(12, 3), (5, 7), (3, 6)], [False, False, False, False], 62, False, [False, False, True, False], 12581, 'North', (12, 6))
Element 20: (3, (12, 6), ['', '', '.', ''], [(11, 3), (5, 8), (3, 5)], [False, False, False, False], 60, False, [False, False, True, False], 12600, 'North', (12, 7))
Element 21: (3, (12, 7), ['', '', '.', ''], [(10, 3), (6, 8), (3, 4)], [False, False, False, False], 58, False, [False, False, True, False], 13619, 'North', (12, 8))
Element 22: #1#
