Element 1: (1, (3, 6), ['%', '.', '.', '.'], [(15, 6), (7, 5), (13, 8)], [True, False, False, False], 98, False, [False, True, True, True], 9, 'East', (4, 6))
Element 2: (1, (4, 6), ['', '.', '.', '.'], [(15, 7), (8, 5), (14, 8)], [False, False, False, False], 96, False, [False, True, True, True], 48, 'East', (5, 6))
Element 3: (1, (5, 6), ['', '.', '.', '.'], [(14, 7), (9, 5), (15, 8)], [False, False, False, False], 94, False, [False, True, True, True], 87, 'East', (6, 6))
Element 4: (1, (6, 6), ['', '.', '.', '.'], [(14, 6), (10, 5), (15, 9)], [False, False, False, False], 92, False, [False, True, True, True], 1116, 'East', (7, 6))
Element 5: (1, (7, 6), ['', '', '.', '.'], [(14, 5), (11, 5), (14, 9)], [False, False, False, False], 90, False, [False, False, True, True], 2145, 'East', (8, 6))
Element 6: (1, (8, 6), ['', '', '.', '.'], [(14, 4), (11, 6), (13, 9)], [False, False, False, False], 88, False, [False, False, True, True], 3174, 'East', (9, 6))
Element 7: (1, (9, 6), ['', '', '.', 'F'], [(15, 4), (11, 7), (12, 9)], [False, False, False, False], 86, False, [False, False, True, False], 4203, 'East', (10, 6))
Element 8: (1, (10, 6), ['', '', 'F', ''], [(15, 3), (11, 8), (11, 9)], [False, False, False, False], 84, False, [False, False, False, False], 7212, 'North', (10, 7))
Element 9: (1, (10, 7), ['.', '', 'G', ''], [(15, 2), (10, 8), (10, 9)], [False, False, False, False], 82, False, [True, False, False, False], 10221, 'West', (9, 7))
Element 10: (1, (9, 7), ['.', '', 'G', ''], [(15, 3), (9, 8), (9, 9)], [False, False, False, False], 80, False, [True, False, False, False], 10250, 'West', (8, 7))
Element 11: (1, (8, 7), ['.', '', 'G', ''], [(14, 3), (8, 8), (8, 9)], [False, False, False, False], 78, False, [True, False, False, False], 10289, 'West', (7, 7))
Element 12: (1, (7, 7), ['.', '', 'G', ''], [(13, 3), (7, 8), (7, 9)], [False, False, False, False], 76, False, [True, False, False, False], 10328, 'West', (6, 7))
Element 13: (1, (6, 7), ['.', '', 'G', ''], [(13, 4), (6, 8), (6, 9)], [False, False, False, False], 74, False, [True, False, False, False], 10367, 'West', (5, 7))
Element 14: (1, (5, 7), ['.', '', 'G', ''], [(13, 5), (5, 8), (5, 9)], [False, False, False, False], 72, False, [True, False, False, False], 10406, 'West', (4, 7))
Element 15: (1, (4, 7), ['.', '', 'G', ''], [(13, 6), (4, 8), (4, 9)], [False, False, False, False], 70, False, [True, False, False, False], 10445, 'West', (3, 7))
Element 16: (1, (3, 7), ['%', '', 'G', ''], [(13, 7), (3, 8), (3, 9)], [True, False, False, False], 68, False, [False, False, False, False], 10484, 'East', (4, 7))
Element 17: (1, (4, 7), ['G', '', '', ''], [(12, 7), (3, 7), (3, 8)], [False, False, False, False], 66, False, [False, False, False, False], 10493, 'East', (5, 7))
Element 18: (1, (5, 7), ['G', '', '', ''], [(12, 8), (4, 7), (4, 8)], [False, False, False, False], 64, False, [False, False, False, False], 10502, 'East', (6, 7))
Element 19: (1, (6, 7), ['G', '', '', ''], [(13, 8), (5, 7), (5, 8)], [False, False, False, False], 62, False, [False, False, False, False], 10501, 'East', (7, 7))
Element 20: (1, (7, 7), ['G', '', '', ''], [(14, 8), (6, 7), (6, 8)], [False, False, False, False], 60, False, [False, False, False, False], 10500, 'East', (8, 7))
Element 21: (1, (8, 7), ['G', '', '', ''], [(15, 8), (7, 7), (7, 8)], [False, False, False, False], 58, False, [False, False, False, False], 10499, 'East', (9, 7))
Element 22: (1, (9, 7), ['G', '', '', ''], [(15, 9), (8, 7), (8, 8)], [False, False, False, False], 56, False, [False, False, False, False], 10498, 'East', (10, 7))
Element 23: (1, (10, 7), ['G', '', '', ''], [(14, 9), (9, 7), (9, 8)], [False, False, False, False], 54, False, [False, False, False, False], 10497, 'East', (11, 7))
Element 24: (1, (11, 7), ['G', '', '', ''], [(13, 9), (10, 7), (10, 8)], [False, False, False, False], 52, False, [False, False, False, False], 10496, 'East', (12, 7))
Element 25: (1, (12, 7), ['', '.', '', ''], [(12, 9), (10, 6), (11, 8)], [False, False, False, False], 50, False, [False, True, False, False], 10495, 'South', (12, 6))
Element 26: (1, (12, 6), ['', '.', '', ''], [(11, 9), (9, 6), (12, 8)], [False, False, False, False], 48, False, [False, True, False, False], 10504, 'South', (12, 5))
Element 27: (1, (12, 5), ['', '.', '', ''], [(11, 8), (8, 6), (12, 7)], [False, False, False, False], 46, False, [False, True, False, False], 10513, 'South', (12, 4))
Element 28: (1, (12, 4), ['F', '.', '', ''], [(11, 7), (7, 6), (13, 7)], [False, False, False, False], 44, False, [False, True, False, False], 10522, 'West', (11, 4))
Element 29: (1, (11, 4), ['F', 'F', '', ''], [(11, 6), (6, 6), (14, 7)], [False, False, False, False], 42, False, [False, False, False, False], 11521, 'South', (11, 3))
Element 30: (1, (11, 3), ['F', '%', '', '.'], [(12, 6), (6, 5), (15, 7)], [False, True, False, False], 40, False, [False, False, False, True], 12530, 'West', (10, 3))
Element 31: (1, (10, 3), ['.', '.', 'F', ''], [(12, 5), (6, 4), (15, 6)], [False, False, False, False], 38, False, [True, True, False, False], 13539, 'North', (10, 4))
Element 32: #1#
