Element 1: (1, (1, 1), ['%', '%', '', '.'], [(1, 3), (4, 6), (15, 8)], [True, True, False, False], 98, False, [False, False, False, True], 9, 'East', (2, 1))
Element 2: (1, (2, 1), ['', '%', '%', '.'], [(1, 4), (5, 6), (15, 9)], [False, True, True, False], 96, False, [False, False, False, True], 48, 'East', (3, 1))
Element 3: (1, (3, 1), ['', '%', '%', '.'], [(1, 5), (6, 6), (14, 9)], [False, True, True, False], 94, False, [False, False, False, True], 87, 'East', (4, 1))
Element 4: (1, (4, 1), ['', '%', '.', '%'], [(1, 6), (7, 6), (14, 8)], [False, True, False, True], 92, False, [False, False, True, False], 126, 'North', (4, 2))
Element 5: (1, (4, 2), ['%', '', '.', '%'], [(1, 7), (8, 6), (14, 7)], [True, False, False, True], 90, False, [False, False, True, False], 165, 'North', (4, 3))
Element 6: (1, (4, 3), ['.', '', '.', '.'], [(1, 8), (9, 6), (15, 7)], [False, False, False, False], 88, False, [True, False, True, True], 204, 'East', (5, 3))
Element 7: (1, (5, 3), ['', '%', '.', '.'], [(1, 9), (10, 6), (15, 6)], [False, True, False, False], 86, False, [False, False, True, True], 1233, 'East', (6, 3))
Element 8: (1, (6, 3), ['', '.', '.', '.'], [(1, 8), (11, 6), (15, 5)], [False, False, False, False], 84, False, [False, True, True, True], 2252, 'East', (7, 3))
Element 9: (1, (7, 3), ['', '.', '.', '.'], [(1, 7), (11, 7), (15, 4)], [False, False, False, False], 82, False, [False, True, True, True], 3271, 'East', (8, 3))
Element 10: (1, (8, 3), ['', '.', '.', '.'], [(1, 6), (11, 8), (15, 3)], [False, False, False, False], 80, False, [False, True, True, True], 4290, 'East', (9, 3))
Element 11: (1, (9, 3), ['', '.', '.', 'F'], [(1, 5), (11, 9), (15, 2)], [False, False, False, False], 78, False, [False, True, True, False], 5309, 'East', (10, 3))
Element 12: (1, (10, 3), ['', '.', 'F', 'F'], [(1, 4), (10, 9), (15, 3)], [False, False, False, False], 76, False, [False, True, False, False], 7308, 'East', (11, 3))
Element 13: (1, (11, 3), ['', '%', 'F', '.'], [(1, 3), (10, 8), (14, 3)], [False, True, False, False], 74, False, [False, False, False, True], 9317, 'North', (11, 4))
Element 14: (1, (11, 4), ['F', '', 'F', '.'], [(1, 2), (10, 7), (14, 4)], [False, False, False, False], 72, False, [False, False, False, True], 11326, 'North', (11, 5))
Element 15: (1, (11, 5), ['F', '', '', '.'], [(1, 2), (9, 7), (14, 5)], [False, False, False, False], 70, False, [False, False, False, True], 12345, 'West', (10, 5))
Element 16: (1, (10, 5), ['.', 'F', '', ''], [(1, 3), (9, 8), (14, 6)], [False, False, False, False], 68, False, [True, False, False, False], 13364, 'South', (10, 4))
Element 17: #1#
