Element 1: (2, (3, 1), ['G', '%', '%', '.'], [(7, 2), (2, 1), (15, 7)], [False, True, True, False], 98, False, [False, False, False, True], 19, 'East', (4, 1))
Element 2: (2, (4, 1), ['G', '%', '.', '%'], [(8, 2), (3, 1), (15, 8)], [False, True, False, True], 96, False, [False, False, True, False], 48, 'North', (4, 2))
Element 3: (2, (4, 2), ['%', 'G', '.', '%'], [(9, 2), (4, 1), (15, 9)], [True, False, False, True], 94, False, [False, False, True, False], 77, 'North', (4, 3))
Element 4: (2, (4, 3), ['.', 'G', '.', '.'], [(10, 2), (4, 2), (14, 9)], [False, False, False, False], 92, False, [True, False, True, True], 106, 'East', (5, 3))
Element 5: (2, (5, 3), ['G', '%', '.', '.'], [(10, 3), (4, 3), (14, 8)], [False, True, False, False], 90, False, [False, False, True, True], 1125, 'East', (6, 3))
Element 6: (2, (6, 3), ['', '', '.', '.'], [(11, 3), (4, 4), (14, 7)], [False, False, False, False], 88, False, [False, False, True, True], 2154, 'East', (7, 3))
Element 7: (2, (7, 3), ['', '', '.', '.'], [(11, 4), (5, 4), (14, 6)], [False, False, False, False], 86, False, [False, False, True, True], 3183, 'East', (8, 3))
Element 8: (2, (8, 3), ['', '', '.', '.'], [(11, 5), (6, 4), (15, 6)], [False, False, False, False], 84, False, [False, False, True, True], 4212, 'East', (9, 3))
Element 9: (2, (9, 3), ['', '', '.', ''], [(11, 6), (7, 4), (15, 5)], [False, False, False, False], 82, False, [False, False, True, False], 5241, 'North', (9, 4))
Element 10: (2, (9, 4), ['G', '', '.', 'F'], [(11, 7), (8, 4), (15, 4)], [False, False, False, False], 80, False, [False, False, True, False], 6270, 'East', (10, 4))
Element 11: (2, (10, 4), ['', '', 'F', ''], [(11, 8), (8, 5), (15, 3)], [False, False, False, False], 78, False, [False, False, False, False], 8289, 'North', (10, 5))
Element 12: (2, (10, 5), ['G', '', 'F', ''], [(11, 9), (9, 5), (15, 2)], [False, False, False, False], 76, False, [False, False, False, False], 10308, 'North', (10, 6))
Element 13: (2, (10, 6), ['G', '', 'F', ''], [(10, 9), (9, 6), (15, 3)], [False, False, False, False], 74, False, [False, False, False, False], 12317, 'North', (10, 7))
Element 14: #1#
