Element 1: (3, (14, 8), ['.', '.', '.', '.'], [(1, 3), (6, 7), (15, 6)], [False, False, False, False], 98, False, [True, True, True, True], 29, 'East', (15, 8))
Element 2: (3, (15, 8), ['', 'G', '.', '%'], [(1, 4), (7, 7), (15, 7)], [False, False, False, True], 96, False, [False, False, True, False], 68, 'North', (15, 9))
Element 3: (3, (15, 9), ['.', '', '%', '%'], [(1, 5), (8, 7), (14, 7)], [False, False, True, True], 94, False, [True, False, False, False], 107, 'West', (14, 9))
Element 4: (3, (14, 9), ['.', '', '%', ''], [(1, 6), (9, 7), (13, 7)], [False, False, True, False], 92, False, [True, False, False, False], 146, 'West', (13, 9))
Element 5: (3, (13, 9), ['.', 'G', '%', ''], [(1, 7), (10, 7), (13, 8)], [False, False, True, False], 90, False, [True, False, False, False], 1175, 'West', (12, 9))
Element 6: (3, (12, 9), ['F', 'G', '%', ''], [(1, 8), (11, 7), (12, 8)], [False, False, True, False], 88, False, [False, False, False, False], 2204, 'West', (11, 9))
Element 7: (3, (11, 9), ['F', 'G', '%', ''], [(1, 9), (11, 8), (12, 7)], [False, False, True, False], 86, False, [False, False, False, False], 4223, 'West', (10, 9))
Element 8: (3, (10, 9), ['.', 'G', '%', ''], [(1, 8), (10, 8), (12, 6)], [False, False, True, False], 84, False, [True, False, False, False], 6232, 'West', (9, 9))
Element 9: (3, (9, 9), ['.', 'G', '%', ''], [(1, 7), (9, 8), (11, 6)], [False, False, True, False], 82, False, [True, False, False, False], 7251, 'West', (8, 9))
Element 10: (3, (8, 9), ['.', 'G', '%', ''], [(1, 6), (8, 8), (11, 5)], [False, False, True, False], 80, False, [True, False, False, False], 8270, 'West', (7, 9))
Element 11: (3, (7, 9), ['.', 'G', '%', ''], [(1, 5), (7, 8), (11, 4)], [False, False, True, False], 78, False, [True, False, False, False], 9289, 'West', (6, 9))
Element 12: (3, (6, 9), ['.', 'G', '%', ''], [(1, 4), (6, 8), (11, 3)], [False, False, True, False], 76, False, [True, False, False, False], 10308, 'West', (5, 9))
Element 13: (3, (5, 9), ['.', 'G', '%', ''], [(1, 3), (5, 8), (10, 3)], [False, False, True, False], 74, False, [True, False, False, False], 11327, 'West', (4, 9))
Element 14: (3, (4, 9), ['.', 'G', '%', ''], [(1, 2), (4, 8), (10, 4)], [False, False, True, False], 72, False, [True, False, False, False], 12346, 'West', (3, 9))
Element 15: (3, (3, 9), ['%', '.', '%', ''], [(1, 1), (4, 7), (10, 5)], [True, False, True, False], 70, False, [False, True, False, False], 13375, 'South', (3, 8))
Element 16: #1#
