Element 1: (3, (15, 3), ['.', 'G', '.', '%'], [(15, 7), (8, 3), (15, 2)], [False, False, False, True], 98, False, [True, False, True, False], 19, 'North', (15, 4))
Element 2: (3, (15, 4), ['.', 'G', '.', '%'], [(15, 8), (9, 3), (15, 3)], [False, False, False, True], 96, False, [True, False, True, False], 48, 'North', (15, 5))
Element 3: (3, (15, 5), ['.', '', '.', '%'], [(15, 9), (10, 3), (14, 3)], [False, False, False, True], 94, False, [True, False, True, False], 1077, 'North', (15, 6))
Element 4: (3, (15, 6), ['.', '', '', '%'], [(14, 9), (11, 3), (14, 4)], [False, False, False, True], 92, False, [True, False, False, False], 2106, 'West', (14, 6))
Element 5: (3, (14, 6), ['.', 'G', '', ''], [(14, 8), (11, 4), (14, 5)], [False, False, False, False], 90, False, [True, False, False, False], 3135, 'West', (13, 6))
Element 6: (3, (13, 6), ['.', 'G', '.', ''], [(13, 8), (11, 5), (13, 5)], [False, False, False, False], 88, False, [True, False, True, False], 4164, 'North', (13, 7))
Element 7: (3, (13, 7), ['.', '', '', ''], [(13, 9), (11, 6), (13, 4)], [False, False, False, False], 86, False, [True, False, False, False], 5193, 'West', (12, 7))
Element 8: (3, (12, 7), ['G', '.', '.', ''], [(12, 9), (11, 7), (13, 3)], [False, False, False, False], 84, False, [False, True, True, False], 6222, 'North', (12, 8))
Element 9: (3, (12, 8), ['G', '', '', ''], [(11, 9), (11, 8), (13, 2)], [False, False, False, False], 82, False, [False, False, False, False], 8241, 'East', (13, 8))
Element 10: (3, (13, 8), ['', '', '', ''], [(10, 9), (10, 8), (13, 1)], [False, False, False, False], 80, False, [False, False, False, False], 10250, 'East', (14, 8))
Element 11: (3, (14, 8), ['', '', '', ''], [(9, 9), (10, 7), (14, 1)], [False, False, False, False], 78, False, [False, False, False, False], 11269, 'East', (15, 8))
Element 12: (3, (15, 8), ['', '', '', '%'], [(9, 8), (10, 6), (13, 1)], [False, False, False, True], 76, False, [False, False, False, False], 12278, 'North', (15, 9))
Element 13: (3, (15, 9), ['', '', '%', '%'], [(9, 7), (10, 5), (12, 1)], [False, False, True, True], 74, False, [False, False, False, False], 13297, 'West', (14, 9))
Element 14: #1#
