Element 1: (2, (9, 5), ['G', '.', '.', 'F'], [(15, 5), (8, 5), (17, 1)], [False, False, False, False], 98, False, [False, True, True, False], 19, 'East', (10, 5))
Element 2: (2, (10, 5), ['', 'F', 'F', 'F'], [(15, 6), (8, 6), (18, 1)], [False, False, False, False], 96, False, [False, False, False, False], 1048, 'East', (11, 5))
Element 3: (2, (11, 5), ['', 'F', 'F', '.'], [(15, 7), (9, 6), (17, 1)], [False, False, False, False], 94, False, [False, False, False, True], 2067, 'North', (11, 6))
Element 4: (2, (11, 6), ['G', '', 'F', '.'], [(15, 8), (10, 6), (16, 1)], [False, False, False, False], 92, False, [False, False, False, True], 4086, 'North', (11, 7))
Element 5: (2, (11, 7), ['G', '', 'F', '.'], [(15, 9), (10, 7), (17, 1)], [False, False, False, False], 90, False, [False, False, False, True], 6095, 'North', (11, 8))
Element 6: (2, (11, 8), ['G', '', 'F', '.'], [(14, 9), (10, 8), (17, 1)], [False, False, False, False], 88, False, [False, False, False, True], 8104, 'North', (11, 9))
Element 7: (2, (11, 9), ['G', '', '%', '.'], [(14, 8), (10, 9), (18, 1)], [False, False, True, False], 86, False, [False, False, False, True], 10113, 'East', (12, 9))
Element 8: (2, (12, 9), ['', '.', '%', '.'], [(14, 7), (9, 9), (17, 1)], [False, False, True, False], 84, False, [False, True, False, True], 10142, 'East', (13, 9))
Element 9: (2, (13, 9), ['', '.', '%', ''], [(14, 6), (9, 8), (16, 1)], [False, False, True, False], 82, False, [False, True, False, False], 10171, 'South', (13, 8))
Element 10: (2, (13, 8), ['.', '.', '', ''], [(14, 5), (9, 7), (17, 1)], [False, False, False, False], 80, False, [True, True, False, False], 10200, 'South', (13, 7))
Element 11: (2, (13, 7), ['.', '.', '', ''], [(14, 4), (8, 7), (17, 1)], [False, False, False, False], 78, False, [True, True, False, False], 10229, 'South', (13, 6))
Element 12: (2, (13, 6), ['.', '.', '', ''], [(14, 3), (8, 8), (18, 1)], [False, False, False, False], 76, False, [True, True, False, False], 10258, 'South', (13, 5))
Element 13: (2, (13, 5), ['.', '.', '', ''], [(15, 3), (8, 9), (17, 1)], [False, False, False, False], 74, False, [True, True, False, False], 10287, 'South', (13, 4))
Element 14: (2, (13, 4), ['.', '.', '', ''], [(15, 2), (7, 9), (16, 1)], [False, False, False, False], 72, False, [True, True, False, False], 10316, 'South', (13, 3))
Element 15: (2, (13, 3), ['.', '.', '', ''], [(15, 3), (7, 8), (17, 1)], [False, False, False, False], 70, False, [True, True, False, False], 10335, 'South', (13, 2))
Element 16: (2, (13, 2), ['%', '.', '', '%'], [(14, 3), (7, 7), (17, 1)], [True, False, False, True], 68, False, [False, True, False, False], 10354, 'South', (13, 1))
Element 17: (2, (13, 1), ['.', '%', '', '.'], [(13, 3), (7, 6), (18, 1)], [False, True, False, False], 66, False, [True, False, False, True], 10373, 'East', (14, 1))
Element 18: (2, (14, 1), ['', '%', '%', '%'], [(12, 3), (6, 6), (17, 1)], [False, True, True, True], 64, False, [False, False, False, False], 10402, 'West', (13, 1))
Element 19: (2, (13, 1), ['.', '%', '', ''], [(11, 3), (6, 7), (16, 1)], [False, True, False, False], 62, False, [True, False, False, False], 11411, 'West', (12, 1))
Element 20: (2, (12, 1), ['.', '%', '%', ''], [(11, 4), (6, 8), (17, 1)], [False, True, True, False], 60, False, [True, False, False, False], 12430, 'West', (11, 1))
Element 21: (2, (11, 1), ['.', '%', '%', ''], [(10, 4), (6, 9), (17, 1)], [False, True, True, False], 58, False, [True, False, False, False], 13449, 'West', (10, 1))
Element 22: #1#
