Element 1: (0, (15, 2), ['%', '%', '.', '%'], [(4, 7), (4, 9), (5, 4)], [True, True, False, True], 98, False, [False, False, True, False], 0, 'North', (15, 3))
Element 2: (0, (15, 3), ['.', '', '.', '%'], [(5, 7), (5, 9), (6, 4)], [False, False, False, True], 96, False, [True, False, True, False], 39, 'North', (15, 4))
Element 3: (0, (15, 4), ['.', '', '.', '%'], [(6, 7), (6, 9), (7, 4)], [False, False, False, True], 94, False, [True, False, True, False], 78, 'North', (15, 5))
Element 4: (0, (15, 5), ['.', '', '.', '%'], [(7, 7), (7, 9), (8, 4)], [False, False, False, True], 92, False, [True, False, True, False], 117, 'North', (15, 6))
Element 5: (0, (15, 6), ['.', '', '.', '%'], [(8, 7), (8, 9), (9, 4)], [False, False, False, True], 90, False, [True, False, True, False], 156, 'North', (15, 7))
Element 6: (0, (15, 7), ['.', '', '.', '%'], [(9, 7), (9, 9), (10, 4)], [False, False, False, True], 88, False, [True, False, True, False], 1185, 'North', (15, 8))
Element 7: (0, (15, 8), ['.', '', '.', '%'], [(10, 7), (10, 9), (11, 4)], [False, False, False, True], 86, False, [True, False, True, False], 4194, 'North', (15, 9))
Element 8: (0, (15, 9), ['.', '', '%', '%'], [(11, 7), (11, 9), (11, 5)], [False, False, True, True], 84, False, [True, False, False, False], 7203, 'West', (14, 9))
Element 9: (0, (14, 9), ['.', '.', '%', ''], [(11, 8), (12, 9), (11, 6)], [False, False, True, False], 82, False, [True, True, False, False], 9222, 'South', (14, 8))
Element 10: (0, (14, 8), ['.', '.', '', ''], [(10, 8), (13, 9), (10, 6)], [False, False, False, False], 80, False, [True, True, False, False], 11241, 'South', (14, 7))
Element 11: (0, (14, 7), ['.', '.', '', ''], [(9, 8), (13, 8), (10, 5)], [False, False, False, False], 78, False, [True, True, False, False], 12270, 'South', (14, 6))
Element 12: (0, (14, 6), ['.', '.', '', ''], [(8, 8), (13, 7), (9, 5)], [False, False, False, False], 76, False, [True, True, False, False], 12309, 'South', (14, 5))
Element 13: (0, (14, 5), ['.', '.', '', ''], [(7, 8), (13, 6), (9, 6)], [False, False, False, False], 74, False, [True, True, False, False], 12348, 'South', (14, 4))
Element 14: (0, (14, 4), ['.', '.', '', ''], [(6, 8), (13, 5), (8, 6)], [False, False, False, False], 72, False, [True, True, False, False], 12387, 'South', (14, 3))
Element 15: (0, (14, 3), ['.', '%', '', ''], [(5, 8), (13, 4), (8, 5)], [False, True, False, False], 70, False, [True, False, False, False], 12426, 'West', (13, 3))
Element 16: (0, (13, 3), ['.', '.', '', ''], [(4, 8), (12, 4), (7, 5)], [False, False, False, False], 68, False, [True, True, False, False], 12465, 'South', (13, 2))
Element 17: (0, (13, 2), ['%', '.', '', '%'], [(3, 8), (12, 5), (7, 6)], [True, False, False, True], 66, False, [False, True, False, False], 12504, 'South', (13, 1))
Element 18: (0, (13, 1), ['.', '%', '', '.'], [(3, 9), (12, 6), (6, 6)], [False, True, False, False], 64, False, [True, False, False, True], 12543, 'East', (14, 1))
Element 19: (0, (14, 1), ['', '%', '%', '%'], [(4, 9), (12, 7), (6, 5)], [False, True, True, True], 62, False, [False, False, False, False], 12572, 'West', (13, 1))
Element 20: (0, (13, 1), ['.', '%', '', ''], [(5, 9), (12, 8), (5, 5)], [False, True, False, False], 60, False, [True, False, False, False], 12591, 'West', (12, 1))
Element 21: (0, (12, 1), ['.', '%', '%', ''], [(6, 9), (11, 8), (5, 6)], [False, True, True, False], 58, False, [True, False, False, False], 12610, 'West', (11, 1))
Element 22: (0, (11, 1), ['.', '%', '%', ''], [(7, 9), (11, 7), (4, 6)], [False, True, True, False], 56, False, [True, False, False, False], 12629, 'West', (10, 1))
Element 23: (0, (10, 1), ['.', '%', '.', ''], [(8, 9), (11, 6), (4, 5)], [False, True, False, False], 54, False, [True, False, True, False], 12648, 'North', (10, 2))
Element 24: (0, (10, 2), ['.', '', 'F', '%'], [(9, 9), (11, 5), (4, 4)], [False, False, False, True], 52, False, [True, False, False, False], 12667, 'North', (10, 3))
Element 25: (0, (10, 3), ['.', '', '', 'F'], [(10, 9), (11, 4), (4, 3)], [False, False, False, False], 50, False, [True, False, False, False], 13676, 'East', (11, 3))
Element 26: #1#
