Element 1: (0, (3, 9), ['%', 'G', '%', '.'], [(3, 8), (12, 7), (15, 3)], [True, False, True, False], 98, False, [False, False, False, True], 0, 'East', (4, 9))
Element 2: (0, (4, 9), ['', 'G', '%', '.'], [(4, 8), (11, 7), (15, 4)], [False, False, True, False], 96, False, [False, False, False, True], 1029, 'East', (5, 9))
Element 3: (0, (5, 9), ['', 'G', '%', '.'], [(5, 8), (11, 8), (15, 5)], [False, False, True, False], 94, False, [False, False, False, True], 2058, 'East', (6, 9))
Element 4: (0, (6, 9), ['', 'G', '%', '.'], [(6, 8), (11, 9), (15, 6)], [False, False, True, False], 92, False, [False, False, False, True], 3087, 'East', (7, 9))
Element 5: (0, (7, 9), ['', 'G', '%', '.'], [(7, 8), (10, 9), (15, 7)], [False, False, True, False], 90, False, [False, False, False, True], 4116, 'East', (8, 9))
Element 6: (0, (8, 9), ['', 'G', '%', '.'], [(8, 8), (10, 8), (15, 8)], [False, False, True, False], 88, False, [False, False, False, True], 5145, 'East', (9, 9))
Element 7: (0, (9, 9), ['', 'G', '%', ''], [(9, 8), (10, 7), (15, 9)], [False, False, True, False], 86, False, [False, False, False, False], 6174, 'East', (10, 9))
Element 8: (0, (10, 9), ['', '', '%', ''], [(9, 7), (10, 6), (14, 9)], [False, False, True, False], 84, False, [False, False, False, False], 7193, 'East', (11, 9))
Element 9: (0, (11, 9), ['', '', '%', '.'], [(9, 6), (11, 6), (14, 8)], [False, False, True, False], 82, False, [False, False, False, True], 8212, 'East', (12, 9))
Element 10: (0, (12, 9), ['', '.', '%', '.'], [(9, 5), (11, 5), (14, 7)], [False, False, True, False], 80, False, [False, True, False, True], 9241, 'East', (13, 9))
Element 11: (0, (13, 9), ['', '.', '%', ''], [(10, 5), (11, 4), (14, 6)], [False, False, True, False], 78, False, [False, True, False, False], 11260, 'South', (13, 8))
Element 12: (0, (13, 8), ['.', '.', '', ''], [(10, 4), (11, 3), (14, 5)], [False, False, False, False], 76, False, [True, True, False, False], 13279, 'South', (13, 7))
Element 13: #1#
