Element 1: (3, (15, 8), ['.', '', '.', '%'], [(14, 9), (10, 6), (15, 6)], [False, False, False, True], 98, False, [True, False, True, False], 1019, 'North', (15, 9))
Element 2: (3, (15, 9), ['', '', '%', '%'], [(14, 8), (11, 6), (15, 5)], [False, False, True, True], 96, False, [False, False, False, False], 2048, 'West', (14, 9))
Element 3: (3, (14, 9), ['', '', '%', ''], [(14, 7), (11, 7), (15, 4)], [False, False, True, False], 94, False, [False, False, False, False], 3067, 'South', (14, 8))
Element 4: (3, (14, 8), ['.', '', '', ''], [(14, 6), (11, 8), (15, 3)], [False, False, False, False], 92, False, [True, False, False, False], 4086, 'West', (13, 8))
Element 5: (3, (13, 8), ['.', '.', '', ''], [(14, 5), (11, 9), (15, 2)], [False, False, False, False], 90, False, [True, True, False, False], 5115, 'South', (13, 7))
Element 6: (3, (13, 7), ['.', '.', '', ''], [(14, 4), (10, 9), (15, 3)], [False, False, False, False], 88, False, [True, True, False, False], 6134, 'South', (13, 6))
Element 7: (3, (13, 6), ['.', '.', '', ''], [(14, 3), (10, 8), (15, 2)], [False, False, False, False], 86, False, [True, True, False, False], 7153, 'South', (13, 5))
Element 8: (3, (13, 5), ['.', '.', '', ''], [(13, 3), (10, 7), (15, 3)], [False, False, False, False], 84, False, [True, True, False, False], 8172, 'South', (13, 4))
Element 9: (3, (13, 4), ['.', '', '', ''], [(13, 2), (9, 7), (15, 4)], [False, False, False, False], 82, False, [True, False, False, False], 8201, 'West', (12, 4))
Element 10: (3, (12, 4), ['F', '.', '.', ''], [(13, 1), (9, 8), (14, 4)], [False, False, False, False], 80, False, [False, True, True, False], 8230, 'West', (11, 4))
Element 11: (3, (11, 4), ['F', 'F', 'F', ''], [(14, 1), (9, 9), (14, 5)], [False, False, False, False], 78, False, [False, False, False, False], 9249, 'North', (11, 5))
Element 12: (3, (11, 5), ['F', '', '', '.'], [(13, 1), (8, 9), (14, 6)], [False, False, False, False], 76, False, [False, False, False, True], 10258, 'West', (10, 5))
Element 13: (3, (10, 5), ['.', 'F', '', ''], [(12, 1), (8, 8), (14, 7)], [False, False, False, False], 74, False, [True, False, False, False], 11277, 'South', (10, 4))
Element 14: (3, (10, 4), ['.', 'F', '', ''], [(11, 1), (8, 7), (14, 8)], [False, False, False, False], 72, False, [True, False, False, False], 12296, 'South', (10, 3))
Element 15: (3, (10, 3), ['.', '.', '', 'F'], [(10, 1), (8, 6), (15, 8)], [False, False, False, False], 70, False, [True, True, False, False], 13315, 'East', (11, 3))
Element 16: #1#
