Element 1: (1, (3, 5), ['%', '.', '.', '.'], [(14, 1), (9, 7), (13, 1)], [True, False, False, False], 98, False, [False, True, True, True], -1, 'East', (4, 5))
Element 2: (1, (4, 5), ['', '.', '.', '.'], [(13, 1), (10, 7), (13, 2)], [False, False, False, False], 96, False, [False, True, True, True], 1018, 'East', (5, 5))
Element 3: (1, (5, 5), ['', '.', '.', '.'], [(12, 1), (11, 7), (13, 3)], [False, False, False, False], 94, False, [False, True, True, True], 2047, 'East', (6, 5))
Element 4: (1, (6, 5), ['', '.', '.', '.'], [(11, 1), (11, 8), (14, 3)], [False, False, False, False], 92, False, [False, True, True, True], 3076, 'East', (7, 5))
Element 5: (1, (7, 5), ['', '.', '.', '.'], [(10, 1), (11, 9), (15, 3)], [False, False, False, False], 90, False, [False, True, True, True], 4105, 'East', (8, 5))
Element 6: (1, (8, 5), ['', '.', '.', '.'], [(10, 2), (10, 9), (15, 4)], [False, False, False, False], 88, False, [False, True, True, True], 5134, 'East', (9, 5))
Element 7: (1, (9, 5), ['', '.', '.', 'F'], [(10, 3), (10, 8), (15, 5)], [False, False, False, False], 86, False, [False, True, True, False], 7153, 'East', (10, 5))
Element 8: (1, (10, 5), ['', 'F', 'F', 'F'], [(11, 3), (9, 8), (15, 6)], [False, False, False, False], 84, False, [False, False, False, False], 9172, 'East', (11, 5))
Element 9: (1, (11, 5), ['', 'G', 'F', '.'], [(11, 4), (9, 9), (15, 7)], [False, False, False, False], 82, False, [False, False, False, True], 11191, 'North', (11, 6))
Element 10: (1, (11, 6), ['F', '', '', '.'], [(10, 4), (8, 9), (15, 8)], [False, False, False, False], 80, False, [False, False, False, True], 13210, 'West', (10, 6))
Element 11: #1#
