Element 1: (1, (6, 1), ['%', '%', '.', '.'], [(11, 5), (13, 6), (15, 6)], [True, True, False, False], 98, False, [False, False, True, True], 999, 'East', (7, 1))
Element 2: (1, (7, 1), ['', '%', '.', '.'], [(11, 6), (14, 6), (15, 7)], [False, True, False, False], 96, False, [False, False, True, True], 2028, 'East', (8, 1))
Element 3: (1, (8, 1), ['', '%', '.', '.'], [(11, 7), (14, 7), (15, 8)], [False, True, False, False], 94, False, [False, False, True, True], 3057, 'East', (9, 1))
Element 4: (1, (9, 1), ['', '%', '.', '.'], [(11, 8), (14, 8), (15, 9)], [False, True, False, False], 92, False, [False, False, True, True], 4086, 'East', (10, 1))
Element 5: (1, (10, 1), ['', '%', '.', '.'], [(11, 9), (14, 9), (15, 8)], [False, True, False, False], 90, False, [False, False, True, True], 5105, 'East', (11, 1))
Element 6: (1, (11, 1), ['', '%', '%', '.'], [(10, 9), (13, 9), (15, 7)], [False, True, True, False], 88, False, [False, False, False, True], 6124, 'East', (12, 1))
Element 7: (1, (12, 1), ['', '%', '%', '.'], [(10, 8), (13, 8), (15, 6)], [False, True, True, False], 86, False, [False, False, False, True], 7143, 'East', (13, 1))
Element 8: (1, (13, 1), ['', '%', '.', '.'], [(10, 7), (13, 7), (15, 5)], [False, True, False, False], 84, False, [False, False, True, True], 8172, 'East', (14, 1))
Element 9: (1, (14, 1), ['', '%', '%', '%'], [(10, 6), (12, 7), (15, 4)], [False, True, True, True], 82, False, [False, False, False, False], 9201, 'West', (13, 1))
Element 10: (1, (13, 1), ['', '%', '.', ''], [(10, 5), (12, 8), (15, 3)], [False, True, False, False], 80, False, [False, False, True, False], 10220, 'North', (13, 2))
Element 11: (1, (13, 2), ['%', '', '.', '%'], [(10, 4), (12, 9), (15, 2)], [True, False, False, True], 78, False, [False, False, True, False], 11249, 'North', (13, 3))
Element 12: (1, (13, 3), ['.', '', '.', '.'], [(11, 4), (11, 9), (15, 3)], [False, False, False, False], 76, False, [True, False, True, True], 12258, 'East', (14, 3))
Element 13: (1, (14, 3), ['', '%', '.', ''], [(11, 3), (11, 8), (15, 2)], [False, True, False, False], 74, False, [False, False, True, False], 13267, 'North', (14, 4))
Element 14: #1#
