Element 1: (3, (15, 6), ['G', '.', '.', '%'], [(11, 5), (7, 1), (14, 6)], [False, False, False, True], 98, False, [False, True, True, False], 1019, 'North', (15, 7))
Element 2: (3, (15, 7), ['G', '', '.', '%'], [(11, 6), (8, 1), (14, 7)], [False, False, False, True], 96, False, [False, False, True, False], 2048, 'North', (15, 8))
Element 3: (3, (15, 8), ['G', '', '.', '%'], [(11, 7), (9, 1), (14, 8)], [False, False, False, True], 94, False, [False, False, True, False], 3077, 'North', (15, 9))
Element 4: (3, (15, 9), ['G', '', '%', '%'], [(11, 8), (10, 1), (14, 9)], [False, False, True, True], 92, False, [False, False, False, False], 4106, 'South', (15, 8))
Element 5: (3, (15, 8), ['', '', '', '%'], [(11, 9), (11, 1), (13, 9)], [False, False, False, True], 90, False, [False, False, False, False], 5125, 'South', (15, 7))
Element 6: (3, (15, 7), ['', '', '', '%'], [(10, 9), (12, 1), (13, 8)], [False, False, False, True], 88, False, [False, False, False, False], 6144, 'South', (15, 6))
Element 7: (3, (15, 6), ['', '.', '', '%'], [(10, 8), (13, 1), (13, 7)], [False, False, False, True], 86, False, [False, True, False, False], 7163, 'South', (15, 5))
Element 8: (3, (15, 5), ['.', '.', '', '%'], [(10, 7), (14, 1), (12, 7)], [False, False, False, True], 84, False, [True, True, False, False], 8192, 'South', (15, 4))
Element 9: (3, (15, 4), ['.', '.', '', '%'], [(10, 6), (13, 1), (12, 8)], [False, False, False, True], 82, False, [True, True, False, False], 9211, 'South', (15, 3))
Element 10: (3, (15, 3), ['.', '.', '', '%'], [(10, 5), (13, 2), (12, 9)], [False, False, False, True], 80, False, [True, True, False, False], 10240, 'South', (15, 2))
Element 11: (3, (15, 2), ['%', '%', '', '%'], [(10, 4), (13, 3), (11, 9)], [True, True, False, True], 78, False, [False, False, False, False], 11259, 'North', (15, 3))
Element 12: (3, (15, 3), ['G', '', '', '%'], [(11, 4), (14, 3), (11, 8)], [False, False, False, True], 76, False, [False, False, False, False], 12268, 'South', (15, 2))
Element 13: (3, (15, 2), ['%', '%', '', '%'], [(11, 3), (14, 4), (11, 7)], [True, True, False, True], 74, False, [False, False, False, False], 13277, 'North', (15, 3))
Element 14: #1#
